freq_hz,psd_v2_per_hz
0.0,2.8484269733916712e-21
0.25,2.778586969910128e-21
0.5,2.198967001516787e-21
0.75,1.342092078987414e-23
1.0,1.0976788568022682e-23
1.25,7.143546184179847e-24
1.5,4.939736574963627e-24
1.75,3.60942548949433e-24
2.0,2.7512039698635106e-24
2.25,2.1664361992455854e-24
2.5,1.750317437137048e-24
2.75,1.4437150186763039e-24
3.0,1.2112914894102695e-24
3.25,1.0308921826789556e-24
3.5,8.880589475472977e-25
3.75,7.730312732378526e-25
4.0,6.790265548073988e-25
4.25,6.0121238182692835e-25
4.5,5.360700744975418e-25
4.75,4.809880695127266e-25
5.0,4.339949539011326e-25
5.25,3.935798967252328e-25
5.5,3.5856923703472055e-25
5.75,3.2804001276054123e-25
6.0,3.0125830918870696e-25
6.25,2.7763460437079225e-25
6.5,2.566909578190414e-25
6.75,2.380365828964534e-25
7.0,2.21349440379624e-25
7.25,2.0636221430613855e-25
7.5,1.9285151664539025e-25
7.75,1.8062949807147454e-25
8.0,1.69537270721257e-25
8.25,1.5943970894729587e-25
8.5,1.5022130763741552e-25
8.75,1.4178285914443108e-25
9.0,1.3403876895242444e-25
9.25,1.2691487349043295e-25
9.5,1.2034665551333737e-25
9.75,1.142777763558636e-25
10.0,1.0865886233810074e-25
10.25,1.034464962329576e-25
10.5,9.86023751231948e-26
10.75,9.409260399246003e-26
11.0,8.988710060681883e-26
11.25,8.595909208709938e-26
11.5,8.228468737223295e-26
11.75,7.884251277273977e-26
12.0,7.5613400192606e-26
12.25,7.258011949551013e-26
12.5,6.972714801306536e-26
12.75,6.704047141781324e-26
13.0,6.450741117572942e-26
13.25,6.211647459903707e-26
13.5,5.985722417787763e-26
13.75,5.772016340901174e-26
14.0,5.569663678302762e-26
14.25,5.37787419581976e-26
14.5,5.195925245279207e-26
14.75,5.023154944018062e-26
15.0,4.858956144196624e-26
15.25,4.702771089082831e-26
15.5,4.5540866682941606e-26
15.75,4.4124301964818154e-26
16.0,4.277365650471322e-26
16.25,4.148490308827212e-26
16.5,4.0254317453917616e-26
16.75,3.907845134808062e-26
17.0,3.7954108335731587e-26
17.25,3.6878322048761895e-26
17.5,3.584833659541517e-26
17.75,3.486158888883982e-26
18.0,3.3915692682802217e-26
18.25,3.30084241286754e-26
18.5,3.213770869022644e-26
18.75,3.130160927223571e-26
19.0,3.0498315435972935e-26
19.25,2.9726133589222444e-26
19.5,2.8983478051526514e-26
19.75,2.8268862906515824e-26
20.0,2.758089456304239e-26
20.25,2.69182649555602e-26
20.5,2.627974532166368e-26
20.75,2.5664180501513355e-26
21.0,2.5070483709702135e-26
21.25,2.449763173531542e-26
21.5,2.3944660530599048e-26
21.75,2.3410661152668313e-26
22.0,2.2894776026326173e-26
22.25,2.2396195499300195e-26
22.5,2.1914154664011555e-26
22.75,2.144793042257879e-26
23.0,2.099683877401112e-26
23.25,2.0560232304561238e-26
23.5,2.013749786405223e-26
23.75,1.9728054412570172e-26
24.0,1.9331351023413903e-26
24.25,1.894686502946715e-26
24.5,1.8574100301335552e-26
24.75,1.821258564666599e-26
25.0,1.7861873320982135e-26
25.25,1.752153764125213e-26
25.5,1.719117369417169e-26
25.75,1.6870396131825093e-26
26.0,1.6558838048050866e-26
26.25,1.625614992937672e-26
26.5,1.5961998674924394e-26
26.75,1.567606668015783e-26
27.0,1.5398050979749713e-26
27.25,1.5127662445264485e-26
27.5,1.4864625033674663e-26
27.75,1.4608675083067093e-26
28.0,1.4359560652185062e-26
28.25,1.4117040900709432e-26
28.5,1.388088550743794e-26
28.75,1.365087412373479e-26
29.0,1.3426795859822287e-26
29.25,1.320844880169075e-26
29.5,1.2995639556545772e-26
29.75,1.2788182824887926e-26
30.0,1.2585900997461419e-26
30.25,1.2388623775420259e-26
30.5,1.2196187812210536e-26
30.75,1.2008436375752506e-26
31.0,1.1825219029618826e-26
31.25,1.1646391332000144e-26
31.5,1.1471814551332293e-26
31.75,1.13013553975395e-26
32.0,1.113488576791704e-26
32.25,1.0972282506759734e-26
32.5,1.081342717787732e-26
32.75,1.0658205849228018e-26
33.0,1.0506508888929052e-26
33.25,1.0358230771965934e-26
33.5,1.0213269896962679e-26
33.75,1.0071528412419724e-26
34.0,9.932912051863845e-27
34.25,9.797329977391552e-27
34.5,9.664694631123254e-27
34.75,9.534921594108819e-27
35.0,9.407929452267174e-27
35.25,9.283639668958035e-27
35.5,9.161976463811724e-27
35.75,9.042866697475632e-27
36.0,8.926239761939387e-27
36.25,8.812027476140552e-27
36.5,8.700163986559173e-27
36.75,8.5905856725274e-27
37.0,8.483231056007452e-27
37.25,8.37804071559196e-27
37.5,8.27495720450442e-27
37.75,8.173924972392353e-27
38.0,8.074890290706263e-27
38.25,7.977801181484741e-27
38.5,7.882607349366647e-27
38.75,7.789260116662191e-27
39.0,7.697712361331317e-27
39.25,7.607918457716006e-27
39.5,7.519834219893123e-27
39.75,7.43341684751218e-27
40.0,7.348624873994862e-27
40.25,7.265418116982943e-27
40.5,7.18375763091738e-27
40.75,7.10360566165035e-27
41.0,7.024925602988721e-27
41.25,6.947681955074204e-27
41.5,6.871840284515591e-27
41.75,6.797367186185741e-27
42.0,6.724230246606728e-27
42.25,6.652398008846447e-27
42.5,6.581839938857636e-27
42.75,6.512526393190127e-27
43.0,6.4444285880138146e-27
43.25,6.377518569391186e-27
43.5,6.311769184743865e-27
43.75,6.247154055454777e-27
44.0,6.183647550559767e-27
44.25,6.1212247614756136e-27
44.5,6.059861477718164e-27
44.75,5.9995341635709856e-27
45.0,5.940219935653242e-27
45.25,5.8818965413590395e-27
45.5,5.824542338119704e-27
45.75,5.768136273458209e-27
46.0,5.712657865801925e-27
46.25,5.6580871860168564e-27
46.5,5.604404839637405e-27
46.75,5.5515919497586226e-27
47.0,5.4996301405634006e-27
47.25,5.448501521459441e-27
47.5,5.398188671798349e-27
47.75,5.348674626152732e-27
48.0,5.299942860130977e-27
48.25,5.251977276702513e-27
48.5,5.2047621930169995e-27
48.75,5.1582823276957115e-27
49.0,5.112522788573914e-27
49.25,5.067469060880148e-27
49.5,5.023106995830436e-27
49.75,4.979422799623446e-27
50.0,4.936403022820823e-27
50.25,4.8940345500945694e-27
50.5,4.852304590330749e-27
50.75,4.811200667072731e-27
51.0,4.770710609291295e-27
51.25,4.7308225424703136e-27
51.5,4.691524879993319e-27
51.75,4.652806314822125e-27
52.0,4.614655811453191e-27
52.25,4.577062598144502e-27
52.5,4.540016159399971e-27
52.75,4.503506228702359e-27
53.0,4.467522781486603e-27
53.25,4.432056028343139e-27
53.5,4.397096408442282e-27
53.75,4.362634583174042e-27
54.0,4.328661429991581e-27
54.25,4.2951680364540975e-27
54.5,4.2621456944605676e-27
54.75,4.2295858946668085e-27
55.0,4.1974803210802344e-27
