channel,band,bandpower_abs_uV2,bandpower_rel,peak_hz
ch1,delta,1.915087391263733e-07,0.6597176056546509,0.5142622051563357
ch1,theta,1.3115864598457248e-08,0.04518209888727325,5.845447065277016
ch1,alpha,5.960998362437871e-09,0.02053470554356148,8.382473944048272
ch1,beta,3.346223753012994e-08,0.1152721662934515,21.393307734503566
ch1,gamma,4.6241122636891295e-08,0.15929342362106289,48.34064728469556
ch2,delta,2.6657910913467532e-05,0.08592266705769354,2.5027427317608337
ch2,theta,3.314004546832488e-05,0.10681561290735506,5.125479978058146
ch2,alpha,4.151115223501459e-05,0.13379701523679688,10.250959956116292
ch2,beta,0.0001318905222024418,0.42510403249718426,13.627948436642896
ch2,gamma,7.705506478473937e-05,0.2483606723009702,30.11862314865606
ch3,delta,0.0004991871454517076,0.08566212790680287,3.1198573779484366
ch3,theta,0.0006220227774295038,0.10674111945109312,6.993965990126165
ch3,alpha,0.0007851403435298064,0.1347326211122317,8.622462973121229
ch3,beta,0.0024697955021992972,0.42382489240903365,13.25082281952825
ch3,gamma,0.0014512502773390019,0.2490392391208387,30.11862314865606
ch4,delta,5.39588676116122,0.08553242382203456,3.874108612177729
ch4,theta,6.7390702421381246,0.10682377848733304,5.999725726823916
ch4,alpha,8.481145608700814,0.13443813274978236,8.125342841470104
ch4,beta,26.74955708863491,0.42401824857133424,13.25082281952825
ch4,gamma,15.720203180888356,0.24918741636951575,30.25575973669775
