capture,condition,channel,window_start_sec,window_end_sec,rms_uV,ptp_uV,line_50_ratio_1_50,spectral_entropy_0p5_40,quality_score,quality_warnings,peak_freq,peak_delta,peak_theta,peak_alpha,peak_beta,peak_gamma,delta_abs,delta_rel,theta_abs,theta_rel,alpha_abs,alpha_rel,beta_abs,beta_rel,gamma_abs,gamma_rel,alpha_beta_ratio,theta_alpha_ratio,slow_power_rel,fast_power_rel
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,0.0,4.0,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,0.256,4.256,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,0.512,4.512,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,0.768,4.768,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,1.024,5.024,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,1.28,5.28,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,1.536,5.536,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,1.792,5.792,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,2.048,6.048,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,2.304,6.304,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,2.56,6.56,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,2.816,6.816,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,3.072,7.072,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,3.328,7.328,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,3.584,7.584,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,3.84,7.84,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,4.096,8.096,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,4.352,8.352,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,4.608,8.608,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,4.864,8.864,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,5.12,9.12,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,5.376,9.376,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,5.632,9.632,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,5.888,9.888,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,6.144,10.144,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,6.4,10.4,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,6.656,10.656,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,6.912,10.912,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,7.168,11.168,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,7.424,11.424,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,7.68,11.68,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,7.936,11.936,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,8.192,12.192,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,8.448,12.448,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,8.704,12.704,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,8.96,12.96,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,9.216,13.216,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,9.472,13.472,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,9.728,13.728,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,9.984,13.984,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,10.24,14.24,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,10.496,14.496,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,10.752,14.752,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,11.008,15.008,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,11.264,15.264,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,11.52,15.52,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,11.776,15.776,0.0,0.0,,1.0,0.9,very_low_rms,0.0,0.5,4.0,8.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
