capture,condition,channel,window_start_sec,quality_score,valid,activity,calmness,tension,rhythmic_density,register,harmonic_stability,velocity_factor,note_probability,rms_uV,alpha_beta_ratio,beta_over_alpha_beta,theta_alpha_ratio,slow_power,fast_power,dominant_band
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,0.0,0.9,True,0.0,0.0,0.0,0.0,0.2542372881355932,0.35,0.3,0.15,0.0,,0.0,,0.0,0.0,delta
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,0.256,0.9,True,0.0,0.0,0.0,0.0,0.2542372881355932,0.35,0.3,0.15,0.0,,0.0,,0.0,0.0,delta
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,0.512,0.9,True,0.0,0.0,0.0,0.0,0.2542372881355932,0.35,0.3,0.15,0.0,,0.0,,0.0,0.0,delta
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,0.768,0.9,True,0.0,0.0,0.0,0.0,0.2542372881355932,0.35,0.3,0.15,0.0,,0.0,,0.0,0.0,delta
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,1.024,0.9,True,0.0,0.0,0.0,0.0,0.2542372881355932,0.35,0.3,0.15,0.0,,0.0,,0.0,0.0,delta
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,1.28,0.9,True,0.0,0.0,0.0,0.0,0.2542372881355932,0.35,0.3,0.15,0.0,,0.0,,0.0,0.0,delta
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,1.536,0.9,True,0.0,0.0,0.0,0.0,0.2542372881355932,0.35,0.3,0.15,0.0,,0.0,,0.0,0.0,delta
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,1.792,0.9,True,0.0,0.0,0.0,0.0,0.2542372881355932,0.35,0.3,0.15,0.0,,0.0,,0.0,0.0,delta
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,2.048,0.9,True,0.0,0.0,0.0,0.0,0.2542372881355932,0.35,0.3,0.15,0.0,,0.0,,0.0,0.0,delta
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,2.304,0.9,True,0.0,0.0,0.0,0.0,0.2542372881355932,0.35,0.3,0.15,0.0,,0.0,,0.0,0.0,delta
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,2.56,0.9,True,0.0,0.0,0.0,0.0,0.2542372881355932,0.35,0.3,0.15,0.0,,0.0,,0.0,0.0,delta
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,2.816,0.9,True,0.0,0.0,0.0,0.0,0.2542372881355932,0.35,0.3,0.15,0.0,,0.0,,0.0,0.0,delta
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,0,3.072,0.9,True,0.0,0.0,0.0,0.0,0.2542372881355932,0.35,0.3,0.15,0.0,,0.0,,0.0,0.0,delta
