freq_hz,psd_v2_per_hz
0.0,1.3451770640685438e-14
0.25,7.505387366016711e-15
0.5,5.701907714852395e-15
0.75,7.069216603429314e-15
1.0,7.956559329947401e-15
1.25,3.292626800591968e-15
1.5,4.256875065155107e-15
1.75,2.441466863667875e-15
2.0,1.798148932617969e-15
2.25,2.026671496473883e-15
2.5,1.8255424557932415e-15
2.75,1.1729217170450138e-15
3.0,1.0578792464353767e-15
3.25,8.896164277951175e-16
3.5,1.2057487178051493e-15
3.75,1.5131198782478402e-15
4.0,1.1522038584454231e-15
4.25,1.0998439756803075e-15
4.5,6.81040920256505e-16
4.75,6.425942462083828e-16
5.0,6.42633313980602e-16
5.25,6.672911977606935e-16
5.5,9.9155287257164e-16
5.75,8.893074853973409e-16
6.0,1.4617896888854868e-15
6.25,1.8631412095695233e-15
6.5,1.7776630215432246e-15
6.75,1.790772895129584e-15
7.0,1.3709418680061539e-15
7.25,1.2477275175787022e-15
7.5,1.3491920875338983e-15
7.75,1.803260329552733e-15
8.0,1.6356035942115183e-15
8.25,2.007962115192386e-15
8.5,1.80710820210082e-15
8.75,2.3298572498088946e-15
9.0,2.5943740220647192e-15
9.25,3.2171582532615106e-15
9.5,5.198889233304539e-15
9.75,4.549877901383365e-15
10.0,4.236189489023607e-15
10.25,3.943810001307448e-15
10.5,1.2742229371711202e-15
10.75,9.699869248875544e-16
11.0,3.1009425614500873e-16
11.25,3.8055754667880542e-16
11.5,4.484013264777683e-16
11.75,1.0613744250285387e-15
12.0,1.0699955142980412e-15
12.25,1.0024423449419526e-15
12.5,9.69748164820357e-16
12.75,4.698693603894504e-16
13.0,2.863731894735882e-16
13.25,2.4417755907998377e-16
13.5,1.3208187096133546e-16
13.75,5.62606275773383e-16
14.0,6.0844154012796e-16
14.25,8.392883507800196e-16
14.5,8.851389948183967e-16
14.75,4.556647052904393e-16
15.0,3.4783846147518654e-16
15.25,5.094735383784441e-16
15.5,3.545180014276058e-16
15.75,9.856397385462175e-16
16.0,1.0851072848575048e-15
16.25,1.4561051325533227e-15
16.5,1.3819968165959594e-15
16.75,1.4729782594930443e-15
17.0,9.87247964563948e-16
17.25,8.598981446505188e-16
17.5,6.854406878645664e-16
17.75,5.177554496880682e-16
18.0,5.160065902097735e-16
18.25,6.1265998646962e-16
18.5,8.584006267837935e-16
18.75,4.824020270200586e-16
19.0,8.907796458633961e-16
19.25,5.548511182182197e-16
19.5,6.604241324033611e-16
19.75,7.018084443685306e-16
20.0,7.377741078049042e-16
20.25,4.329136019596169e-16
20.5,3.909375307891743e-16
20.75,4.1556138782014124e-16
21.0,4.235656773268343e-16
21.25,3.43617565448134e-16
21.5,1.9899738124090765e-16
21.75,2.327875212517716e-16
22.0,1.5473146333591864e-16
22.25,3.950321303239705e-16
22.5,3.3337103606604576e-16
22.75,3.5176198656731743e-16
23.0,3.8584061475134953e-16
23.25,3.0664368855400373e-16
23.5,3.7915567316816974e-16
23.75,3.342065217347488e-16
24.0,2.7075360498277956e-16
24.25,1.4519244977482912e-16
24.5,2.4999897575052434e-16
24.75,3.527350587789659e-16
25.0,3.3206837067067873e-16
25.25,4.1062186579000797e-16
25.5,4.449682829140174e-16
25.75,4.590700191497445e-16
26.0,6.270025861620262e-16
26.25,5.722026686332901e-16
26.5,4.5924681550213235e-16
26.75,2.542082212817172e-16
27.0,3.5539296405982488e-16
27.25,2.9710626325297305e-16
27.5,2.7324033080175007e-16
27.75,4.718283061973941e-16
28.0,3.19455353457445e-16
