channel,band,bandpower_abs_uV2,bandpower_rel,peak_hz
ch1,delta,0.002128946758853739,0.298091916352246,0.5191029900332226
ch1,theta,0.0005620326615944297,0.07869496616131533,4.2220376522702106
ch1,alpha,0.0007694530466229125,0.10773765584179923,9.72452934662237
ch1,beta,0.0012188406896837165,0.17066023629051832,18.133997785160577
ch1,gamma,0.002462640602281957,0.3448152253541211,49.66085271317829
ch2,delta,0.0,0.0,0.5191029900332226
ch2,theta,0.0,0.0,4.014396456256922
ch2,alpha,0.0,0.0,8.028792912513843
ch2,beta,0.0,0.0,13.01218161683278
ch2,gamma,0.0,0.0,30.004152823920265
ch3,delta,0.0,0.0,0.5191029900332226
ch3,theta,0.0,0.0,4.014396456256922
ch3,alpha,0.0,0.0,8.028792912513843
ch3,beta,0.0,0.0,13.01218161683278
ch3,gamma,0.0,0.0,30.004152823920265
ch4,delta,1.6637553441904605,0.08460257021565976,3.9797895902547067
ch4,theta,2.1122191293095303,0.107407118373657,7.8557585825027685
ch4,alpha,2.6323844980922266,0.13385771839117666,8.755537098560355
ch4,beta,8.34724602734083,0.42446052576264276,13.01218161683278
ch4,gamma,4.909936366410755,0.2496720672568638,30.004152823920265
