capture,condition,channel,window_start_sec,window_end_sec,rms_uV,ptp_uV,line_50_ratio_1_50,spectral_entropy_0p5_40,quality_score,quality_warnings,peak_freq,peak_delta,peak_theta,peak_alpha,peak_beta,peak_gamma,delta_abs,delta_rel,theta_abs,theta_rel,alpha_abs,alpha_rel,beta_abs,beta_rel,gamma_abs,gamma_rel,alpha_beta_ratio,theta_alpha_ratio,slow_power_rel,fast_power_rel
20260523-195752_ear_eeg_ch1_only_still_30s,ear_eeg_ch1_only_still_30s,0,0.0,4.0,14.602842189108255,159.0,0.2125312082654623,0.8339166575915001,1.0,,1.0,1.0,4.0,9.5,18.25,50.0,6.38098480019298e-11,0.35274995750397675,9.121242145211504e-12,0.05042352990731983,1.0474638354672568e-11,0.057905297539159274,3.036902329742109e-11,0.16788430019890638,6.711782279791561e-11,0.3710369148506379,0.3449119272651111,0.8707930370830097,0.4031734874112966,0.5389212150495443
20260523-195752_ear_eeg_ch1_only_still_30s,ear_eeg_ch1_only_still_30s,0,0.256,4.256,14.474183914818825,159.0,0.20733791492914047,0.8356175841890572,1.0,,1.0,1.0,4.0,9.0,18.5,50.0,6.042730219402112e-11,0.3542859938248511,9.532733088764974e-12,0.055890527850742014,8.968875627990308e-12,0.05258462482987416,2.930447613320394e-11,0.17181249325070871,6.232741199199469e-11,0.3654263602438241,0.30605821401557043,1.0628682439318216,0.4101765216755931,0.5372388534945328
20260523-195752_ear_eeg_ch1_only_still_30s,ear_eeg_ch1_only_still_30s,0,0.512,4.512,14.556991447411104,159.0,0.2043404085864383,0.8374061221546201,1.0,,1.0,1.0,4.0,9.0,18.5,50.0,6.053606095068901e-11,0.35208973204782945,1.0957584737720583e-11,0.06373148522726128,9.033885962299992e-12,0.05254287176709091,2.916042176396291e-11,0.16960279416988622,6.224566304894401e-11,0.36203311678793215,0.3097995644721527,1.212942556885102,0.41582121727509075,0.5316359109578184
20260523-195752_ear_eeg_ch1_only_still_30s,ear_eeg_ch1_only_still_30s,0,0.768,4.768,14.186895361565194,159.0,0.215193916965489,0.8350696556635608,1.0,,1.0,1.0,4.25,9.0,15.25,50.0,5.484390109826938e-11,0.35609187218803867,1.084795846067601e-11,0.07043389985622465,7.834693943132266e-12,0.05086929956407297,2.4088793209553182e-11,0.1564043275727332,5.640080861726244e-11,0.36620060081893047,0.3252422765630769,1.3846052621091998,0.42652577204426334,0.5226049283916636
20260523-195752_ear_eeg_ch1_only_still_30s,ear_eeg_ch1_only_still_30s,0,1.024,5.024,14.184780576378332,159.0,0.20652334357477603,0.8225021854922845,1.0,,1.0,1.0,4.25,9.25,18.25,50.0,5.999979531739976e-11,0.3820353068062479,1.0560149946568105e-11,0.06723939812486625,8.794504061493295e-12,0.05599704198269238,2.3087287772507107e-11,0.14700315260802346,5.461127409879296e-11,0.34772510047817,0.3809240889683889,1.2007669645416033,0.44927470493111415,0.4947282530861935
20260523-195752_ear_eeg_ch1_only_still_30s,ear_eeg_ch1_only_still_30s,0,1.28,5.28,14.05354047918175,159.0,0.182252916275218,0.8190983255032178,1.0,,1.0,1.0,4.25,12.25,20.5,49.5,6.063693680919403e-11,0.41092056751275574,1.0067540039070568e-11,0.06822507013060404,9.1189468899465e-12,0.0617967039286083,2.180775835857508e-11,0.14778544089529222,4.593246305298293e-11,0.3112722175327396,0.41815150094786413,1.1040244186716206,0.47914563764335977,0.4590576584280318
20260523-195752_ear_eeg_ch1_only_still_30s,ear_eeg_ch1_only_still_30s,0,1.536,5.536,13.587788635388762,159.0,0.15967890415449507,0.8369381959149231,1.0,,1.0,1.0,4.0,12.25,18.0,49.5,5.6343513524649936e-11,0.40266446245313336,9.89184385668092e-12,0.07069303527686774,9.665456599710364e-12,0.06907513647305233,2.226361773038974e-11,0.15910913439481197,4.1762278436743185e-11,0.2984582314021347,0.43413683781127177,1.0234223033992351,0.47335749773000113,0.4575673657969467
20260523-195752_ear_eeg_ch1_only_still_30s,ear_eeg_ch1_only_still_30s,0,1.792,5.792,12.760133228144603,159.0,0.15287374835129205,0.864657216588179,1.0,,0.75,0.75,4.0,12.0,19.0,49.75,4.2670346611831073e-11,0.3755912954733509,9.178531432990862e-12,0.08079091887442195,8.73821925875967e-12,0.07691521986881959,1.9328430960941428e-11,0.17013197690019166,3.3692926260639504e-11,0.29657058888321586,0.45209149549788685,1.0503892339151137,0.4563822143477729,0.4667025657834075
20260523-195752_ear_eeg_ch1_only_still_30s,ear_eeg_ch1_only_still_30s,0,2.048,6.048,12.40467653749988,159.0,0.14278742184315896,0.8629391599500639,1.0,,0.75,0.75,4.0,12.0,16.25,49.75,3.494298189399922e-11,0.36950136069468537,7.531555366828387e-12,0.07964174221400268,7.665535559846255e-12,0.08105850349031322,1.6358853601148e-11,0.17298519866924653,2.806901191622446e-11,0.2968131949317521,0.46858635371052637,0.9825217439835926,0.44914310290868803,0.4697983936009986
20260523-195752_ear_eeg_ch1_only_still_30s,ear_eeg_ch1_only_still_30s,0,2.304,6.304,12.344067400982548,159.0,0.13113795318642704,0.8608698855663283,1.0,,1.0,1.0,4.0,12.0,15.75,49.5,3.465096572788928e-11,0.3682359348558704,7.161637548204219e-12,0.07610674745319787,8.577511581849514e-12,0.09115324579647179,1.6910124591763156e-11,0.1797039536062724,2.679966348739273e-11,0.2848001182881875,0.5072411817726985,0.8349318423957174,0.44434268230906826,0.4645040718944599
