freq_hz,psd_v2_per_hz
0.0,5.529025664228667e-15
0.25,7.32873815964238e-15
0.5,8.158092795593233e-15
0.75,5.5948047917551824e-15
1.0,8.229202802417136e-15
1.25,6.963179764164869e-15
1.5,7.501932539412136e-15
1.75,4.967934533931359e-15
2.0,1.9926248388849857e-15
2.25,2.6002367876987145e-15
2.5,1.9317533481947676e-15
2.75,1.7187975766465037e-15
3.0,1.809425925913308e-15
3.25,9.04321944061927e-16
3.5,5.634908462888012e-16
3.75,4.996745401043612e-16
4.0,5.799921289070741e-16
4.25,7.275645756772865e-16
4.5,5.278679181541814e-16
4.75,9.681608607142536e-16
5.0,1.1170614870426439e-15
5.25,7.3450122133807e-16
5.5,1.7051426717323003e-15
5.75,1.5858582114382556e-15
6.0,1.378244526889818e-15
6.25,1.4103829723122759e-15
6.5,1.0870974036590464e-15
6.75,6.928098305863621e-16
7.0,7.700503881133106e-16
7.25,6.28872862083229e-16
7.5,6.307812626519292e-16
7.75,6.118127342702544e-16
8.0,6.730569195448468e-16
8.25,4.2554721091963565e-16
8.5,2.8767327497212644e-16
8.75,3.029156635294179e-16
9.0,3.233394838485393e-16
9.25,2.1576505438366495e-16
9.5,4.982196289489901e-16
9.75,4.565380352514289e-16
10.0,5.115685285069886e-16
10.25,8.664780003603343e-16
10.5,5.540332996741579e-16
10.75,1.0744776394231442e-15
11.0,9.107162595792674e-16
11.25,5.401616190231702e-16
11.5,5.932592775082809e-16
11.75,3.734048590584334e-16
12.0,1.840005255343385e-16
12.25,2.798680051539548e-16
12.5,2.638289983596097e-16
12.75,1.8755744901983793e-16
13.0,1.8289701078709634e-16
13.25,2.649265758694229e-16
13.5,1.632971010606342e-16
13.75,1.7039928960690292e-16
14.0,3.1722630653321897e-16
14.25,1.773840764942651e-16
14.5,2.0878663869387893e-16
14.75,2.270866838054635e-16
15.0,1.8270565109698316e-16
15.25,1.6110833983175386e-16
15.5,1.4697955723112613e-16
15.75,7.124871312003933e-17
16.0,2.805512569607421e-16
16.25,6.372382319334379e-16
16.5,6.876264971696822e-16
16.75,6.693641124819158e-16
17.0,5.677351373305611e-16
17.25,2.966460347086289e-16
17.5,4.1214950027328695e-16
17.75,4.2208499863917967e-16
18.0,4.1744108644429234e-16
18.25,1.9004786599775866e-16
18.5,4.6270517735601583e-17
18.75,1.0061884468916155e-16
19.0,9.321461556233507e-17
19.25,1.9906311813628335e-16
19.5,2.0652265387304467e-16
19.75,4.368958985299921e-16
20.0,4.2486151769696046e-16
20.25,3.5682566035544506e-16
20.5,3.552652243744481e-16
20.75,2.288348895968337e-16
21.0,1.6964809128432477e-16
21.25,1.3939371093858045e-16
21.5,6.934199956074597e-17
21.75,1.487618139871969e-16
22.0,1.9553360600928603e-16
22.25,1.4302094017701574e-16
22.5,1.959680067204935e-16
22.75,2.2246412637395797e-16
23.0,1.613903746749345e-16
23.25,1.9545573450182838e-16
23.5,1.5753677663916143e-16
23.75,1.7241468395200647e-16
24.0,1.0577433018049343e-16
24.25,2.320856255135843e-16
24.5,2.1983529741685884e-16
24.75,2.1880634433542785e-16
25.0,2.6547193697815456e-16
25.25,1.370537650714595e-16
25.5,1.1358303201615597e-16
25.75,9.993846616912026e-17
26.0,8.876319378163133e-17
26.25,1.4051611578321503e-16
26.5,1.5269120254700448e-16
26.75,1.6990248578042823e-16
27.0,1.7969507084786326e-16
27.25,1.5358872552675374e-16
27.5,1.3399519239468454e-16
27.75,6.315480650062508e-17
28.0,1.2708558784789527e-16
28.25,7.320421488909525e-17
28.5,8.273502351163066e-17
28.75,1.0510588850754483e-16
29.0,7.968009431251932e-17
29.25,1.6984737850616745e-16
29.5,2.493358119872796e-16
29.75,3.118884951510986e-16
30.0,2.483055137322e-16
30.25,2.6272088631692552e-16
30.5,1.0636917482720796e-16
30.75,1.2745967659513137e-16
31.0,1.8036454775897804e-16
31.25,1.878912046199968e-16
31.5,1.649042347885078e-16
31.75,2.2781615124004997e-16
32.0,8.968534991597745e-17
32.25,1.0710469445382305e-16
32.5,1.7113873975869922e-16
32.75,1.9205228796330022e-16
33.0,1.8724512729051629e-16
33.25,1.4348711229737508e-16
33.5,1.3641510866978635e-16
33.75,5.2174200519183314e-17
34.0,7.064850239600848e-17
34.25,1.6454170627751697e-16
34.5,1.2113321124621652e-16
34.75,1.6377078657461903e-16
35.0,9.958823837934155e-17
35.25,1.0982579810463368e-16
35.5,1.021994827362143e-16
35.75,1.022685322748993e-16
36.0,9.661288768866271e-17
36.25,1.6219648335919342e-16
36.5,1.3737921843937778e-16
36.75,2.1403452277440766e-16
37.0,1.290513259904745e-16
37.25,1.9009779952054422e-16
37.5,1.4425476401189059e-16
37.75,2.0696130553333888e-16
38.0,2.3507261369816007e-16
38.25,2.1553289483398417e-16
38.5,2.1012774469009058e-16
38.75,4.3341145787404127e-16
39.0,2.1481655058711213e-16
39.25,2.333994275494388e-16
39.5,2.2497517405412165e-16
39.75,2.0816266344838074e-16
40.0,1.0677878597616261e-16
40.25,1.8087618357941856e-16
40.5,1.3808659462440842e-16
40.75,2.7781243998529605e-16
41.0,2.6087094863506357e-16
41.25,3.054232376661248e-16
41.5,2.3312900481792354e-16
41.75,1.7456453537992864e-16
42.0,8.534800051443019e-17
42.25,2.9548324942746376e-16
42.5,2.933321559848228e-16
42.75,3.7405335272879345e-16
43.0,3.68027185548194e-16
43.25,4.283517574076897e-16
43.5,1.7715873723897513e-16
43.75,2.787577513001374e-16
44.0,2.676418660416883e-16
44.25,5.600604204913884e-16
44.5,4.3117231225180404e-16
