channel,band,bandpower_abs_uV2,bandpower_rel,peak_hz
ch1,delta,0.012399908021685339,0.42083581937887843,0.6759567387687189
ch1,theta,0.002447715386122186,0.0830720928190412,4.541042706600112
ch1,alpha,0.0024426991435511493,0.08290184844715605,8.908763172490294
ch1,beta,0.007254755079197533,0.24621640683204166,13.501802551303385
ch1,gamma,0.0049198762794666045,0.16697383252288261,49.58749306711038
ch2,delta,0.11435074215748336,0.08448533021747082,3.986411536328342
ch2,theta,0.14348053933343943,0.10600718908034784,7.990155296727677
ch2,alpha,0.1802787224049109,0.1331946527516779,9.827371048252912
ch2,beta,0.5718272816831533,0.42248100719649184,13.016500277315586
ch2,gamma,0.3435609118374994,0.2538318207540116,30.002079866888522
ch3,delta,2.1310817158375226,0.08231231981032032,3.2931225734886302
ch3,theta,2.9757858857183566,0.1149387363665794,7.678175263449806
ch3,alpha,3.2885058140244556,0.12701743919552083,8.770105379922352
ch3,beta,11.109257522881865,0.42909136298383815,13.155158069883528
ch3,gamma,6.385560478185584,0.2466401416437413,30.695368829728235
ch4,delta,0.49104395938009215,0.0855727770414488,3.8650859678313925
ch4,theta,0.6155145311351276,0.1072638950799678,7.920826400443706
ch4,alpha,0.7721052481506744,0.13455249573977107,8.579450915141432
ch4,beta,2.4289643031928403,0.4232884180494936,13.10316139767055
ch4,gamma,1.4306917411050186,0.24932241408931877,30.071408763172492
