capture,condition,channel,window_start_sec,window_end_sec,rms_uV,ptp_uV,line_50_ratio_1_50,spectral_entropy_0p5_40,quality_score,quality_warnings,peak_freq,peak_delta,peak_theta,peak_alpha,peak_beta,peak_gamma,delta_abs,delta_rel,theta_abs,theta_rel,alpha_abs,alpha_rel,beta_abs,beta_rel,gamma_abs,gamma_rel,alpha_beta_ratio,theta_alpha_ratio,slow_power_rel,fast_power_rel
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,0.0,4.0,20.297462895642894,239.0,0.0746301631276997,0.6838107245695586,1.0,,1.0,1.0,5.25,12.75,13.0,47.75,2.1027787939069304e-10,0.5916522547298678,1.9145997884888402e-11,0.05387049199122214,1.2834895672609993e-11,0.03611314221888824,4.2433608586313746e-11,0.11939410968554975,7.071550833604075e-11,0.1989700013744721,0.30247004910041225,1.4917143367005676,0.64552274672109,0.3183641110600218
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,0.256,4.256,19.512560057562922,239.0,0.052253861027322504,0.6970807857909985,1.0,,1.0,1.0,4.0,12.75,13.0,48.25,1.8670043403115893e-10,0.603879768799018,1.8065349585015716e-11,0.058432103745683014,1.2632877489688138e-11,0.04086085379140582,3.680079361229196e-11,0.1190316179688278,5.4968766635682605e-11,0.1777956556950653,0.34327731142919127,1.430026500277704,0.6623118725447009,0.2968272736638931
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,0.512,4.512,19.31960144516444,239.0,0.038691351008021665,0.7236544843129946,1.0,,1.0,1.0,5.0,12.75,13.0,47.75,1.7065226211344596e-10,0.5770275966638941,2.0456133436650512e-11,0.06916845617985122,1.4014095161682014e-11,0.04738595053131341,4.121794277559278e-11,0.1393704962634436,4.9403241685320884e-11,0.16704750036149746,0.33999986942532384,1.4596827837006998,0.6461960528437454,0.30641799662494107
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,0.768,4.768,19.5021537272169,239.0,0.057137951663694744,0.6704956936505453,1.0,,1.0,1.0,5.25,13.0,13.0,47.75,1.9636497989114682e-10,0.6151446208087556,1.5981869251537965e-11,0.050065754626931185,1.233669180281099e-11,0.03864665484284143,3.217483492012259e-11,0.10079280245130642,6.235920850174199e-11,0.19535016727016544,0.38342673189895526,1.29547446811441,0.6652103754356868,0.29614296972147186
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,1.024,5.024,19.180276327519373,239.0,0.06025223194848684,0.6942522340452756,1.0,,1.0,1.0,4.0,13.0,20.0,47.75,1.8040583304084997e-10,0.603694882177763,1.792037205743168e-11,0.059967223428652856,1.2868766098827066e-11,0.04306295479950183,3.2943610221681135e-11,0.11023972205369131,5.469753325896883e-11,0.18303521754039115,0.3906301104290556,1.392547810707745,0.6636621056064159,0.29327493959408246
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,1.28,5.28,18.40119561332904,239.0,0.047287094182895714,0.7071511184976796,1.0,,0.75,0.75,4.0,13.0,13.0,48.0,1.609599095477476e-10,0.6107863754859701,1.7886867783416154e-11,0.0678743866899893,1.3501528123948693e-11,0.05123356150931629,3.250885682338459e-11,0.12335970420297293,3.867181611379336e-11,0.1467459721117513,0.4153184529773019,1.3248032088818782,0.6786607621759595,0.27010567631472426
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,1.536,5.536,14.230390015737447,92.0,0.035753709844052475,0.7309479887555623,1.0,,0.75,0.75,5.25,13.0,13.0,48.75,1.2006138394531315e-10,0.5944118494634789,1.5543081690668912e-11,0.07695223585229304,1.1929535087570664e-11,0.05906192966984501,2.7701555455958408e-11,0.13714761791427904,2.674794070683381e-11,0.1324263671001039,0.43064495445163553,1.302907579932699,0.671364085315772,0.2695739850143829
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,1.792,5.792,13.407945405616776,92.0,0.041973451402385675,0.7391927795802813,1.0,,0.75,0.75,5.25,13.0,13.0,49.0,1.0189574746648632e-10,0.5768708458988676,1.2799661383668675e-11,0.07246378453668585,1.1617591517695818e-11,0.06577163436899018,2.5629583199965418e-11,0.14509888497027074,2.4692703500148835e-11,0.13979485022518556,0.4532883514746933,1.1017482723654328,0.6493346304355535,0.2848937351954563
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,2.048,6.048,12.946891518816399,92.0,0.04337902663505574,0.7319233682252435,1.0,,1.0,1.0,4.0,13.0,13.0,49.5,9.662024731507018e-11,0.5776885409014125,1.0536410418665748e-11,0.06299677065873215,1.204474874001972e-11,0.07201506432141826,2.4070211702750405e-11,0.1439148197624326,2.3981564938925058e-11,0.14338480435600431,0.500400615032539,0.8747721223654598,0.6406853115601446,0.2872996241184369
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,2.304,6.304,12.719984276719842,92.0,0.04413487073456231,0.7219873357862919,1.0,,1.0,1.0,4.0,13.0,13.0,48.75,9.48090254996678e-11,0.5910523331798405,9.45781202844302e-12,0.0589612838727806,1.1186563226512344e-11,0.06973855348104062,2.2449497134657512e-11,0.1399532121570004,2.250426096516222e-11,0.1402946173093378,0.49829905585023276,0.8454618131534666,0.6500136170526212,0.2802478294663382
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,2.56,6.56,12.612810947604027,92.0,0.0499777733506442,0.7266250593250907,1.0,,1.0,1.0,4.0,13.0,13.0,49.0,9.009699486477339e-11,0.5779016328567738,9.98732227166011e-12,0.06406084750464687,1.0161114791638481e-11,0.06517559035733066,2.3102923127421668e-11,0.1481871511823491,2.2555331216150618e-11,0.14467477809889978,0.43981944343561863,0.9828963136878068,0.6419624803614207,0.2928619292812489
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,2.816,6.816,12.471888389494191,92.0,0.05703864065136021,0.7346980032872824,1.0,,1.0,1.0,4.25,8.75,17.75,49.5,8.435297085284295e-11,0.5549667380423038,9.794238536692465e-12,0.06443728723910441,1.0023864130631766e-11,0.06594801727683877,2.437529850257453e-11,0.1603675574435956,2.34500722153505e-11,0.15428039999815746,0.41123041547872907,0.9770921082980771,0.6194040252814081,0.31464795744175306
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,3.072,7.072,11.213206499480869,81.0,0.055790243512447206,0.7806949982277923,1.0,,1.0,1.0,4.75,9.0,18.5,49.5,6.074100440734984e-11,0.5006884016352303,7.874637065491754e-12,0.06491067252258877,9.446300637298696e-12,0.07786590316709743,2.2580643462758953e-11,0.18613235644644277,2.0672396377894734e-11,0.17040266622864086,0.4183362025479023,0.833621262740545,0.5655990741578191,0.35653502267508363
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,3.328,7.328,11.170407333665143,115.0,0.043945593019875336,0.8037204925934169,1.0,,0.75,0.75,4.0,9.0,18.5,49.5,5.202505307342297e-11,0.4703991095606937,6.6071522581894615e-12,0.05974042034321292,1.0219689068324753e-11,0.09240418517098925,2.2353560709452764e-11,0.2021159889716505,1.9392231017204196e-11,0.1753402959534537,0.45718394492753456,0.6465120625506984,0.5301395299039067,0.3774562849251042
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,3.584,7.584,10.668130107943004,115.0,0.04533380506043132,0.8334761749900902,1.0,,1.0,1.0,5.0,9.0,18.5,49.0,4.4967547356149366e-11,0.4257283359554989,6.594127310797062e-12,0.062429618962094445,9.897857373613115e-12,0.09370754237093018,2.0937208465911465e-11,0.19822212781918452,2.322824039883991e-11,0.21991237489229193,0.47274006894128845,0.6662176531636504,0.48815795491759334,0.41813450271147645
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,3.84,7.84,10.286009916386432,115.0,0.05542474827915699,0.8327542550490299,1.0,,0.75,0.75,5.0,9.5,18.25,49.0,3.863464058508419e-11,0.4028022913894508,6.276671961370001e-12,0.06544018036797392,8.06295451806404e-12,0.08406384804053284,1.828406202337879e-11,0.19062846107509002,2.4656320383970446e-11,0.25706521912695246,0.4409826715614068,0.7784580636425399,0.4682424717574247,0.4476936802020425
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,4.096,8.096,10.21327567433681,115.0,0.06381671760003944,0.8371735684147508,1.0,,1.0,1.0,5.0,11.0,18.25,49.25,3.731685715357519e-11,0.3937395037514462,6.2737497957235945e-12,0.06619590500515347,7.354839833921964e-12,0.07760275669684467,1.8057160212246282e-11,0.19052561880734495,2.5772889996909947e-11,0.2719362157392108,0.40730877654471637,0.8530097102574321,0.45993540875659966,0.46246183454655576
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,4.352,8.352,10.257436326880123,115.0,0.0635524414854187,0.8500790911258964,1.0,,0.75,0.75,4.75,13.0,18.5,49.0,3.415876712196463e-11,0.3692044869428747,7.127877011878884e-12,0.077041544437664,7.29540455727885e-12,0.07885226322699707,1.828803645167557e-11,0.19766594886827196,2.5649828157307368e-11,0.27723575652419225,0.3989167769080227,0.9770365654043381,0.44624603138053875,0.47490170539246424
