capture,condition,channel,window_start_sec,quality_score,valid,activity,calmness,tension,rhythmic_density,register,harmonic_stability,velocity_factor,note_probability,rms_uV,alpha_beta_ratio,beta_over_alpha_beta,theta_alpha_ratio,slow_power,fast_power,dominant_band
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,0.0,1.0,True,0.35510026108301207,0.008386483749007433,0.6540115790571461,0.459719222373959,0.4152542372881356,0.12654716176685368,0.5485701827581084,0.5177753778991673,18.85226484724172,0.30247004910041225,0.7677719734778146,1.4917143367005676,0.64552274672109,0.3183641110600218,delta
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,0.256,1.0,True,0.35082777158980105,0.008756490388684736,0.6498906388601142,0.4554997751344107,0.4152542372881356,0.1282299951516051,0.5455794401128607,0.5143998201075286,17.583180069425364,0.34327731142919127,0.7444479196405002,1.430026500277704,0.6623118725447009,0.2968272736638931,delta
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,0.512,1.0,True,0.34766088661879047,0.009344515657093124,0.6463867309164686,0.4522149321229778,0.4152542372881356,0.12983857935634652,0.5433626206331533,0.5117719456983822,17.197199631704347,0.33999986942532384,0.7462687294316739,1.4596827837006998,0.6461960528437454,0.30641799662494107,delta
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,0.768,1.0,True,0.34523135157855034,0.00959051885895488,0.6411590831098024,0.44880605761448855,0.4167796610169492,0.13182815816988985,0.5416619461049852,0.5090448460915908,17.86666125406088,0.38342673189895526,0.722842762059529,1.29547446811441,0.6652103754356868,0.29614296972147186,delta
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,1.024,1.0,True,0.3420020888816901,0.01004158635946119,0.6358898972404265,0.4448628218072478,0.41803050847457635,0.13396556709950053,0.539401462217183,0.5058902574457982,17.286876949806715,0.3906301104290556,0.7190984809648222,1.392547810707745,0.6636621056064159,0.29327493959408246,delta
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,1.28,1.0,True,0.33531524888493774,0.010940264804337876,0.6284564572035661,0.4379146717964576,0.41905620338983063,0.13715141210157153,0.5347206742194563,0.5003317374371661,16.23357565024694,0.4153184529773019,0.7065547671555087,1.3248032088818782,0.6786607621759595,0.27010567631472426,delta
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,1.536,1.0,True,0.3263948360806234,0.012171147226380954,0.6207555481894956,0.4294210853187286,0.4198972732203391,0.14064680383082423,0.5284763852564364,0.4935368682549829,14.212089814180914,0.43064495445163553,0.6989854449094969,1.302907579932699,0.671364085315772,0.2695739850143829,delta
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,1.792,1.0,True,0.3191247851449292,0.013672954668113598,0.6131377997120507,0.42202934024342165,0.4205869504813561,0.14428919063505616,0.5233873496014504,0.48762347219473734,13.290420876253883,0.4532883514746933,0.6880946915872057,1.1017482723654328,0.6493346304355535,0.2848937351954563,delta
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,2.048,1.0,True,0.31291206292233287,0.015535034096309982,0.6039092162040185,0.4147610665709227,0.42115248583539,0.14872954649119513,0.5190384440456329,0.48180885325673817,12.932640222144553,0.500400615032539,0.6664886630786152,0.8747721223654598,0.6406853115601446,0.2872996241184369,delta
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,2.304,1.0,True,0.30678805055156366,0.01691354068391696,0.596365147519367,0.40814003449029473,0.4216162248256978,0.1522659998127677,0.5147516353860946,0.47651202759223577,12.665194781543743,0.49829905585023276,0.6674235000620525,0.8454618131534666,0.6500136170526212,0.2802478294663382,delta
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,2.56,1.0,True,0.3028388159354385,0.017452739184982892,0.5942402531996516,0.40482931897791297,0.42199649079775026,0.15336019185036096,0.511987171154807,0.4738634551823304,12.486139766623001,0.43981944343561863,0.694531529320904,0.9828963136878068,0.6419624803614207,0.2928619292812489,delta
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,2.816,1.0,True,0.30161846761139116,0.01777033363757139,0.5948697191197193,0.4042564056393059,0.3963761055050027,0.15334631517251973,0.5111329273279739,0.4734051245114448,12.328683799907118,0.41123041547872907,0.7086015076116066,0.9770921082980771,0.6194040252814081,0.31464795744175306,delta
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,3.072,1.0,True,0.30255947534321864,0.018705631887278022,0.5954550748484406,0.4050729351700463,0.3768928132937633,0.1537493845297766,0.5117916327402532,0.4740583481360371,11.014308055924074,0.4183362025479023,0.7050514526808312,0.833621262740545,0.5655990741578191,0.35653502267508363,delta
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,3.328,1.0,True,0.3046597239399587,0.020557058694692133,0.5934061549436469,0.40572097479124947,0.36091651368054695,0.1556699339212736,0.5132618067579712,0.4745767798329996,10.516543449565267,0.45718394492753456,0.6862551591222305,0.6465120625506984,0.5301395299039067,0.3774562849251042,delta
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,3.584,1.0,True,0.3101319429815794,0.022271101201964093,0.5922868207644243,0.408886150205575,0.34781594799770954,0.15717582851372827,0.5170923600871057,0.47710892016446005,10.277401466582441,0.47274006894128845,0.679006445934106,0.6662176531636504,0.48815795491759334,0.41813450271147645,delta
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,3.84,1.0,True,0.3168164601053177,0.022892980497603844,0.5948613463710749,0.4141321702983327,0.34012433159541,0.15667896609356635,0.5217715220737226,0.4813057362386662,9.79360247671241,0.4409826715614068,0.6939708712199771,0.7784580636425399,0.4682424717574247,0.4476936802020425,delta
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,0,4.096,1.0,True,0.3238127380132845,0.022815060477655424,0.599898968039189,0.420442918522351,0.3429697485184057,0.15486515049675997,0.5266689166092993,0.4863543348178808,9.735270771394958,0.40730877654471637,0.7105761128353882,0.8530097102574321,0.45993540875659966,0.46246183454655576,delta
