freq_hz,psd_v2_per_hz
0.0,2.4933924463393356e-14
0.25,1.3908482375802867e-14
0.5,1.4463329824977484e-14
0.75,1.489663653614067e-14
1.0,6.065951830614382e-15
1.25,3.0151241805573105e-15
1.5,3.0402564069351883e-15
1.75,2.7402188328832097e-15
2.0,2.8236887026091797e-15
2.25,2.146292744823157e-15
2.5,1.7090119833759825e-15
2.75,1.2060494769433841e-15
3.0,7.295863124808577e-16
3.25,7.792709625936364e-16
3.5,7.572387964320636e-16
3.75,8.490434655293926e-16
4.0,6.51617976487875e-16
4.25,8.2078355671481405e-16
4.5,5.400448620002922e-16
4.75,5.636595128466334e-16
5.0,5.212422340025658e-16
5.25,3.8836004539088507e-16
5.5,7.612463541634566e-16
5.75,7.347037176375127e-16
6.0,8.373205754618851e-16
6.25,1.1611425925499084e-15
6.5,1.2951116432145111e-15
6.75,1.0422372479587325e-15
7.0,9.976525576560648e-16
7.25,6.124544879034506e-16
7.5,5.999872952296055e-16
7.75,1.1974380626831462e-15
8.0,1.3451934837723585e-15
8.25,1.5315527848044344e-15
8.5,1.7743329479419625e-15
8.75,8.905849184633844e-16
9.0,1.4653182279912381e-15
9.25,1.6852232817341797e-15
9.5,2.2370102867686833e-15
9.75,1.6936838433369623e-15
10.0,1.6663969796706503e-15
10.25,8.436272503540591e-16
10.5,2.942375028622298e-16
10.75,5.427086995057739e-16
11.0,4.664028371430034e-16
11.25,5.804708128163877e-16
11.5,4.2934012444333633e-16
11.75,3.6919138835158485e-16
12.0,3.627824244610682e-16
12.25,3.0282063209077874e-16
12.5,1.5682952438787573e-16
12.75,1.251996897038995e-16
13.0,1.5252592097715858e-16
13.25,1.1351913661125015e-16
13.5,2.3929062345706284e-16
13.75,1.5595767263856485e-16
14.0,2.0756143086483346e-16
14.25,3.2130929216057753e-16
14.5,2.8524125624771703e-16
14.75,3.827109450762696e-16
15.0,6.769034905841234e-16
15.25,5.082873479765804e-16
15.5,5.25726060494128e-16
15.75,6.0338781823926505e-16
16.0,5.8152840408069e-16
16.25,7.106118414041879e-16
16.5,7.657708563523141e-16
16.75,8.350952193330187e-16
17.0,6.67130144636716e-16
17.25,6.671587647408114e-16
17.5,6.581409364558252e-16
17.75,6.696736817531681e-16
18.0,5.367037674829635e-16
18.25,4.2773408135553323e-16
18.5,4.2018242904816976e-16
18.75,4.789509109203974e-16
19.0,3.9607707127098444e-16
19.25,5.561181132945261e-16
19.5,4.920386460324729e-16
19.75,4.821545835097545e-16
20.0,3.203341715078823e-16
20.25,1.9893248904506285e-16
20.5,3.0238747881441437e-16
20.75,3.128680011523539e-16
21.0,3.3753938127087604e-16
21.25,3.911053322424964e-16
