channel,band,bandpower_abs_uV2,bandpower_rel,peak_hz
ch1,delta,0.0019503316905517046,0.17407758333788717,1.0584397556912828
ch1,theta,0.0012321518475959243,0.10997617327037168,6.437395891171572
ch1,alpha,0.0015011280976998543,0.13398374891517606,9.64741810105497
ch1,beta,0.0038849103235102118,0.3467491216377477,19.745974458634095
ch1,gamma,0.002635285292297918,0.2352133728388174,49.555802332037764
ch2,delta,0.25364139481592646,0.08652223036226273,3.157967795669073
ch2,theta,0.3153194627881125,0.10756187181850697,7.287617990005553
ch2,alpha,0.3921369221439816,0.13376586710506388,9.369794558578569
ch2,beta,1.2392510219549093,0.42273368854506677,13.516796224319824
ch2,gamma,0.7311682633790392,0.24941634216909966,30.05274847307052
ch3,delta,0.5651540250477229,0.11750327393364027,1.8219044975013883
ch3,theta,0.12101658033145643,0.025161007015740092,7.999028317601334
ch3,alpha,0.9936438486491261,0.20659218578587613,9.838284286507497
ch3,beta,1.7953443765475106,0.373276722332233,21.72404219877846
ch3,gamma,1.33452864559521,0.2774668109325106,33.609800111049424
ch4,delta,0.9505299905800971,0.06941403309181751,1.5269294836202112
ch4,theta,1.7806494510821242,0.13003488700751925,5.986257634647418
ch4,alpha,1.6309802982153776,0.11910504825137828,11.955163797890062
ch4,beta,5.868867792939486,0.4285838292613821,17.94142143253748
ch4,gamma,3.462601093008218,0.25286220238790286,31.423514714047755
