capture,condition,channel,window_start_sec,window_end_sec,rms_uV,ptp_uV,line_50_ratio_1_50,spectral_entropy_0p5_40,quality_score,quality_warnings,peak_freq,peak_delta,peak_theta,peak_alpha,peak_beta,peak_gamma,delta_abs,delta_rel,theta_abs,theta_rel,alpha_abs,alpha_rel,beta_abs,beta_rel,gamma_abs,gamma_rel,alpha_beta_ratio,theta_alpha_ratio,slow_power_rel,fast_power_rel
20260523-201055_ear_eeg_ch1_only_eyes_closed_60s,ear_eeg_ch1_only_eyes_closed_60s,0,0.0,4.0,117.06575075571847,2651.0,0.05856502199239496,0.513439455425548,1.0,,0.75,0.75,6.5,10.75,25.0,48.75,1.472453415394457e-09,0.7965350444366084,4.7328122842474246e-11,0.02560251349027052,3.009670621968114e-11,0.016281045617777382,1.217268817988612e-10,0.06584909660915218,1.7696817341136998e-10,0.09573229984619155,0.24724782048892263,1.5725349643584907,0.8221375579268789,0.16158139645534375
20260523-201055_ear_eeg_ch1_only_eyes_closed_60s,ear_eeg_ch1_only_eyes_closed_60s,0,0.256,4.256,117.00606394542122,2651.0,0.06728113716401202,0.5214496527279022,1.0,,0.0,0.75,6.5,10.75,23.75,48.75,1.4277605828576432e-09,0.7733312708937504,5.1921408662241986e-11,0.028122676469328492,3.443404141317628e-11,0.018650830767972474,1.3604562283078899e-10,0.07368765860778481,1.96085401086132e-10,0.1062075632611638,0.25310657334418396,1.5078511418172982,0.801453947363079,0.17989522186894863
20260523-201055_ear_eeg_ch1_only_eyes_closed_60s,ear_eeg_ch1_only_eyes_closed_60s,0,0.512,4.512,116.8335568233716,2651.0,0.07858147639048237,0.528351710144852,1.0,,0.0,0.5,6.25,10.25,24.75,48.75,1.2946375242258667e-09,0.7370416622893756,6.123275276841104e-11,0.0348600199225419,3.881411374266286e-11,0.022097010458805577,1.5453062671479424e-10,0.08797482527520217,2.0731733406351632e-10,0.11802648205407464,0.2511742466061385,1.577589872961766,0.7719016822119176,0.2060013073292768
20260523-201055_ear_eeg_ch1_only_eyes_closed_60s,ear_eeg_ch1_only_eyes_closed_60s,0,0.768,4.768,114.07307307160616,2651.0,0.09096778359809106,0.6140869831185207,1.0,,0.0,0.5,6.0,12.5,24.75,48.75,6.071953161333225e-10,0.6330323906688564,6.12369507173936e-11,0.06384267513254492,3.7499614155308436e-11,0.03909527917485172,1.1406902652511564e-10,0.11892283527860427,1.3918431755942009e-10,0.14510681974514275,0.32874493013273676,1.6330021547361686,0.6968750658014013,0.26402965502374703
20260523-201055_ear_eeg_ch1_only_eyes_closed_60s,ear_eeg_ch1_only_eyes_closed_60s,0,1.024,5.024,111.53613315872126,2651.0,0.1308653040883248,0.7376549525916256,1.0,,0.0,0.5,6.5,13.0,25.0,48.75,1.256278316520244e-10,0.41808691229325956,3.8502443804586585e-11,0.12813536327358038,1.8845410815124104e-11,0.06271715045132097,4.141750365002885e-11,0.1378366241638171,7.608938429453921e-11,0.253223949818022,0.455010784193194,2.0430673643732415,0.54622227556684,0.3910605739818391
20260523-201055_ear_eeg_ch1_only_eyes_closed_60s,ear_eeg_ch1_only_eyes_closed_60s,0,1.28,5.28,110.66474596726819,2651.0,0.10963142070324201,0.7417157138175559,1.0,,0.0,0.5,6.75,9.0,25.25,48.75,1.0603018610037793e-10,0.41980840985803186,2.242981909578733e-11,0.08880703726287466,2.0672331965141627e-11,0.08184856718187479,3.1825234013271134e-11,0.12600657771007612,7.161046607897428e-11,0.2835294079871427,0.6495578934791574,1.0850163945513858,0.5086154471209066,0.40953598569721883
20260523-201055_ear_eeg_ch1_only_eyes_closed_60s,ear_eeg_ch1_only_eyes_closed_60s,0,1.536,5.536,110.46504424477456,2651.0,0.10888620535623245,0.7249704011190897,1.0,,0.25,0.5,5.25,10.75,13.75,48.5,1.022986340262108e-10,0.4171708740252759,2.4420950964315872e-11,0.09958793248110993,1.6985743502542307e-11,0.06926737126430418,3.175416082501764e-11,0.1294925504275813,6.97604922188139e-11,0.2844812718017288,0.5349139470617035,1.437732234721472,0.5167588065063858,0.41397382222931006
20260523-201055_ear_eeg_ch1_only_eyes_closed_60s,ear_eeg_ch1_only_eyes_closed_60s,0,1.792,5.792,18.4981350411332,189.0,0.10646290113645741,0.7880192446849579,1.0,,0.5,0.5,4.25,13.0,13.75,48.5,5.825362093072984e-11,0.3545401326744065,2.164689328551284e-11,0.13174618667156368,1.254147570344792e-11,0.07632927170519772,2.4396351018385932e-11,0.1484797921336969,4.7469210061311494e-11,0.2889046168151353,0.5140717845056513,1.7260244166929772,0.48628631934597016,0.4373844089488322
20260523-201055_ear_eeg_ch1_only_eyes_closed_60s,ear_eeg_ch1_only_eyes_closed_60s,0,2.048,6.048,14.278480311293636,136.0,0.09949236596924654,0.8589190948052703,1.0,,0.75,0.75,5.25,13.0,13.0,48.75,3.253449533877274e-11,0.28006137380902246,1.6723388149455435e-11,0.14395720637769965,1.0395112562484303e-11,0.08948254690397174,1.8453812422401937e-11,0.15885293456120486,3.8062354365308424e-11,0.32764593834810124,0.5633043364993348,1.6087741281234142,0.4240185801867221,0.4864988729093061
20260523-201055_ear_eeg_ch1_only_eyes_closed_60s,ear_eeg_ch1_only_eyes_closed_60s,0,2.304,6.304,12.505798655023996,136.0,0.07564855975515732,0.9053658630304949,1.0,,0.75,0.75,5.25,13.0,13.0,48.75,2.1539821669189113e-11,0.24678659230095923,1.3687576972358426e-11,0.1568216547817214,9.910382207303238e-12,0.1135454829154348,1.7505634275517644e-11,0.20056599795816726,2.4637751442902135e-11,0.2822802720437173,0.5661252857980312,1.3811351253710142,0.4036082470826806,0.48284627000188457
