freq_hz,psd_v2_per_hz
0.0,3.4867922595398805e-12
0.25,5.0674209503733274e-12
0.5,6.3879705523439e-12
0.75,8.633933800057736e-12
1.0,8.507142595774487e-12
1.25,5.653855621209623e-12
1.5,5.037655549347056e-12
1.75,2.257115189253673e-12
2.0,1.1818478729155948e-12
2.25,8.570664003154573e-13
2.5,5.01149706885231e-13
2.75,4.682640237742472e-13
3.0,4.908258485134934e-13
3.25,3.258547776251695e-13
3.5,2.2963382753502584e-13
3.75,2.082199513483035e-13
4.0,1.3641784273990933e-13
4.25,1.3752734075300032e-13
4.5,1.4536968562268509e-13
4.75,1.4187794416906697e-13
5.0,1.158873781217422e-13
5.25,1.0430469365143091e-13
5.5,4.6921934654531704e-14
5.75,3.38010888668962e-14
6.0,3.101059770116673e-14
6.25,2.4460095735427316e-14
6.5,3.833276350720411e-14
6.75,4.2647196600140146e-14
7.0,4.623945853264572e-14
7.25,4.720718255826139e-14
7.5,3.8766666798009056e-14
7.75,2.6391704447074707e-14
8.0,2.2659770177253254e-14
8.25,1.6302705314069643e-14
8.5,1.7870588068932706e-14
8.75,2.6721529581690782e-14
9.0,2.7992615827547334e-14
9.25,2.6870710196701345e-14
9.5,2.4324737362411178e-14
9.75,1.3696292878311753e-14
10.0,9.534870851228462e-15
10.25,9.090920519617816e-15
10.5,8.531340991776034e-15
10.75,1.1834406203640685e-14
11.0,1.3092900941059591e-14
11.25,1.2181387782414092e-14
11.5,1.1584676494285839e-14
11.75,7.450215661221243e-15
12.0,6.52442496235622e-15
12.25,1.0170422091907966e-14
12.5,1.3498223736736298e-14
12.75,1.44025859891381e-14
13.0,1.0629771681487176e-14
13.25,9.524302622671135e-15
13.5,5.722424929065336e-15
13.75,5.128164526955375e-15
14.0,3.554586374046845e-15
14.25,3.2503707841013745e-15
14.5,5.853239090389442e-15
14.75,8.924453424154084e-15
15.0,1.162396667720226e-14
15.25,1.2491861493453794e-14
15.5,1.2801658051290322e-14
15.75,1.0788007214743687e-14
16.0,1.0153934023702044e-14
16.25,9.402724595966778e-15
16.5,7.271984645057401e-15
16.75,6.0871167235948265e-15
17.0,2.9515555271954912e-15
17.25,2.9471271513265094e-15
17.5,1.3863729700840038e-15
17.75,2.2909996560510018e-15
18.0,2.8134711635679277e-15
18.25,2.7096815910375406e-15
18.5,2.257246275827111e-15
18.75,2.3979653213458644e-15
19.0,1.9191818868196223e-15
19.25,2.2012760347952027e-15
19.5,2.515031682039028e-15
19.75,2.548101215870905e-15
20.0,2.1048364611325814e-15
20.25,1.657020128088324e-15
20.5,2.0373571890606747e-15
20.75,1.6832245244778107e-15
21.0,2.725716234870333e-15
21.25,4.979101098668354e-15
21.5,8.012919003353724e-15
21.75,7.396532664069773e-15
22.0,1.2319474482789333e-14
22.25,1.574417466959673e-14
22.5,1.577470883760258e-14
22.75,2.275211511689292e-14
23.0,2.3705021182484294e-14
23.25,2.244010285550734e-14
23.5,2.0820104909324118e-14
23.75,1.9325146743013188e-14
24.0,1.2890608203612377e-14
24.25,1.3480034917921023e-14
