capture,condition,channel,window_start_sec,window_end_sec,rms_uV,ptp_uV,line_50_ratio_1_50,spectral_entropy_0p5_40,quality_score,quality_warnings,peak_freq,peak_delta,peak_theta,peak_alpha,peak_beta,peak_gamma,delta_abs,delta_rel,theta_abs,theta_rel,alpha_abs,alpha_rel,beta_abs,beta_rel,gamma_abs,gamma_rel,alpha_beta_ratio,theta_alpha_ratio,slow_power_rel,fast_power_rel
20260523-201321_ear_eeg_ch1_only_jaw_movement_30s,ear_eeg_ch1_only_jaw_movement_30s,0,0.0,4.0,239.52125792922848,1578.0,0.025988844277733753,0.402955410573031,0.45119685517692876,high_rms;possible_artifact_window,0.0,0.5,6.0,8.0,30.0,49.25,9.406369104612336e-09,0.9219134374099631,2.041578486650415e-10,0.02000940659927127,5.772728595854028e-11,0.005657821847995524,1.4725590896281252e-10,0.01443247651681749,3.8758346440629287e-10,0.037986857625952546,0.3920201665599614,3.5365918434424164,0.9419228440092344,0.05241933414277004
20260523-201321_ear_eeg_ch1_only_jaw_movement_30s,ear_eeg_ch1_only_jaw_movement_30s,0,0.256,4.256,248.5075793612742,1578.0,0.008609126503608741,0.43051762659220005,0.42873105159681457,high_rms;possible_artifact_window,0.0,0.5,6.0,8.0,27.5,49.25,1.6054831412750866e-08,0.9438721250596279,3.856744561773917e-10,0.022674007541696004,7.120233937762391e-11,0.004186023611820631,1.8157260134003084e-10,0.01067475033984519,3.162599814190049e-10,0.018593093447010385,0.39214253060285986,5.416598099845494,0.9665461326013239,0.029267843786855575
20260523-201321_ear_eeg_ch1_only_jaw_movement_30s,ear_eeg_ch1_only_jaw_movement_30s,0,0.512,4.512,248.41374760668944,1578.0,0.0026503152259136297,0.43503067291540587,0.42896563098327634,high_rms;possible_artifact_window,0.0,0.75,6.0,8.0,30.0,30.25,1.4122463104590352e-08,0.943109609949659,3.4232237117167593e-10,0.02286056727935962,8.307861119369842e-11,0.005548057447045534,1.7751326639268513e-10,0.011854480779211874,2.4898294963289167e-10,0.01662728454472414,0.468013534323212,4.120463332897425,0.9659701772290186,0.028481765323936016
20260523-201321_ear_eeg_ch1_only_jaw_movement_30s,ear_eeg_ch1_only_jaw_movement_30s,0,0.768,4.768,249.55209676538485,1578.0,0.004161481837626372,0.4188323126921542,0.4261197580865379,high_rms;possible_artifact_window,0.25,0.5,6.0,8.0,30.0,30.25,1.1698035582619405e-08,0.9281939709030957,2.929328936794697e-10,0.023243094438561988,1.0464748962030782e-10,0.008303374378518014,2.0144879798661852e-10,0.015984184559557132,3.0594274242144084e-10,0.024275375720267143,0.5194743809156864,2.7992347904600217,0.9514370653416577,0.040259560279824275
20260523-201321_ear_eeg_ch1_only_jaw_movement_30s,ear_eeg_ch1_only_jaw_movement_30s,0,1.024,5.024,250.07586648855184,1578.0,0.002764291329364809,0.42689542353784843,0.42481033377862043,high_rms;possible_artifact_window,0.5,0.5,6.0,8.0,20.5,34.75,1.4322588299893884e-08,0.9353622457858849,3.457702935495438e-10,0.022581147452443506,9.031787044092245e-11,0.005898370068407658,2.0885116593837638e-10,0.01363939893521673,3.4481618608588437e-10,0.022518837758047264,0.43245087972155083,3.828370751674383,0.9579433932383284,0.03615823669326399
20260523-201321_ear_eeg_ch1_only_jaw_movement_30s,ear_eeg_ch1_only_jaw_movement_30s,0,1.28,5.28,250.7309334725175,1578.0,0.001779071225263101,0.4533002069359275,0.4231726663187063,high_rms;possible_artifact_window,0.75,0.75,6.0,8.0,20.5,37.0,1.8836413075768983e-08,0.9417193640423356,4.692433061512722e-10,0.023459642028043546,1.0045136590976168e-10,0.005022028134614098,2.523443029784257e-10,0.012615858208495362,3.4369911545150987e-10,0.017183107586511433,0.39807265202396824,4.671348188264626,0.9651790060703791,0.029798965795006793
20260523-201321_ear_eeg_ch1_only_jaw_movement_30s,ear_eeg_ch1_only_jaw_movement_30s,0,1.536,5.536,250.92171089804086,1578.0,0.0011324993475131094,0.4816290127271604,0.42269572275489786,high_rms;possible_artifact_window,1.0,1.0,6.0,11.0,13.75,30.25,2.3649732692363494e-08,0.9410128812735977,7.080355155002776e-10,0.028172434299863873,1.318293069596529e-10,0.0052454324787553006,2.9946068241264984e-10,0.01191541415080254,3.431511093519171e-10,0.013653837796980536,0.4402224221809365,5.370850623655148,0.9691853155734615,0.025569251947783075
20260523-201321_ear_eeg_ch1_only_jaw_movement_30s,ear_eeg_ch1_only_jaw_movement_30s,0,1.792,5.792,251.56151732727326,1578.0,0.001312440567050446,0.4724595103736357,0.4210962066818169,high_rms;possible_artifact_window,0.75,0.75,6.0,10.5,13.75,41.25,2.4743069519952006e-08,0.938324550272678,7.259225701051801e-10,0.02752895992057379,1.5367363506022088e-10,0.0058277225624886455,3.4105082071692256e-10,0.01293357550934751,4.056985065179154e-10,0.015385191734912061,0.45058866809698245,4.7237938363383485,0.9658535101932518,0.028318767244259573
20260523-201321_ear_eeg_ch1_only_jaw_movement_30s,ear_eeg_ch1_only_jaw_movement_30s,0,2.048,6.048,297.94722015820184,1578.0,0.0023100277559096744,0.43773651878895,0.4,high_rms;possible_artifact_window,0.0,0.5,6.5,8.0,30.0,30.0,2.1581795166469643e-08,0.9332988888222489,4.65171183967352e-10,0.02011620190814168,1.6015086337944276e-10,0.006925680726883103,4.140716349128224e-10,0.01790641574419896,5.030165102894364e-10,0.02175281279852734,0.3867709108187537,2.904581181465314,0.9534150907303905,0.0396592285427263
20260523-201321_ear_eeg_ch1_only_jaw_movement_30s,ear_eeg_ch1_only_jaw_movement_30s,0,2.304,6.304,228.65310188143087,1243.0,0.0009780779473046704,0.5252380455106862,0.4783672452964228,high_rms;possible_artifact_window,0.0,0.75,4.25,8.0,14.75,31.0,3.3962678569903005e-08,0.8898973664783656,2.4555403614061226e-09,0.06434059364307917,6.33824499560388e-10,0.016607605074709753,6.871185914062836e-10,0.018004028265681114,4.255520776267311e-10,0.011150406538164476,0.9224382915664939,3.874164477878737,0.9542379601214448,0.02915443480384559
