freq_hz,psd_v2_per_hz
0.0,1.6558187864752217e-14
0.25,1.0153179638501409e-14
0.5,1.0966741101248189e-14
0.75,1.3998007870833297e-14
1.0,1.2392126634724838e-14
1.25,6.5596889594876886e-15
1.5,7.992346396248799e-15
1.75,9.356687763258338e-15
2.0,9.047188568490967e-15
2.25,7.360845353163615e-15
2.5,6.8310059557858274e-15
2.75,5.820591526856826e-15
3.0,3.706301243532563e-15
3.25,5.1058861913287854e-15
3.5,6.367446213912991e-15
3.75,6.463353003666538e-15
4.0,6.226918745110391e-15
4.25,5.097513040629237e-15
4.5,5.289808992023433e-15
4.75,3.771512149421024e-15
5.0,4.1964290027011674e-15
5.25,3.657773069424271e-15
5.5,3.033468885477087e-15
5.75,1.5444164390207633e-15
6.0,2.4220710732340072e-15
6.25,1.791932551014471e-15
6.5,1.6280252049886753e-15
6.75,1.3520966358071517e-15
7.0,1.3023070857916304e-15
7.25,7.037475515034858e-16
7.5,8.221963670687795e-16
7.75,6.947947643306691e-16
8.0,9.819819248839064e-16
8.25,1.072935088275092e-15
8.5,1.1915503820838413e-15
8.75,9.472192630526172e-16
9.0,2.292853780328362e-15
9.25,1.7094224332899537e-15
9.5,2.0841003273862617e-15
9.75,1.8257927845594736e-15
10.0,1.8686050993065853e-15
10.25,7.725624038913665e-16
10.5,5.467948146736945e-16
10.75,4.925415312937025e-16
11.0,4.785990870155097e-16
11.25,5.605029556110294e-16
11.5,6.788380891197715e-16
11.75,5.620409530176975e-16
12.0,4.546514016806002e-16
12.25,8.993418209205522e-16
12.5,7.1863414691330585e-16
12.75,6.856920959718312e-16
13.0,9.774427065716271e-16
13.25,1.1877418596000133e-15
13.5,1.8049292368229937e-15
13.75,2.128331171878851e-15
14.0,2.185670752868448e-15
14.25,2.072091745443082e-15
14.5,1.3158230631430242e-15
14.75,1.1785880689048375e-15
15.0,6.024844346020846e-16
15.25,3.716379681538468e-16
15.5,1.977240964384423e-16
15.75,7.6708618333635635e-16
16.0,7.470040412462974e-16
16.25,8.186055114530104e-16
16.5,8.596270253077105e-16
16.75,8.133194730342141e-16
17.0,4.3318941003024493e-16
17.25,4.3428644737245007e-16
17.5,2.580538642116608e-16
17.75,7.431503922178081e-16
18.0,6.31957233798401e-16
18.25,7.937576756014373e-16
18.5,7.302556300426028e-16
18.75,5.852083642589226e-16
19.0,3.032023561187372e-16
19.25,7.335025000161963e-16
19.5,1.1978869713505537e-15
19.75,1.3484075467213927e-15
20.0,1.3988398113664342e-15
20.25,1.4282979632493993e-15
20.5,2.9043005785902623e-16
20.75,3.284409330804116e-16
21.0,3.190907363041669e-16
21.25,3.8928192931966834e-16
21.5,2.799318815274908e-16
21.75,4.0248590156464936e-16
22.0,4.751840214342995e-16
22.25,7.537382446276252e-16
22.5,6.890269829750726e-16
22.75,7.023437372032993e-16
23.0,6.604232815997144e-16
23.25,6.972590801361362e-16
23.5,3.7721956636100917e-16
23.75,4.1101315705339746e-16
24.0,3.6828906461557116e-16
24.25,3.257223077723512e-16
24.5,5.757275093740245e-16
24.75,2.4938802573081446e-16
