channel,band,bandpower_abs_uV2,bandpower_rel,peak_hz
ch1,delta,0.008837337050191893,0.09012225693744826,1.2664293537787514
ch1,theta,0.007674102913104633,0.07825971450123863,5.442223439211391
ch1,alpha,0.009190753912927828,0.09372636585947056,9.104600219058051
ch1,beta,0.03042148350815621,0.31023516898462833,22.556133625410734
ch1,gamma,0.04193575155697053,0.42765649371721426,49.151150054764514
ch2,delta,2.759176844543775,0.08512861969377163,3.9704271631982477
ch2,theta,3.4688297883336086,0.10702347419935124,7.803943044906901
ch2,alpha,4.343610348942831,0.13401299529759753,8.248904709748084
ch2,beta,13.75388661676999,0.4243473503431294,13.246166484118293
ch2,gamma,8.086355708763849,0.24948756046615025,30.188937568455643
ch3,delta,0.012045468318341543,0.085037479505552,3.5596933187294635
ch3,theta,0.015165235073241799,0.10706211935105864,7.701259583789705
ch3,alpha,0.01898278309598754,0.1340128906424814,8.420043811610077
ch3,beta,0.0601045464821288,0.4243205000076114,13.314622124863089
ch3,gamma,0.03535090098718115,0.24956701049329655,30.01779846659365
ch4,delta,0.00035354179595165644,0.08540551014484087,3.5254654983570646
ch4,theta,0.0004425253229298324,0.10690136608911942,6.400602409638554
ch4,alpha,0.0005553960045709171,0.13416767026117526,8.111993428258488
ch4,beta,0.0017572051953420893,0.42449013908917643,13.656900328587076
ch4,gamma,0.0010308982659853164,0.24903531441568807,30.01779846659365
