capture,condition,channel,window_start_sec,window_end_sec,rms_uV,ptp_uV,line_50_ratio_1_50,spectral_entropy_0p5_40,quality_score,quality_warnings,peak_freq,peak_delta,peak_theta,peak_alpha,peak_beta,peak_gamma,delta_abs,delta_rel,theta_abs,theta_rel,alpha_abs,alpha_rel,beta_abs,beta_rel,gamma_abs,gamma_rel,alpha_beta_ratio,theta_alpha_ratio,slow_power_rel,fast_power_rel
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,0.0,4.0,114.24443968964091,2826.0,0.03352642811432724,0.7386956782819776,1.0,,1.25,1.25,4.0,12.25,21.75,49.5,1.6411474301799277e-10,0.6704379696293177,2.2023440565266567e-11,0.08996967917264122,7.796346810152383e-12,0.03184946598826597,2.6971149688128452e-11,0.1101819525957809,2.388168348131281e-11,0.09756093261399425,0.28906245748893683,2.8248410571715077,0.7604076488019589,0.20774288520977513
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,0.256,4.256,114.26043934800882,2826.0,0.05038355527434663,0.7315119828611171,1.0,,1.25,1.25,4.0,10.75,21.75,49.5,1.9244470967514575e-10,0.6613540337814771,3.144748244057403e-11,0.10807218031326249,7.53840936021845e-12,0.02590644059320899,2.6507868330683342e-11,0.09109673982225262,3.3047446730076954e-11,0.11357060548979897,0.2843838390238495,4.1716336879405995,0.7694262140947395,0.2046673453120516
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,0.512,4.512,114.3191934891075,2826.0,0.06407568030147762,0.7274194658826005,1.0,,1.25,1.25,4.0,10.75,22.75,49.5,1.922722546934594e-10,0.6575709528841461,3.0440850200837036e-11,0.10410768264553404,7.878112380390723e-12,0.026943137860223683,2.4233570298731554e-11,0.08287879048658146,3.757294357656842e-11,0.1284994361235148,0.3250908670606858,3.8639776549274476,0.7616786355296802,0.21137822661009625
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,0.768,4.768,114.33839687524048,2826.0,0.06742444896282332,0.7287909492484667,1.0,,1.25,1.25,4.0,8.25,22.75,49.5,1.9426530636525882e-10,0.6528020579462993,3.034095050817015e-11,0.10195662469210912,8.872892401142039e-12,0.029816144363476793,2.448684771653082e-11,0.08228471095046556,3.96208503549576e-11,0.1331404620476492,0.3623533949268627,3.419510700283589,0.7547586826384084,0.21542517299811476
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,1.024,5.024,114.29838144085856,2826.0,0.06370044045080724,0.7296770282760592,1.0,,1.25,1.25,4.0,8.0,22.75,49.5,2.0300534414352052e-10,0.6500468552508143,3.4612338856404305e-11,0.1108327572429542,9.277296737324691e-12,0.029706989216318327,2.4287524297604475e-11,0.07777149344562932,4.111089836179771e-11,0.131641904844284,0.38197786746999685,3.730864694361983,0.7608796124937685,0.20941339828991334
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,1.28,5.28,114.28935208496021,2826.0,0.07324575771239783,0.7366573828468053,1.0,,1.25,1.25,4.0,8.25,22.0,49.25,2.2354889280794724e-10,0.6080709157560419,5.790003585919029e-11,0.15749274078244896,1.2163151950035474e-11,0.03308474871799958,2.3036762773580366e-11,0.0626618421582615,5.098737635838363e-11,0.13868975258524788,0.527988766025092,4.760282211143585,0.7655636565384909,0.2013515947435094
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,1.536,5.536,114.29645226340142,2826.0,0.11466070799787563,0.7505371369903161,1.0,,1.25,1.25,4.0,8.25,22.5,49.25,2.2032348501164418e-10,0.5728805115902941,4.8105008424667195e-11,0.1250816354639737,9.713476401003522e-12,0.02525677791286322,3.222247699045e-11,0.08378420984953046,7.422445182412803e-11,0.19299686518333853,0.30145033244596225,4.9523987539309156,0.6979621470542677,0.276781075032869
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,1.792,5.792,53.87480858434673,1451.0,0.11130855477857644,0.7878156781512907,1.0,,1.0,1.0,4.0,8.0,22.5,49.5,1.426929185375521e-10,0.5295193857448646,2.450665940653266e-11,0.09094180263886555,1.1881317868686682e-11,0.04409040199153799,3.89154250185394e-11,0.14441131461190465,5.14799672498682e-11,0.1910370950128272,0.30531127086563736,2.062621308291076,0.6204611883837301,0.3354484096247319
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,2.048,6.048,27.059249804826443,447.0,0.10796534733578313,0.8206743192198144,1.0,,2.75,2.75,4.0,8.25,22.25,49.5,1.0571955334729362e-10,0.481222194633822,2.5081237026715936e-11,0.11416665644129206,9.087718893063037e-12,0.041366160671988825,3.307371612064881e-11,0.15054742242421776,4.6727461676149664e-11,0.21269756582867924,0.274771630134097,2.759904583521096,0.5953888510751141,0.36324498825289697
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,2.304,6.304,25.68618305626587,447.0,0.13900891304239568,0.8289136425444821,1.0,,2.75,2.75,4.0,8.25,22.25,49.25,8.681615902375389e-11,0.43699881046364875,2.3673530236747156e-11,0.11916335241349638,8.012808140321797e-12,0.04033336265010287,2.8753132833086924e-11,0.14473209810773036,5.1408890000466484e-11,0.25877237636502176,0.2786760033014999,2.9544611354935575,0.5561621628771451,0.4035044744727521
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,2.56,6.56,25.514015756050636,447.0,0.15214246662709366,0.8252996193514006,1.0,,2.75,2.75,4.0,8.25,22.0,49.5,8.200855594708671e-11,0.437555833177224,2.0951023059977046e-11,0.11178397479451227,7.737923752912877e-12,0.04128561508816451,2.578858457639157e-11,0.13759473606711126,5.093812171050478e-11,0.271779840872988,0.30005228592485994,2.707576829261235,0.5493398079717363,0.40937457694009927
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,2.816,6.816,25.349773174527616,447.0,0.14865337186804797,0.8152239403422101,1.0,,2.75,2.75,4.0,8.25,22.0,49.5,7.39466266017316e-11,0.4441728860517871,1.417976133601406e-11,0.08517312831678821,7.239715398656537e-12,0.04348657174226711,2.4730823990117165e-11,0.14854986590925687,4.6384703866767835e-11,0.27861754797990074,0.29274056543969756,1.9586075633091014,0.5293460143685753,0.4271674138891576
