freq_hz,psd_v2_per_hz
0.0,1.252729420435464e-13
0.25,1.0153328752431523e-13
0.5,9.011522648054014e-14
0.75,7.160654037706769e-14
1.0,4.7176738729841975e-14
1.25,2.3337309045384717e-14
1.5,1.8977594390499403e-14
1.75,4.742078871556726e-15
2.0,7.014741228444942e-15
2.25,4.1879620379357355e-15
2.5,3.874274329827237e-15
2.75,5.765641334721158e-15
3.0,5.509982541120102e-15
3.25,3.5932459095430165e-15
3.5,4.312041839102634e-15
3.75,3.620537324257865e-15
4.0,2.9233421639822727e-15
4.25,3.457165281019993e-15
4.5,3.813588278103877e-15
4.75,4.020814847343114e-15
5.0,4.066679619360372e-15
5.25,5.088087480016964e-15
5.5,4.469316222926817e-15
5.75,4.5162480058478665e-15
6.0,4.518923082736121e-15
6.25,2.725168963969464e-15
6.5,2.8663431917240253e-15
6.75,3.5779664655472445e-15
7.0,8.306035908316303e-16
7.25,1.977992521076574e-15
7.5,1.800932613558465e-15
7.75,1.5555442669897455e-15
8.0,1.1401794859062263e-15
8.25,9.2814655820801e-16
8.5,1.9776837570383285e-16
8.75,7.325565116093929e-16
9.0,1.008555311300449e-15
9.25,1.6734558506926963e-15
9.5,1.6907168972151898e-15
9.75,1.0540087291591612e-15
10.0,1.096186044484104e-15
10.25,1.119469193660342e-15
10.5,7.083362559143629e-16
10.75,8.640698392017981e-16
11.0,4.446010844049587e-16
11.25,5.556894297525164e-16
11.5,6.340120622008429e-16
11.75,5.888167476241485e-16
12.0,4.797646137271371e-16
12.25,3.6086175142634457e-16
12.5,2.715322188645345e-16
12.75,1.5870208146095508e-16
13.0,1.7462617938266269e-16
13.25,2.178980638105406e-16
13.5,3.65125459152503e-16
13.75,3.980863093913861e-16
14.0,4.659972870747724e-16
14.25,4.532366065501459e-16
14.5,1.839738025464498e-16
14.75,3.159805867520609e-16
15.0,2.790704753938431e-16
15.25,2.699956744605724e-16
15.5,4.2662995920859734e-16
15.75,1.1857076188523566e-15
16.0,1.0419236738965569e-15
16.25,1.2384998164442822e-15
16.5,1.2671668374127362e-15
16.75,2.8702346875770514e-16
17.0,6.259383973911281e-16
17.25,7.257107148696002e-16
17.5,8.346924528507395e-16
17.75,8.826046584623459e-16
18.0,9.888550345751646e-16
18.25,9.338661977095365e-16
18.5,9.054558303424377e-16
18.75,7.384364910639525e-16
19.0,9.785764700495228e-16
19.25,1.0873424611535191e-15
19.5,7.889725795837021e-16
19.75,7.981515354784664e-16
20.0,4.639082861501535e-16
20.25,7.286820251549748e-16
20.5,8.159998425812544e-16
20.75,7.52757305668426e-16
21.0,8.477925296663718e-16
21.25,5.156365399266283e-16
21.5,4.745790956085129e-16
21.75,5.618554000271321e-16
22.0,6.828831543300523e-16
22.25,5.768442675145258e-16
22.5,5.761455876258152e-16
22.75,4.2555667020651714e-16
23.0,4.463894685620785e-16
23.25,4.250263289064872e-16
23.5,2.3907674755076184e-16
23.75,2.1409747830870572e-16
24.0,3.9538284460560643e-16
24.25,4.1612763752060027e-16
24.5,7.148619714691982e-16
24.75,7.417065724401049e-16
25.0,7.043028430643699e-16
25.25,6.102844983376776e-16
25.5,1.2251657579739016e-15
25.75,1.1039722091837044e-15
26.0,8.149404729856078e-16
26.25,9.48234536427239e-16
26.5,6.79182821097827e-16
26.75,5.323338116729444e-16
27.0,4.309010728690625e-16
27.25,7.370244297872285e-16
27.5,5.444463955448462e-16
27.75,4.2265196851315217e-16
28.0,9.957797716439148e-16
28.25,1.2886119938855353e-15
28.5,9.828305574934384e-16
28.75,6.664445198244604e-16
29.0,6.209047830647062e-16
29.25,6.5990320172631525e-16
29.5,6.222250586659158e-16
29.75,7.20658302055474e-16
30.0,4.254549591456483e-16
