channel,band,bandpower_abs_uV2,bandpower_rel,peak_hz
ch1,delta,0.0052123785826780405,0.22591837298736472,0.5364064230343301
ch1,theta,0.0007007771838377448,0.03037354994232769,4.049003322259137
ch1,alpha,0.00046571922360490983,0.020185511776794677,9.240033222591363
ch1,beta,0.002393152649649989,0.10372561093625418,29.58887043189369
ch1,gamma,0.014299927570218196,0.6197969543572588,49.591638981173865
ch2,delta,2.2961231127630094e-08,0.06467635010571372,3.997093023255814
ch2,theta,4.52123476821895e-08,0.12735247563776236,6.246539313399778
ch2,alpha,4.4703793929192024e-08,0.12592000015795848,8.011489479512734
ch2,beta,1.4717626291410252e-07,0.4145606764102781,15.503875968992247
ch2,gamma,9.496378710033256e-08,0.2674904976882873,33.1187707641196
ch3,delta,1.4661886040118555,0.0855007363910057,3.997093023255814
ch3,theta,1.8372998443792308,0.1071420751980106,7.994186046511628
ch3,alpha,2.3051034008998874,0.13442202298876849,8.842054263565892
ch3,beta,7.265843196212691,0.42370738803855845,13.01218161683278
ch3,gamma,4.273821985953812,0.24922777738365684,30.004152823920265
ch4,delta,0.0,0.0,0.5017995570321152
ch4,theta,0.0,0.0,4.014396456256922
ch4,alpha,0.0,0.0,8.011489479512734
ch4,beta,0.0,0.0,13.01218161683278
ch4,gamma,0.0,0.0,30.004152823920265
