capture,condition,channel,window_start_sec,window_end_sec,rms_uV,ptp_uV,line_50_ratio_1_50,spectral_entropy_0p5_40,quality_score,quality_warnings,peak_freq,peak_delta,peak_theta,peak_alpha,peak_beta,peak_gamma,delta_abs,delta_rel,theta_abs,theta_rel,alpha_abs,alpha_rel,beta_abs,beta_rel,gamma_abs,gamma_rel,alpha_beta_ratio,theta_alpha_ratio,slow_power_rel,fast_power_rel
20260523-202208_fp1_fp2_ch1_only_eyes_open_60s,fp1_fp2_ch1_only_eyes_open_60s,0,0.0,4.0,37.18350440719648,517.0,0.3019599200351432,0.6325664494978689,0.75,high_50hz_ratio,0.0,0.75,5.75,10.25,18.0,48.5,3.0070781855451775e-10,0.350235970287555,3.23795056181547e-11,0.03771257967989863,2.1068976444855638e-11,0.024539147148220346,7.521998551240756e-11,0.08760911085581781,4.292100501268084e-10,0.49990319202850814,0.28009811888863373,1.5368333484496695,0.38794854996745365,0.587512302884326
20260523-202208_fp1_fp2_ch1_only_eyes_open_60s,fp1_fp2_ch1_only_eyes_open_60s,0,0.256,4.256,36.27528083971232,517.0,0.3011042025509509,0.652255854714106,0.75,high_50hz_ratio,0.0,0.5,5.75,10.25,17.5,48.75,2.6923724677960394e-10,0.3483422011446282,3.0444495768471304e-11,0.03938943365220522,2.0594350051744342e-11,0.026645203492368607,6.70684978839392e-11,0.08677398264839584,3.855656279592238e-10,0.49884917906240217,0.3070644296728172,1.4782935946984477,0.3877316347968334,0.585623161710798
20260523-202208_fp1_fp2_ch1_only_eyes_open_60s,fp1_fp2_ch1_only_eyes_open_60s,0,0.512,4.512,35.907506179070694,517.0,0.313461901101705,0.6499667141715806,0.75,high_50hz_ratio,0.0,0.75,5.75,10.25,18.25,48.5,2.4673075674812007e-10,0.34331531605695365,2.694007011596247e-11,0.037485957601549075,2.0315892056780732e-11,0.028268696592103223,6.537186924851626e-11,0.09096216559332225,3.5931239797208676e-10,0.49996786415607175,0.31077422583020053,1.3260589316318414,0.3808012736585027,0.590930029749394
20260523-202208_fp1_fp2_ch1_only_eyes_open_60s,fp1_fp2_ch1_only_eyes_open_60s,0,0.768,4.768,35.793393245122765,517.0,0.30736767326358233,0.6559927929746505,0.75,high_50hz_ratio,0.0,0.75,5.75,9.75,18.25,48.5,2.296054647013481e-10,0.3345829544529196,2.335186964770244e-11,0.03402853476893691,2.0035377537232278e-11,0.029195715436068526,6.134560978208475e-11,0.0893933225426639,3.5190543834857235e-10,0.5127994727994111,0.3265983924261744,1.1655318001523574,0.3686114892218565,0.6021927953420749
20260523-202208_fp1_fp2_ch1_only_eyes_open_60s,fp1_fp2_ch1_only_eyes_open_60s,0,1.024,5.024,35.556532451857564,517.0,0.30251048381000417,0.6952810424133536,0.75,high_50hz_ratio,0.5,0.5,5.75,10.5,18.25,48.75,1.9698846230525272e-10,0.31211002260654847,2.515189780284179e-11,0.03985085877607372,1.7115235955570835e-11,0.02711751042927545,5.5775305461828175e-11,0.08837081951329162,3.3611980827910616e-10,0.5325507886748108,0.3068604611638435,1.4695618493448293,0.35196088138262216,0.6209216081881024
20260523-202208_fp1_fp2_ch1_only_eyes_open_60s,fp1_fp2_ch1_only_eyes_open_60s,0,1.28,5.28,35.28400487473042,517.0,0.2830820409180643,0.7449561595795651,0.75,high_50hz_ratio,0.0,0.75,6.25,10.0,17.75,48.75,1.498373291499728e-10,0.3153106047882053,1.699563516873864e-11,0.035764812641921315,1.4600311316139905e-11,0.030724206159470153,5.6507477307249664e-11,0.11891166871354976,2.372647329330689e-10,0.4992887076968533,0.2583783954246131,1.1640597793247618,0.3510754174301266,0.618200376410403
20260523-202208_fp1_fp2_ch1_only_eyes_open_60s,fp1_fp2_ch1_only_eyes_open_60s,0,1.536,5.536,33.01470884318079,378.0,0.23330416440788415,0.7534618201760861,1.0,,0.0,0.75,6.75,8.75,23.75,48.75,1.5067259459140425e-10,0.3435478299855481,1.820768631641216e-11,0.04151525458245352,1.909510945245462e-11,0.04353866364030583,6.947111672373557e-11,0.15840074608016108,1.8113170951466187e-10,0.4129975057115315,0.2748640061219941,0.9535261560949899,0.38506308456800165,0.5713982517916926
20260523-202208_fp1_fp2_ch1_only_eyes_open_60s,fp1_fp2_ch1_only_eyes_open_60s,0,1.792,5.792,30.47507178006313,378.0,0.2706759088312226,0.7497686969986387,0.75,high_50hz_ratio,0.0,0.75,5.25,8.25,23.75,48.75,1.266315135410325e-10,0.3594128691455135,1.3200140801202914e-11,0.03746540135088726,1.0596228148465832e-11,0.030074826198192062,5.7314519012551954e-11,0.16267337525995446,1.4458642256499096e-10,0.4103735280454527,0.18487860198469508,1.2457395798064321,0.3968782704964008,0.5730469033054071
20260523-202208_fp1_fp2_ch1_only_eyes_open_60s,fp1_fp2_ch1_only_eyes_open_60s,0,2.048,6.048,27.132710885571313,378.0,0.21425970653290896,0.849717077170426,1.0,,0.0,0.75,7.75,8.25,18.25,49.25,7.646916276523899e-11,0.2958589885700784,1.3437545314409167e-11,0.051989827295361876,1.382695068460291e-11,0.053496435643134305,4.3656293867335805e-11,0.1689060855545215,1.1107494355028523e-10,0.42974866293690395,0.3167229615647335,0.9718372200005481,0.3478488158654403,0.5986547484914254
20260523-202208_fp1_fp2_ch1_only_eyes_open_60s,fp1_fp2_ch1_only_eyes_open_60s,0,2.304,6.304,29.792851491591065,393.0,0.2196640682835153,0.8996435917168587,1.0,,49.25,0.75,8.0,8.0,18.5,49.25,5.1246770113855324e-11,0.25001814652193843,1.1307253990136153e-11,0.05516481679890899,8.570928853582759e-12,0.04181507910026904,4.5101042988380735e-11,0.22003492413490783,8.874620637920129e-11,0.43296703344397575,0.19003837352033887,1.3192565453870937,0.30518296332084743,0.6530019575788836
