freq_hz,psd_v2_per_hz
0.0,9.299723762500731e-14
0.25,5.4625016347485944e-14
0.5,5.858501178270287e-14
0.75,6.314651006231731e-14
1.0,2.7865916305675632e-14
1.25,1.9564526659104195e-14
1.5,1.5402361887677106e-14
1.75,7.170530614042534e-15
2.0,5.718968830198778e-15
2.25,4.33625237356414e-15
2.5,6.674337971193655e-15
2.75,8.175286110192464e-15
3.0,5.627998653334731e-15
3.25,7.915185437477849e-15
3.5,7.858660350835538e-15
3.75,4.953693434252252e-15
4.0,4.1126318757157e-15
4.25,5.799953476803915e-15
4.5,3.2036031908762395e-15
4.75,3.4939635859371548e-15
5.0,2.896172518721814e-15
5.25,1.9647766201390298e-15
5.5,1.1177240663805164e-15
5.75,5.747225498889979e-16
6.0,6.734532775454263e-16
6.25,1.6869270565038187e-15
6.5,1.871940969317033e-15
6.75,2.3346088422082107e-15
7.0,1.697044273737199e-15
7.25,1.4065289448316551e-15
7.5,8.318847838252989e-16
7.75,5.336097205849806e-16
8.0,5.39634747406884e-16
8.25,6.578203304836018e-16
8.5,6.064012535185533e-16
8.75,3.819900387492707e-16
9.0,7.394053646629337e-16
9.25,3.2019952006504656e-16
9.5,3.370314084868018e-16
9.75,5.273011987590596e-16
10.0,5.825272859412869e-16
10.25,5.592315952325657e-16
10.5,5.961943333045678e-16
10.75,4.491736630958259e-16
11.0,3.7797765976956723e-16
11.25,3.632415314729892e-16
11.5,3.49974707924388e-16
11.75,3.3804235842033496e-16
12.0,3.3319696506860657e-16
12.25,2.992680387631588e-16
12.5,2.9121341501868504e-16
12.75,4.0976325214158645e-16
13.0,4.4009164857736e-16
13.25,2.469812609694772e-16
13.5,2.4325622540171777e-16
13.75,7.281392077474518e-16
14.0,8.135253500626844e-16
14.25,7.587214923155698e-16
14.5,5.370544029859129e-16
14.75,6.306163241115498e-16
15.0,1.9097357329346213e-16
15.25,3.8373928339452116e-16
15.5,3.805170887660039e-16
15.75,3.078761196768954e-16
16.0,3.0091293545509623e-16
16.25,5.28595404384619e-16
16.5,5.091907088648778e-16
16.75,4.413624042506725e-16
17.0,4.798515156373646e-16
17.25,5.253308145902627e-16
17.5,5.371152297443469e-16
17.75,5.50241210658548e-16
18.0,3.1584803087997035e-16
18.25,5.404035475878784e-16
18.5,5.597042188493549e-16
18.75,8.7082085979958e-16
19.0,1.1415725114212724e-15
19.25,9.930606587476627e-16
19.5,9.509966754705166e-16
19.75,1.1045232096363405e-15
20.0,7.882565448469357e-16
20.25,1.0088921520585997e-15
20.5,6.7690834399129785e-16
20.75,9.870229600943145e-16
21.0,6.899742647063304e-16
21.25,6.367411814360343e-16
