capture,condition,channel,window_start_sec,window_end_sec,rms_uV,ptp_uV,line_50_ratio_1_50,spectral_entropy_0p5_40,quality_score,quality_warnings,peak_freq,peak_delta,peak_theta,peak_alpha,peak_beta,peak_gamma,delta_abs,delta_rel,theta_abs,theta_rel,alpha_abs,alpha_rel,beta_abs,beta_rel,gamma_abs,gamma_rel,alpha_beta_ratio,theta_alpha_ratio,slow_power_rel,fast_power_rel
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,0.0,4.0,40.73133928561642,402.0,0.22262384846155964,0.5325286683968125,1.0,,0.0,0.75,4.0,10.25,26.75,49.0,7.655906025036363e-10,0.6112104812831114,3.4415061261210313e-11,0.027475319169362727,2.4767453383755435e-11,0.01977313599897575,4.789822226002863e-11,0.03823962230521043,3.799096060235147e-10,0.3033014412433397,0.517085023517126,1.3895276485624712,0.6386858004524741,0.34154106354855013
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,0.256,4.256,40.44267548023993,402.0,0.2413900311255617,0.5239394205071507,1.0,,0.0,0.75,4.0,9.75,16.25,49.25,7.566443243517086e-10,0.6226936195349579,3.859954020882653e-11,0.03176616361407729,2.34068680309199e-11,0.019263089548234837,4.5605446744169044e-11,0.03753179636676311,3.5085876742870624e-10,0.2887453309359668,0.5132472040505255,1.64906898940249,0.6544597831490352,0.32627712730272995
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,0.512,4.512,40.393873297815844,402.0,0.25113884336515935,0.5480899470014918,0.75,high_50hz_ratio,0.25,0.75,4.0,10.25,27.0,49.25,7.67340019753668e-10,0.6154574462689023,3.8863528369565e-11,0.03117112011310182,2.6461751659546898e-11,0.021224074961468567,5.440815452655682e-11,0.0436389383833625,3.5970652114717285e-10,0.28850842027316487,0.4863563539290938,1.468668018261889,0.6466285663820042,0.33214735865652734
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,0.768,4.768,39.890224366378284,402.0,0.22795541212056397,0.5344355166618404,1.0,,0.75,0.75,4.5,9.75,26.75,49.25,6.184138516085575e-10,0.6766999388429288,3.622274056604914e-11,0.03963676793786347,2.2357074434928123e-11,0.024464249730937488,3.158977642464808e-11,0.03456714256806816,2.0528371744756164e-10,0.22463190092020208,0.7077313284649872,1.6201914374565436,0.7163367067807922,0.2591990434882702
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,1.024,5.024,39.058340978592526,402.0,0.18623881533741846,0.5119380878427983,1.0,,0.75,0.75,4.0,10.25,21.25,49.0,5.398059535916325e-10,0.700676172837928,2.85575278640425e-11,0.03706809677876802,1.7786198695789157e-11,0.023086750986315303,2.083067037845764e-11,0.02703852060414241,1.63426828303165e-10,0.2121304587928462,0.8538466776461994,1.6056004069494305,0.737744269616696,0.2391689793969886
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,1.28,5.28,38.58932494874716,402.0,0.19430594114601316,0.49761845150383144,1.0,,0.75,0.75,4.75,10.0,16.25,49.5,5.603375443686158e-10,0.7064976760267533,2.8501383179351716e-11,0.035935769755441355,1.4735651246424988e-11,0.018579342871038004,2.3078520794872367e-11,0.029098391624078464,1.6646705265225122e-10,0.209888819722689,0.6385006811051332,1.9341787276803546,0.7424334457821946,0.23898721134676745
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,1.536,5.536,34.83037467498735,338.0,0.14365700175387408,0.4897688198775229,1.0,,0.75,0.75,4.0,10.0,15.75,49.5,5.62986693011189e-10,0.7366072871247143,2.558812385506099e-11,0.03347929663252816,1.1081041474705629e-11,0.014498346054223942,2.303629425200661e-11,0.030140503185996263,1.416047839860404e-10,0.18527456700253728,0.481025348673014,2.3091804063246455,0.7700865837572425,0.21541507018853354
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,1.792,5.792,26.293725487271672,285.0,0.12502497679283409,0.5254356752497911,1.0,,0.5,0.5,6.0,10.25,21.25,49.25,3.7817429841397214e-10,0.7127583476570428,1.9125695169084602e-11,0.03604686765779791,8.544642487853903e-12,0.01610438701547122,1.9063206224215773e-11,0.03592909255441745,1.056707186674986e-10,0.1991613051152707,0.4482269345121882,2.2383259681457157,0.7488052153148408,0.23509039766968814
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,2.048,6.048,22.315443083210337,285.0,0.11645735387170165,0.5413038386702008,1.0,,0.75,0.75,5.0,10.25,21.25,49.25,2.715729619121675e-10,0.7175314581285783,1.3827116669268328e-11,0.03653305953419201,6.91118043268714e-12,0.018260247037624997,1.764112571069935e-11,0.046610172695769114,6.852992268573709e-11,0.1810650626038356,0.3917652731478189,2.000688131924838,0.7540645176627704,0.2276752352996047
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,2.304,6.304,21.398691548784004,285.0,0.09114824725303318,0.5433404150569453,1.0,,0.75,0.75,5.0,10.25,16.25,49.0,2.2486758170022862e-10,0.72311222433718,1.517268543404734e-11,0.04879117848124725,5.0106662931856e-12,0.016112923086916836,1.288745355500386e-11,0.04144250200824508,5.303351216686373e-11,0.17054117208641079,0.3888018895121519,3.028077414511094,0.7719034028184273,0.21198367409465585
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,2.56,6.56,21.78382427398826,285.0,0.08587432203469639,0.5504183852770275,1.0,,0.75,0.75,4.75,10.25,16.0,49.0,2.312677538528935e-10,0.7365724439372645,1.5857261504093158e-11,0.0505043252491297,5.037839061058075e-12,0.01604518298615254,1.2982778303329964e-11,0.041349287069489996,4.8832653808973787e-11,0.15552876075796318,0.3880401361984218,3.147631615838623,0.7870767691863942,0.19687804782745316
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,2.816,6.816,30.550630108068148,537.0,0.11036912714667353,0.5709979058002177,1.0,,0.75,0.75,4.75,10.0,15.75,49.0,2.548835856536564e-10,0.6773992416852217,2.1574678673515734e-11,0.057338611804138476,7.56698268256221e-12,0.02011062547581244,1.842964976580417e-11,0.048980128492243986,7.38129966156049e-11,0.19617139254258334,0.4105874381076188,2.8511600433860735,0.7347378534893602,0.24515152103482732
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,3.072,7.072,30.267639485100254,537.0,0.14972977792491146,0.6080837143627787,1.0,,0.75,0.75,5.5,9.5,23.5,49.0,2.3008274087625613e-10,0.6201496644440393,2.5186994844468292e-11,0.06788734496844073,8.665533869712641e-12,0.023356501670070834,2.3043826635788904e-11,0.06211079241000929,8.403253865472494e-11,0.22649569650743984,0.3760457846985524,2.906571623071104,0.68803700941248,0.2886064889174491
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,3.328,7.328,29.55466122289342,537.0,0.15476943395525228,0.6951617554773366,1.0,,0.75,0.75,5.5,8.0,16.25,49.0,1.4840524345544359e-10,0.567226801092767,3.023255135500475e-11,0.11555328500991127,7.180919897544983e-12,0.02744653846149823,2.1517737794537054e-11,0.08224397798729181,5.4296536576158626e-11,0.20752939744853183,0.33372094994893386,4.210122350110139,0.6827800861026783,0.28977337543582365
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,3.584,7.584,30.154850356120157,537.0,0.1339466305576453,0.6843434062864936,1.0,,0.75,0.75,5.5,8.0,15.75,49.5,1.5065766998605227e-10,0.6140307769042025,2.8855457208269676e-11,0.11760528892528424,7.333363423734423e-12,0.029888361082534894,2.0476085373432363e-11,0.08345374391472696,3.8035923374996564e-11,0.15502182917325125,0.35814284273542984,3.9348189283622603,0.7316360658294867,0.2384755730879782
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,3.84,7.84,29.404999574902224,537.0,0.14431519452965244,0.6947369523272207,1.0,,1.0,1.0,5.0,8.0,15.75,49.25,1.4246927567083167e-10,0.5944215688022724,2.8672900298664585e-11,0.11963134014257358,6.9306174665984315e-12,0.02891646979930084,1.7411764627512533e-11,0.07264674012532302,4.41926056670085e-11,0.18438388113053034,0.3980422211570263,4.137135029721577,0.714052908944846,0.25703062125585335
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,4.096,8.096,29.019682975525424,537.0,0.15318022233103543,0.7173832695945795,1.0,,0.25,0.75,5.0,8.0,25.25,49.5,1.2987084275582364e-10,0.5544688161310396,2.633235741038079e-11,0.11242300988778739,7.922657692555101e-12,0.03382488738955624,2.0674283785301006e-11,0.08826650702764431,4.942555144727251e-11,0.21101677956397252,0.38321316350450546,3.323677285101593,0.666891826018827,0.29928328659161685
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,4.352,8.352,28.982908756713844,537.0,0.1707139571523523,0.723440607286792,1.0,,0.0,0.75,6.5,8.25,20.5,49.5,1.25458234708332e-10,0.53001291359377,2.909363137510744e-11,0.12290943171640001,6.950804578710252e-12,0.02936448289064339,1.596319638551788e-11,0.0674383809578342,5.924201589363342e-11,0.25027479084135235,0.43542686632710703,4.185649451894945,0.65292234531017,0.31771317179918657
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,4.608,8.608,28.493999368288055,537.0,0.17086432733435772,0.749305063804261,1.0,,0.0,0.5,6.75,8.0,26.0,49.5,1.0614038281499541e-10,0.5199876529812587,1.8865208506064357e-11,0.09242170824999683,1.0473408548231209e-11,0.05130981239441306,1.9376890715442076e-11,0.09492846792119895,4.926507691604891e-11,0.24135235845313235,0.5405102759796548,1.8012482201174507,0.6124093612312556,0.3362808263743313
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,4.864,8.864,27.69411489829563,537.0,0.14473891909152753,0.760887482207066,1.0,,0.0,0.75,6.75,9.75,24.5,49.5,8.257202498876931e-11,0.5268202429121307,2.0577403989974253e-11,0.1312865098073315,7.331871452981671e-12,0.04677829204728446,1.2927144512456245e-11,0.08247686081501197,3.332817651199449e-11,0.21263809441824127,0.5671686771906108,2.8065691170302753,0.6581067527194622,0.29511495523325326
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,5.12,9.12,27.69230940170935,537.0,0.15782680377341562,0.7681582101048833,1.0,,0.5,0.5,7.0,10.0,24.25,49.5,7.667724447380228e-11,0.5005294070759824,2.1098177970721685e-11,0.13772350040143813,7.630086888953435e-12,0.049807252368998814,1.2455038349201057e-11,0.08130329934018675,3.533173910370481e-11,0.23063654081339374,0.6126104693561925,2.7651294510507958,0.6382529074774205,0.3119398401535805
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,5.376,9.376,27.584452142466052,537.0,0.1628601261644461,0.7703744949612277,1.0,,0.5,0.5,6.75,10.0,24.5,49.5,7.277909023226315e-11,0.49424153151351846,2.0836045732256552e-11,0.14149722290470515,7.698487696123291e-12,0.05228029557840264,1.153337150478186e-11,0.07832292459065139,3.4407101448818294e-11,0.23365802541272232,0.6674967240005591,2.7065115324856475,0.6357387544182236,0.3119809500033737
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,5.632,9.632,31.017543423037228,537.0,0.17691198517639067,0.7667579077511629,1.0,,0.5,0.5,5.0,10.25,25.25,49.5,9.242782191998446e-11,0.4779622689763042,2.648882906703129e-11,0.13697889423775664,9.292682489799561e-12,0.04805427105645807,1.5737027503769322e-11,0.08137923426515117,4.9432547605537975e-11,0.2556253314643301,0.5904979506182971,2.8505040494074434,0.6149411632140609,0.33700456572948123
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,5.888,9.888,31.123303166598497,537.0,0.2287149302431965,0.7908129645634523,1.0,,0.5,0.5,5.0,8.0,25.25,49.5,8.255900692558126e-11,0.398108584743669,2.261756739642661e-11,0.10906439020823473,1.0548081973576658e-11,0.05086400797003343,2.048311057669291e-11,0.09877180536081018,7.117034575681517e-11,0.34319121171725253,0.5149648503864931,2.1442350801865655,0.5071729749519037,0.44196301707806274
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,6.144,10.144,31.129118201452478,537.0,0.2555554483941942,0.7927348046082001,0.75,high_50hz_ratio,0.5,0.5,6.75,10.0,26.25,49.75,7.648086428087471e-11,0.39085823630401856,2.341485904409777e-11,0.119662488065944,8.636696393171824e-12,0.044138150784111534,1.5797407237866857e-11,0.08073322378383509,7.134435149826124e-11,0.36460790106209073,0.5467160694869855,2.711089747534667,0.5105207243699625,0.4453411248459258
