freq_hz,psd_v2_per_hz
0.0,4.098973438762353e-12
0.25,3.4557772432152526e-12
0.5,2.9429181382817098e-12
0.75,2.887604934657367e-12
1.0,1.7532321067618317e-12
1.25,1.4363878461831395e-12
1.5,1.1364841085578371e-12
1.75,6.556237888641447e-13
2.0,5.384672403142428e-13
2.25,3.5898204461056926e-13
2.5,2.0333830512389402e-13
2.75,1.6701122934190235e-13
3.0,6.378589232046386e-14
3.25,3.205090936877498e-14
3.5,1.6602229075790275e-14
3.75,6.391473715662417e-15
4.0,4.9583686519265975e-15
4.25,3.851967851988934e-15
4.5,3.1956471556674413e-15
4.75,3.54635358513335e-15
5.0,5.830927712344965e-15
5.25,6.5767892591583985e-15
5.5,1.0757545833326732e-14
5.75,1.0261176912683878e-14
6.0,8.99234284708956e-15
6.25,1.1009574870298181e-14
6.5,7.428131967784656e-15
6.75,1.3374590291047212e-14
7.0,1.011261803430026e-14
7.25,9.220934556566337e-15
7.5,1.0248880230375899e-14
7.75,5.959952023469132e-15
8.0,5.400795581360686e-15
8.25,4.9051995649555566e-15
8.5,4.408818598652869e-15
8.75,2.907356303739236e-15
9.0,2.251110232016557e-15
9.25,2.273598167121788e-15
9.5,2.3598626742865715e-15
9.75,3.1839686139714273e-15
10.0,3.3066599875248613e-15
10.25,3.6711899612961075e-15
10.5,1.4015265657527302e-15
10.75,3.515371979667707e-16
11.0,4.407028785494031e-16
11.25,4.0753481465714504e-16
11.5,1.07258318748795e-15
11.75,1.4027489989404807e-15
12.0,1.2873172544134124e-15
12.25,1.2882096141943148e-15
12.5,9.95285260023968e-16
12.75,2.11298024537942e-15
13.0,2.0387832419514176e-15
13.25,1.348722208668632e-15
13.5,1.9060380277932118e-15
13.75,2.0343796342540703e-15
14.0,2.0226076003620083e-15
14.25,2.515017899945749e-15
14.5,3.640170509128915e-15
14.75,2.9391299893455698e-15
15.0,2.506467852123665e-15
15.25,2.6235757654852945e-15
15.5,1.5791018949983805e-15
15.75,3.3924706983215595e-15
16.0,3.559089011625784e-15
16.25,3.975158542723096e-15
16.5,4.8346567417566396e-15
16.75,5.528174099028591e-15
17.0,6.43717769410561e-15
17.25,4.748954881124107e-15
17.5,5.120552949699655e-15
17.75,5.1318879147586585e-15
18.0,3.596950455595081e-15
18.25,4.7098828173170535e-15
18.5,4.6546085668812695e-15
18.75,2.12903896087445e-15
19.0,2.34410412482802e-15
19.25,3.1767885485971998e-15
19.5,2.7231516796661523e-15
19.75,3.807485912094877e-15
20.0,3.321433884031916e-15
20.25,2.80242524450165e-15
20.5,2.7241555587798567e-15
20.75,2.0632892298858595e-15
