channel,band,bandpower_abs_uV2,bandpower_rel,peak_hz
ch1,delta,1.3912523041111002,0.8125771114100286,0.7299777530589544
ch1,theta,0.12361659595155298,0.07219971256387737,4.310344827586206
ch1,alpha,0.03133998261170998,0.018304481844890575,10.011123470522802
ch1,beta,0.0913052002669785,0.0533278656002361,27.808676307007786
ch1,gamma,0.07463395147341391,0.04359082858096742,49.568965517241374
ch2,delta,7.97359806059407,0.08207265287016682,1.9118464961067851
ch2,theta,10.50543301760907,0.10813295964416593,5.666017797552836
ch2,alpha,12.708618425320164,0.13081045978921557,11.922969966629587
ch2,beta,41.992397767738964,0.4322298990978777,15.711902113459399
ch2,gamma,23.972874947637404,0.24675402859857398,30.79810901001112
ch3,delta,2.6731725516523786e-06,0.08459831288200459,1.7728031145717462
ch3,theta,3.539509149610418e-06,0.1120154036829266,7.612625139043381
ch3,alpha,3.97552638242108e-06,0.12581410974118742,8.029755283648498
ch3,beta,1.3241473802834502e-05,0.419055007540992,15.60761957730812
ch3,gamma,8.168732556815097e-06,0.2585171661528893,31.389043381535036
ch4,delta,7.03716009058754,0.1107791396486433,1.7728031145717462
ch4,theta,4.460591707968008,0.07021873957272896,4.136540600667408
ch4,alpha,6.218706315981677,0.09789502108008986,12.062013348164626
ch4,beta,28.744160987075478,0.4524912582746803,15.60761957730812
ch4,gamma,17.063615812173463,0.2686158414238576,30.659065628476082
