capture,condition,channel,window_start_sec,window_end_sec,rms_uV,ptp_uV,line_50_ratio_1_50,spectral_entropy_0p5_40,quality_score,quality_warnings,peak_freq,peak_delta,peak_theta,peak_alpha,peak_beta,peak_gamma,delta_abs,delta_rel,theta_abs,theta_rel,alpha_abs,alpha_rel,beta_abs,beta_rel,gamma_abs,gamma_rel,alpha_beta_ratio,theta_alpha_ratio,slow_power_rel,fast_power_rel
20260523-202451_fp1_fp2_ch1_only_forehead_blink_artifact_30s,fp1_fp2_ch1_only_forehead_blink_artifact_30s,0,0.0,4.0,205.68474907002707,3124.0,0.05938899435916533,0.6071920599075619,0.5357881273249323,high_rms;possible_artifact_window,0.75,0.75,4.25,9.0,24.75,49.0,7.85931860407124e-09,0.7329519116268645,7.834815695022721e-10,0.07306667957113157,1.036925870718144e-10,0.009670263256213013,7.537871766848997e-10,0.07029741125710524,1.2225498682795987e-09,0.11401373428868578,0.13756215319003798,7.555810802170997,0.806018591197996,0.18431114554579103
20260523-202451_fp1_fp2_ch1_only_forehead_blink_artifact_30s,fp1_fp2_ch1_only_forehead_blink_artifact_30s,0,0.256,4.256,206.74487176227612,3124.0,0.0577477204836165,0.6381729825941024,0.5331378205943097,high_rms;possible_artifact_window,1.0,1.0,4.25,9.0,24.75,49.5,7.893134861423287e-09,0.7031510210418154,7.984790591120388e-10,0.07113160683965526,9.932554493939469e-11,0.008848304199261636,8.302445621169104e-10,0.07396140086496027,1.604192349916173e-09,0.14290766705430744,0.11963408069321173,8.03901010157302,0.7742826278814706,0.2168690679192677
20260523-202451_fp1_fp2_ch1_only_forehead_blink_artifact_30s,fp1_fp2_ch1_only_forehead_blink_artifact_30s,0,0.512,4.512,206.98662517177289,3124.0,0.048244968347549246,0.633939056169043,0.5325334370705678,high_rms;possible_artifact_window,1.0,1.0,4.0,9.25,25.0,48.75,7.186980831447713e-09,0.7125746975241868,7.624933884096161e-10,0.07559968620380024,1.2234198859075114e-10,0.012129962157837187,7.571392119574076e-10,0.07506883037498971,1.2569778247947693e-09,0.12462682373918606,0.16158453644801243,6.232475025072948,0.788174383727987,0.19969565411417578
20260523-202451_fp1_fp2_ch1_only_forehead_blink_artifact_30s,fp1_fp2_ch1_only_forehead_blink_artifact_30s,0,0.768,4.768,206.96857249350685,3124.0,0.05100247277359908,0.634530050580433,0.5325785687662329,high_rms;possible_artifact_window,1.0,1.0,4.0,8.75,24.75,48.75,7.7389648435345e-09,0.7101518455196,8.075569490414183e-10,0.07410397505592237,9.058966920801759e-11,0.008312794033019821,7.451509131733657e-10,0.06837740019232351,1.5153574684046458e-09,0.13905398519913442,0.1215722447714979,8.914448591119768,0.7842558205755223,0.20743138539145795
20260523-202451_fp1_fp2_ch1_only_forehead_blink_artifact_30s,fp1_fp2_ch1_only_forehead_blink_artifact_30s,0,1.024,5.024,207.16416195857815,3124.0,0.04713524891078756,0.6343334282095054,0.5320895951035547,high_rms;possible_artifact_window,1.0,1.0,4.0,9.25,24.75,48.75,7.618575696354515e-09,0.7187145508436579,7.830431228125018e-10,0.07387003932673329,1.1831002687338072e-10,0.011161028151927438,7.890989283988184e-10,0.07444132663363091,1.2912525279583143e-09,0.12181305504405046,0.14993053800421038,6.618569393535345,0.7925845901703912,0.1962543816776814
20260523-202451_fp1_fp2_ch1_only_forehead_blink_artifact_30s,fp1_fp2_ch1_only_forehead_blink_artifact_30s,0,1.28,5.28,206.87556888139304,3124.0,0.045486816439245965,0.6471238824340485,0.5328110777965174,high_rms;possible_artifact_window,1.0,1.0,4.0,8.25,25.0,48.75,7.75381732048023e-09,0.7060309268488949,7.710037309993707e-10,0.07020444979579779,1.2262887524893625e-10,0.011166084377788989,8.565321761353979e-10,0.07799232058195067,1.4782808910342138e-09,0.13460621839556755,0.14316902349451432,6.287293505988987,0.7762353766446927,0.21259853897751824
20260523-202451_fp1_fp2_ch1_only_forehead_blink_artifact_30s,fp1_fp2_ch1_only_forehead_blink_artifact_30s,0,1.536,5.536,205.67780385836483,3124.0,0.04285983346044525,0.6403328890207762,0.535805490354088,high_rms;possible_artifact_window,1.0,1.0,4.0,8.25,25.0,49.0,8.386857962453073e-09,0.7162015672654684,8.15370177531562e-10,0.06962910325463799,9.982258503993436e-11,0.008524419058264397,8.125332357715572e-10,0.06938684064045608,1.5956081775357746e-09,0.13625806978117325,0.12285354080949787,8.168193372325215,0.7858306705201064,0.20564491042162933
20260523-202451_fp1_fp2_ch1_only_forehead_blink_artifact_30s,fp1_fp2_ch1_only_forehead_blink_artifact_30s,0,1.792,5.792,205.53045516419215,3124.0,0.033115223754909766,0.634422298037802,0.5361738620895197,high_rms;possible_artifact_window,1.0,1.0,4.25,8.25,24.75,49.0,8.85219012596057e-09,0.735537995327614,7.944001735526782e-10,0.06600756454939342,7.614896740359827e-11,0.006327299575960325,8.388714783565955e-10,0.0697027330805288,1.4733761380591335e-09,0.12242440746650361,0.09077548750707214,10.432185762181986,0.8015455598770074,0.1921271405470324
20260523-202451_fp1_fp2_ch1_only_forehead_blink_artifact_30s,fp1_fp2_ch1_only_forehead_blink_artifact_30s,0,2.048,6.048,161.95253316944442,2811.0,0.036050517015446,0.6341934739169748,0.895118667076389,high_rms,0.75,0.75,4.25,9.0,24.75,46.5,7.274493345910474e-09,0.7124083887606888,7.302485616256937e-10,0.07151497381945278,6.532467730133319e-11,0.006397400600925294,7.912211424707098e-10,0.07748616329106019,1.349840413062566e-09,0.13219307352787288,0.08256184496959577,11.178754978875192,0.7839233625801416,0.20967923681893308
20260523-202451_fp1_fp2_ch1_only_forehead_blink_artifact_30s,fp1_fp2_ch1_only_forehead_blink_artifact_30s,0,2.304,6.304,159.62439663159262,2811.0,0.04779758804434263,0.658514936842643,0.9009390084210185,high_rms,0.5,0.5,4.0,10.5,24.75,48.0,6.3494244031469854e-09,0.656159819210477,7.286427459736888e-10,0.07529912352845021,7.687319135062818e-11,0.007944200314245855,9.246224052430618e-10,0.09555197947731185,1.5970803788020345e-09,0.16504487746951507,0.08314009147379464,9.47850262453992,0.7314589427389272,0.26059685694682694
