freq_hz,psd_v2_per_hz
0.0,1.7281281440724467e-13
0.25,1.807437049328105e-13
0.5,1.3275343086348035e-13
0.75,2.561685858628779e-14
1.0,2.2160193126605795e-14
1.25,2.032062828267282e-14
1.5,1.903702834366276e-14
1.75,8.396972238310938e-15
2.0,1.0011623463665156e-14
2.25,1.078872391137256e-14
2.5,1.165179233036682e-14
2.75,1.2948861598877545e-14
3.0,1.0929919682881339e-14
3.25,1.2261926496493627e-14
3.5,1.1485453441762063e-14
3.75,1.309487693455619e-14
4.0,1.0916636940708314e-14
4.25,9.934962282132548e-15
4.5,9.917110864861095e-15
4.75,7.699718307507163e-15
5.0,8.279568389245982e-15
5.25,2.1932545790137498e-15
5.5,2.45616489957684e-15
5.75,6.452785133810086e-15
6.0,5.511663809337157e-15
6.25,5.731608291205617e-15
6.5,4.757163191240823e-15
6.75,1.8179005513219184e-15
7.0,2.0704151926385057e-15
7.25,2.1812097603068115e-15
7.5,2.340290216249296e-15
7.75,2.6237210214965644e-15
8.0,2.977756098881393e-15
8.25,1.18375193415893e-15
8.5,2.0246461927595046e-15
8.75,1.9706293462256993e-15
9.0,2.2325713253163092e-15
9.25,2.2473878141441057e-15
9.5,1.1574229087830123e-15
9.75,8.107682428849411e-16
10.0,8.051563055637314e-16
10.25,7.238695610647112e-16
10.5,4.910545882245734e-16
10.75,3.642364073519544e-16
11.0,4.695852480201221e-16
11.25,5.473309613286278e-16
11.5,1.0223278684156115e-15
11.75,1.2335727485915243e-15
12.0,1.055118847686934e-15
12.25,1.0917305873009077e-15
12.5,9.637801866779032e-16
12.75,1.9817154487078863e-15
13.0,2.1780534408690685e-15
13.25,2.5522555652333314e-15
13.5,2.4811135609346885e-15
13.75,1.677403518073325e-15
14.0,1.0254161460169753e-15
14.25,7.785646522648287e-16
14.5,8.817873332662003e-16
14.75,6.752483917127708e-16
15.0,1.409797013036476e-15
15.25,1.4889697610859154e-15
15.5,1.1740750432964322e-15
15.75,1.4510812373125604e-15
16.0,7.315106999281571e-16
16.25,5.2707345998778525e-16
16.5,1.4180746905428956e-15
16.75,1.4095204399261756e-15
17.0,1.2844164843995598e-15
17.25,1.2985204024838335e-15
17.5,6.080441422767657e-16
17.75,4.923841907270509e-16
18.0,4.333547493876701e-16
18.25,5.290846836568332e-16
18.5,6.042583833135772e-16
18.75,5.470645322816046e-16
19.0,7.650511540633914e-16
19.25,7.25241486084155e-16
19.5,7.613524000247186e-16
19.75,1.3924347257875802e-15
20.0,1.217872868806485e-15
20.25,1.0814348941982481e-15
20.5,1.4177209496685046e-15
20.75,9.19530163334273e-16
21.0,1.2494715912682882e-15
21.25,1.542146351226072e-15
21.5,7.318563879390525e-16
21.75,1.0269844183086593e-15
22.0,1.1852909078292857e-15
22.25,7.813912057389008e-16
22.5,9.662460185996806e-16
22.75,1.158673441547326e-15
23.0,8.400457432542663e-16
23.25,1.0045463832414553e-15
23.5,8.317214423300326e-16
23.75,4.682614928344233e-16
24.0,5.426285574423121e-16
24.25,5.107535420060249e-16
24.5,4.194629371402392e-16
24.75,4.3286309766191166e-16
25.0,9.574388284450089e-16
25.25,5.864149471834577e-16
25.5,6.934406465894793e-16
25.75,7.544714027329321e-16
26.0,2.582232449991005e-16
26.25,3.119415196529212e-16
26.5,3.4466149642327033e-16
26.75,3.7514068284244407e-16
27.0,4.427581623999273e-16
27.25,4.405063774407128e-16
27.5,6.120931390985405e-16
27.75,5.115789569782876e-16
28.0,5.688958245784054e-16
28.25,4.972247871421103e-16
