capture,condition,channel,window_start_sec,window_end_sec,rms_uV,ptp_uV,line_50_ratio_1_50,spectral_entropy_0p5_40,quality_score,quality_warnings,peak_freq,peak_delta,peak_theta,peak_alpha,peak_beta,peak_gamma,delta_abs,delta_rel,theta_abs,theta_rel,alpha_abs,alpha_rel,beta_abs,beta_rel,gamma_abs,gamma_rel,alpha_beta_ratio,theta_alpha_ratio,slow_power_rel,fast_power_rel
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,0.0,4.0,83.83567856229232,1198.0,0.132390283671591,0.8685439412514266,0.85,very_high_gamma_rel,47.0,0.75,6.5,8.0,13.75,47.0,1.8291360120181834e-10,0.1859888040776416,1.1095633297072926e-10,0.11282176688051222,3.83474567766895e-11,0.038992166675709365,9.256088010651042e-11,0.09411704368768779,5.586873848955671e-10,0.5680802186784489,0.41429442689571266,2.893446979205592,0.29881057095815383,0.6621972623661367
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,0.256,4.256,83.48156682765364,1141.0,0.11685951706855836,0.8853688576476069,0.85,very_high_gamma_rel,47.25,0.75,6.5,8.25,13.75,47.25,1.4436552436064066e-10,0.15482042618712322,9.231076653832245e-11,0.098995880632977,3.7654765430077164e-11,0.040381710645108135,9.376090350762241e-11,0.1005510360248964,5.643788252918688e-10,0.6052509465098952,0.40160412305557586,2.4515028970168062,0.2538163068201002,0.7058019825347916
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,0.512,4.512,82.77961101623998,1141.0,0.1248971505125902,0.8992121004380073,0.85,very_high_gamma_rel,47.25,0.75,6.5,8.25,14.5,47.25,1.3057656184198097e-10,0.14784969088475222,9.605009540584285e-11,0.10875594145594317,3.47890142451874e-11,0.03939102798985266,8.504109148592257e-11,0.0962906275929622,5.367142538868671e-10,0.6077127120764897,0.40908475699593133,2.7609317909641575,0.2566056323406954,0.7040033396694518
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,0.768,4.768,95.95350436539564,1200.0,0.1304135962293447,0.8787027287736475,1.0,,47.5,0.75,6.5,8.25,17.25,47.5,2.145895846486923e-10,0.19702334401842764,1.4004703717217882e-10,0.12858282767408236,4.812178971630483e-11,0.04418255408611574,1.0756943419852205e-10,0.0987638317799045,5.788303234029888e-10,0.5314474424414697,0.44735560872705604,2.910262440316668,0.32560617169251,0.6302112742213741
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,1.024,5.024,2215.122834065867,54401.0,0.22228741507746505,0.328511015634821,0.0,high_rms;artifact_rms_range;large_peak_to_peak;artifact_peak_to_peak,0.0,0.5,5.75,11.25,24.75,48.75,3.0683595692651265e-08,0.5109036093314726,1.3076027686725654e-09,0.021772512608313397,3.835997803632765e-10,0.006387208145012027,4.928799716127911e-09,0.08206800760462318,2.2753906299791135e-08,0.3788686623105788,0.07782823455131878,3.4087682934391674,0.532676121939786,0.460936669915202
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,1.28,5.28,2293.4535901125187,54401.0,0.15685072499076758,0.7154150233839508,0.0,high_rms;artifact_rms_range;large_peak_to_peak;artifact_peak_to_peak,0.0,0.5,5.0,9.5,23.75,48.75,7.887443929320405e-09,0.2309818162538753,2.7979327122776906e-09,0.08193675738671352,9.307424900913082e-10,0.027256560268754684,6.467873866120819e-09,0.18941006316938508,1.606347392075971e-08,0.47041480292127136,0.143902387300192,3.0061297749533344,0.31291857364058884,0.6598248660906565
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,1.536,5.536,2298.9950315300816,54401.0,0.09214610767545434,0.8110913788865921,0.0,high_rms;artifact_rms_range;large_peak_to_peak;artifact_peak_to_peak,0.0,0.5,7.0,9.25,26.0,48.75,3.139610044995866e-09,0.2889440312465898,1.4631406692070668e-09,0.13465550090061573,6.286984930150564e-10,0.05786026748766679,1.9094181164095813e-09,0.17572722726187517,3.7249395644768908e-09,0.34281297310325254,0.3292618246428101,2.3272533423617205,0.4235995321472055,0.5185402003651277
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,1.792,5.792,2299.949991847649,54401.0,0.08795252838385637,0.668956569782001,0.0,high_rms;artifact_rms_range;large_peak_to_peak;artifact_peak_to_peak,0.0,0.5,7.0,11.75,26.0,48.75,8.212644493993275e-09,0.4895304134885781,1.414515622177271e-09,0.08431491438804509,6.167184121294737e-10,0.036760682812530344,2.1125325773779465e-09,0.12592155265801339,4.420165523068913e-09,0.26347243665283315,0.29193320791054406,2.2936166560895677,0.5738453278766232,0.38939398931084657
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,2.048,6.048,2300.100603234563,54401.0,0.06189063670725181,0.639121888452884,0.0,high_rms;artifact_rms_range;large_peak_to_peak;artifact_peak_to_peak,0.0,0.5,4.75,12.0,14.0,48.75,1.0865580249716493e-08,0.5188230734397049,1.5683930072963215e-09,0.07488955598372675,1.5975609940320372e-09,0.07628230484540557,2.8930472807828974e-09,0.1381407754879292,4.018165246336192e-09,0.19186429024323362,0.5522070118396806,0.9817421764523059,0.5937126294234316,0.33000506573116284
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,2.304,6.304,2300.0035756493944,54401.0,0.049534066909535136,0.6383993936464445,0.0,high_rms;artifact_rms_range;large_peak_to_peak;artifact_peak_to_peak,0.0,0.5,4.75,11.75,14.25,49.0,1.102226111409036e-08,0.526032991632252,1.576174631980902e-09,0.0752223022493877,1.5740367323979668e-09,0.07512027184911138,2.983747421950146e-09,0.14239814919980562,3.797334894478331e-09,0.18122628506944324,0.5275368554383846,1.001358227250312,0.6012552938816398,0.32362443426924886
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,2.56,6.56,2299.998583695216,54401.0,0.0604658338257736,0.5971675245892444,0.0,high_rms;artifact_rms_range;large_peak_to_peak;artifact_peak_to_peak,0.0,0.5,4.75,11.25,25.0,49.25,1.8574740810023073e-08,0.6099798993477127,2.6575727693426314e-09,0.08727260245150235,1.5686991139303618e-09,0.051514846823905676,3.1281785592150913e-09,0.10272692697074164,4.522206949111772e-09,0.14850572440613774,0.5014736480784436,1.6941252441228873,0.697252501799215,0.2512326513768794
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,2.816,6.816,2299.984796036704,54401.0,0.07415440010315591,0.628460593329832,0.0,high_rms;artifact_rms_range;large_peak_to_peak;artifact_peak_to_peak,0.0,0.5,4.5,10.0,26.0,49.0,2.4054298636876794e-08,0.6158694327174047,3.892459252295718e-09,0.09965980333809622,2.00187226973901e-09,0.05125453698520082,2.9882184624204446e-09,0.07650825480586557,6.1206160928069655e-09,0.15670797215343274,0.6699216589798798,1.944409396711005,0.7155292360555009,0.2332162269592983
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,3.072,7.072,2299.887090272042,54401.0,0.08035639726466334,0.5954804052207482,0.0,high_rms;artifact_rms_range;large_peak_to_peak;artifact_peak_to_peak,0.0,0.5,4.5,10.25,23.75,48.75,2.715203755235819e-08,0.6259935269936587,2.260273116944741e-09,0.052110871521769145,1.6509537169479333e-09,0.03806293867201018,4.661117791783586e-09,0.1074626374018875,7.649928228586159e-09,0.17637002541067445,0.3541969524688181,1.3690711579263637,0.6781043985154279,0.2838326628125619
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,3.328,7.328,2299.830303957229,54401.0,0.07979733636749355,0.5981325032017567,0.0,high_rms;artifact_rms_range;large_peak_to_peak;artifact_peak_to_peak,0.0,0.5,4.5,10.25,23.75,48.5,2.8170203264556373e-08,0.625068045262248,2.3108894637734844e-09,0.05127627750401907,1.7968369079759e-09,0.03986997620058689,4.9434368183385556e-09,0.10968981515316621,7.846052169735256e-09,0.17409588587997965,0.3634792906243314,1.2860874871368566,0.6763443227662671,0.2837857010331459
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,3.584,7.584,2299.795975081268,54401.0,0.08057469371261963,0.5934539873179395,0.0,high_rms;artifact_rms_range;large_peak_to_peak;artifact_peak_to_peak,0.0,0.5,4.5,10.25,23.75,48.5,2.8975667644719482e-08,0.6309152479307941,2.4086121649362736e-09,0.052445043194262096,1.8385416129458396e-09,0.04003234547640175,4.871092922273727e-09,0.10606301937309572,7.832488194531777e-09,0.17054434402544635,0.37743924049136096,1.3100667115589661,0.6833602911250563,0.2766073633985421
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,3.84,7.84,2299.78107610268,54401.0,0.07123495384915586,0.6022116394278416,0.0,high_rms;artifact_rms_range;large_peak_to_peak;artifact_peak_to_peak,0.25,0.5,4.5,10.5,25.0,48.75,2.9007719889639363e-08,0.6466793286584864,4.168504215552159e-09,0.09292993444087118,2.0054983749833535e-09,0.04470928248390654,3.3046588551317686e-09,0.07367192519827188,6.370039156461447e-09,0.142009529218464,0.6068700168155139,2.0785378176069376,0.7396092630993576,0.21568145441673586
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,4.096,8.096,2299.7647734061848,54401.0,0.0625215206672553,0.6024358995534214,0.0,high_rms;artifact_rms_range;large_peak_to_peak;artifact_peak_to_peak,0.25,0.5,4.5,10.0,23.75,48.5,2.3144841570514087e-08,0.6191686744699013,4.0608965688579205e-09,0.10863673177622361,2.5139092451754606e-09,0.06725186907547913,3.345382303016099e-09,0.08949535989878608,4.315481512117917e-09,0.11544736477960976,0.7514564906106527,1.6153711899708958,0.7278054062461249,0.20494272467839586
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,4.352,8.352,2299.479429349173,54401.0,0.08471155562933234,0.637882850371889,0.0,high_rms;artifact_rms_range;large_peak_to_peak;artifact_peak_to_peak,0.0,0.5,4.5,10.25,25.75,49.25,1.4982411709480197e-08,0.5398594089232285,2.847355001484721e-09,0.10259839456444031,2.586626623732664e-09,0.09320360081346675,3.291281890156366e-09,0.11859435785596814,4.044757097041161e-09,0.1457442378428962,0.7859024872554371,1.100798613669185,0.6424578034876688,0.2643385956988643
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,4.608,8.608,2299.3773181015767,54401.0,0.11588276284034835,0.5384279373237164,0.0,high_rms;artifact_rms_range;large_peak_to_peak;artifact_peak_to_peak,0.0,0.5,6.5,8.0,25.75,49.25,1.6824413760177922e-08,0.6619318908516584,2.048285168821965e-09,0.08058677670011091,1.0894892083896648e-09,0.042864355456996364,1.8409435355269837e-09,0.07242922414965779,3.6140056378892704e-09,0.1421877528415766,0.591810225226593,1.8800417232672386,0.7425186675517693,0.2146169769912344
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,4.864,8.864,2298.6992071604323,54401.0,0.15720753560366485,0.4404532375674643,0.0,high_rms;artifact_rms_range;large_peak_to_peak;artifact_peak_to_peak,0.0,0.5,6.5,8.0,22.75,49.5,1.7944927361752574e-08,0.7340666677302657,1.2424572076588562e-09,0.05082474862325178,7.545185967721862e-10,0.030864819952048102,8.28228334059534e-10,0.033880037575337064,3.67577804805209e-09,0.15036372611909724,0.9110031204486064,1.646688647535078,0.7848914163535176,0.1842437636944343
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,5.12,9.12,515.8360214254138,12129.0,0.228748047855161,0.3714927303643832,0.0,high_rms;artifact_rms_range;large_peak_to_peak;artifact_peak_to_peak,0.75,0.75,5.75,9.0,24.0,49.5,1.6830126656628215e-08,0.7488965089252789,1.417443476262619e-10,0.0063072518266161035,1.2969512702364337e-10,0.005771093101927137,4.54733424478802e-10,0.020234445113322636,4.916934670933058e-09,0.21879070103285528,0.285211334909667,1.0929041890712052,0.755203760751895,0.23902514614617792
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,5.376,9.376,145.76545887143496,1297.0,0.2324453861767202,0.5288051820677161,0.9677931764107063,high_rms,0.25,0.5,4.0,8.0,14.0,49.5,5.820803509991404e-09,0.5747503799010742,4.0135389176233944e-10,0.03962997571885396,2.6733086724837335e-10,0.02639644462255919,4.3727460302067195e-10,0.04317681292210357,3.200770251127609e-09,0.3160463868354091,0.6113569491611555,1.5013376341215665,0.6143803556199282,0.35922319975751266
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,5.632,9.632,92.46550167494902,1297.0,0.19964381398222292,0.6672688079623222,1.0,,0.5,0.5,4.0,8.0,18.5,49.0,1.004340723778823e-09,0.4489095914672511,2.556363916116966e-10,0.11426164986200539,7.959610422015627e-11,0.03557702459123216,1.7098834710367774e-10,0.076426562447025,7.267279518636694e-10,0.32482517163248653,0.46550601586840096,3.2116696428336167,0.5631712413292566,0.40125173407951154
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,5.888,9.888,79.2864679500859,1297.0,0.18738918441418376,0.7668393602375027,1.0,,0.5,0.5,4.0,8.5,18.5,49.0,2.439720596507632e-10,0.38826506629226426,1.0258249741359156e-10,0.16325312093412722,3.88088142473118e-11,0.06176160851380322,5.048493450773598e-11,0.08034336584060317,1.925163883844141e-10,0.30637683841920216,0.7687207010512214,2.6432783222872422,0.5515181872263915,0.38672020425980536
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,6.144,10.144,76.5919904428655,1297.0,0.25547773474042074,0.848803348667067,0.9917833978893689,high_50hz_ratio,49.5,0.75,5.75,11.0,19.75,49.5,7.200956691515458e-11,0.3208484893836146,2.814818043939262e-11,0.12541807373342045,1.5260513743595194e-11,0.06799530939575707,2.1520395668065435e-11,0.09588707079952387,8.749614438711195e-11,0.389851056687684,0.7091186416354133,1.8445106706323273,0.44626656311703505,0.48573812748720785
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,6.4,10.4,76.84064028884715,1325.0,0.24605716055377727,0.8093375855145888,1.0,,49.75,0.75,4.0,11.25,19.0,49.75,9.630538569387179e-11,0.39505903645709356,2.8476932527867303e-11,0.11681661876599284,1.4409873419895348e-11,0.059111447067230705,2.106404006795265e-11,0.0864078297717519,8.351843690081259e-11,0.34260506793793094,0.6840982723831258,1.976209762436214,0.5118756552230864,0.42901289770968287
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,6.656,10.656,76.80749312404356,1325.0,0.23673457807211357,0.7766732364409642,1.0,,0.5,0.5,4.0,8.0,17.25,49.25,1.0390174339517525e-10,0.42169924033596495,2.973478464566505e-11,0.12068263425513157,1.2856684008404712e-11,0.05218058621945678,1.773071597394269e-11,0.07196250238445559,8.216433511998849e-11,0.33347503680499097,0.7251080005623617,2.312788011763121,0.5423818745910965,0.4054375391894466
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,6.912,10.912,76.83162109444262,1325.0,0.20331060227737519,0.7530250997998803,1.0,,0.5,0.5,4.0,8.75,16.75,49.0,1.3432702075665044e-10,0.4487647796279226,4.28667236223502e-11,0.14321076780676412,1.2391158712760534e-11,0.04139685059449431,1.7728809626278165e-11,0.05922907617682881,9.20124083470383e-11,0.3073985257939902,0.6989278453525719,3.4594604601590353,0.5919755474346867,0.366627601970819
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,7.168,11.168,76.83822616380469,1325.0,0.23256331335683722,0.754067837885207,1.0,,0.0,0.5,4.0,8.0,16.75,49.5,1.217313280178337e-10,0.43874520325885547,3.3484328838442865e-11,0.12068453455183467,1.0903987316201431e-11,0.03930025416857286,1.6550539296519067e-11,0.05965161019709835,9.478317012587606e-11,0.3416183978236387,0.6588297287989143,3.070833436195489,0.5594297378106902,0.40127000802073703
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,7.424,11.424,76.84700384530291,1325.0,0.22252553487040055,0.7899304671241463,1.0,,0.5,0.5,5.5,9.25,16.75,49.25,1.1664658986608234e-10,0.37126643782349333,4.621525270958348e-11,0.14709536100710935,1.9730899950039656e-11,0.06280012941581072,2.336949134945255e-11,0.07438115265109027,1.082234236001299e-10,0.34445691910249643,0.8443016433261766,2.3422779917086647,0.5183617988306026,0.41883807175358667
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,7.68,11.68,76.8642439629767,1325.0,0.22102731674942463,0.7969274963284764,1.0,,1.0,1.0,6.0,8.75,16.75,49.0,1.0595275805475023e-10,0.36022592351827193,4.562511347946151e-11,0.1551195923590035,2.2475791037392803e-11,0.07641483555401919,2.0978713227595607e-11,0.07132496109946054,9.90962560880492e-11,0.33691468746924497,1.0713617557738444,2.029966972177102,0.5153455158772754,0.40823964856870554
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,7.936,11.936,76.89187213223515,1325.0,0.28466367680840066,0.7701610063323593,0.948004484787399,high_50hz_ratio,1.0,1.0,6.0,8.75,16.25,49.75,1.1153428598280807e-10,0.365412207958995,3.9665542932545634e-11,0.12995352500941246,1.6470762175426018e-11,0.05396203974639361,1.8107976915246685e-11,0.05932593523116945,1.1945011224464544e-10,0.39134629205402965,0.909585993648901,2.4082396740404444,0.49536573296840747,0.4506722272851991
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,8.192,12.192,76.0099861860269,1325.0,0.3627768676341841,0.7591115430353165,0.8308346985487238,high_50hz_ratio,49.5,0.75,5.75,9.75,16.5,49.5,1.1753968653169353e-10,0.3723709056778964,3.330434236569633e-11,0.10550962398880573,1.3757280782284428e-11,0.04358367165785363,2.0984040902112507e-11,0.06647836612525525,1.300668250835329e-10,0.4120574325501891,0.6556068417165283,2.4208521213424032,0.47788052966670214,0.4785357986754444
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,8.448,12.448,75.70640659812088,1325.0,0.33798158759084845,0.7577249177159139,0.8680276186137273,high_50hz_ratio,1.0,1.0,4.5,13.0,16.5,49.5,1.1603890845974239e-10,0.39578436488028795,3.4669728500093016e-11,0.11825116813936458,9.999912147720695e-12,0.03410760175857223,2.027449982847474e-11,0.06915206411703087,1.1220414782157841e-10,0.3827048011047444,0.4932260836184087,3.4670033084236023,0.5140355330196525,0.45185686522177526
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,8.704,12.704,75.74204908767652,1325.0,0.2650003381988434,0.7628656654386111,0.9774994927017349,high_50hz_ratio,1.0,1.0,5.0,9.25,15.0,49.5,1.3703757846254592e-10,0.41381726594007867,4.4627966523670327e-11,0.13476466308355045,1.0472273104392238e-11,0.03162349680180495,2.176486825421204e-11,0.06572414935780317,1.1725212458660438e-10,0.3540704248167628,0.4811549044118654,4.261535779176027,0.5485819290236291,0.419794574174566
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,8.96,12.96,75.75710527732696,1325.0,0.27051854785817125,0.801048444124157,0.9692221782127431,high_50hz_ratio,0.5,0.5,5.0,8.25,17.0,49.5,1.2572656313310872e-10,0.3603710877689831,4.761852995331043e-11,0.13648938624900175,1.490938977849071e-11,0.04273490723482249,2.9011593514711098e-11,0.08315617044060293,1.3161475063529794e-10,0.3772484483065899,0.5139114392641172,3.1938617650206,0.49686047401798483,0.4604046187471928
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,9.216,13.216,75.7666285378992,1325.0,0.27617206808588224,0.7894928971786359,0.9607418978711766,high_50hz_ratio,1.0,1.0,5.0,10.0,17.0,49.5,1.325164479450967e-10,0.38013395051243104,4.8152092330316653e-11,0.13812809931749975,1.402536575413545e-11,0.04023287504438836,2.65525913819765e-11,0.07616821620931875,1.2735811358536372e-10,0.36533685891636203,0.5282108082172219,3.4332147321091266,0.5182620498299308,0.44150507512568077
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,9.472,13.472,55.557375747959874,1128.0,0.2670660938961073,0.7741586998701683,0.9744008591558391,high_50hz_ratio,0.5,0.5,5.0,8.0,15.0,49.25,1.2756289615970023e-10,0.40368456885539045,4.7689531863861646e-11,0.15091792902911805,1.018133534965935e-11,0.03221977624162652,2.3172785363542426e-11,0.07333241992992165,1.0738991484219557e-10,0.33984530594394347,0.43936605763748926,4.68401542882656,0.5546024978845085,0.41317772587386514
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,9.728,13.728,54.92718816760967,1128.0,0.2854969759169315,0.811281327891772,0.9467545361246027,high_50hz_ratio,0.5,0.5,5.0,8.75,15.0,49.5,7.838566098322414e-11,0.34248291586429247,3.185077450461455e-11,0.13916252013504138,9.613757176109055e-12,0.0420044629181574,2.1898335244434012e-11,0.0956782862198821,8.712613226381834e-11,0.3806718148626266,0.43901771841549564,3.313041292926166,0.48164543599933385,0.4763501010825087
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,9.984,13.984,54.92742484406128,1128.0,0.30066653614966177,0.8266198525970793,0.9240001957755073,high_50hz_ratio,49.5,0.5,5.0,8.0,15.0,49.5,7.920055203989547e-11,0.31862942944147443,3.636463549932072e-11,0.1462975037744578,9.371292643160002e-12,0.03770137393127063,2.5452807048298683e-11,0.10239844519515615,9.817705574249657e-11,0.39497324765764097,0.3681830701571439,3.880428974316884,0.46492693321593226,0.49737169285279714
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,10.24,14.24,464.0681986518792,11117.0,0.27121748988995964,0.48950220892764557,0.0,high_rms;artifact_rms_range;large_peak_to_peak;artifact_peak_to_peak;high_50hz_ratio;very_high_gamma_rel,0.0,0.5,5.0,8.5,28.75,49.25,7.147196303208095e-10,0.3308088089546731,6.419559375270624e-11,0.029713004944244486,4.1569101536646356e-11,0.01924030680741395,9.00105160645527e-11,0.04166147164496483,1.2500269188529478e-09,0.5785764076487037,0.4618249439524856,1.5443103502276296,0.3605218138989176,0.6202378792936685
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,10.496,14.496,466.38638702260596,11117.0,0.1679991739291341,0.7077755149722406,0.0,high_rms;artifact_rms_range;large_peak_to_peak;artifact_peak_to_peak,0.0,0.5,5.25,9.25,13.0,49.5,4.650018216937841e-10,0.48376611348163867,1.3595379534687677e-10,0.14143996027471015,5.7035879921543416e-11,0.059337457771983876,5.0512979520094e-11,0.05255133774272725,2.5270758185554393e-10,0.26290513072894,1.1291331547539107,2.3836538602348227,0.6252060737563488,0.31545646847166725
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,10.752,14.752,466.8719738857752,11117.0,0.11011088568630545,0.6353783148683966,0.0,high_rms;artifact_rms_range;large_peak_to_peak;artifact_peak_to_peak,0.0,0.5,5.25,8.25,18.0,49.75,6.132898388903794e-10,0.6625168806896581,1.2729939811555715e-10,0.1375173609688071,2.8307310572411784e-11,0.03057945837661232,3.03976189289351e-11,0.03283754987630026,1.2640275800272318e-10,0.13654875008862236,0.9312344706534373,4.49705025102677,0.8000342416584652,0.1693862999649226
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,11.008,15.008,466.97046052186215,11117.0,0.0942193352368046,0.5530789668926794,0.0,high_rms;artifact_rms_range;large_peak_to_peak;artifact_peak_to_peak;slow_power_with_high_rms,0.0,0.5,4.25,8.25,18.25,49.75,7.553261853272527e-10,0.7472886940383429,1.0554133230958714e-10,0.10441825786104182,2.281494425625756e-11,0.02257216846047711,2.6472986778291393e-11,0.026191285435540043,1.0060008844971412e-10,0.09952959420459825,0.8618198032330249,4.6259737093435955,0.8517069518993847,0.12572087964013828
