freq_hz,psd_v2_per_hz
0.0,9.955959331796465e-14
0.25,8.755086946372951e-14
0.5,6.987427888478754e-14
0.75,6.71833501660413e-14
1.0,8.49709193932271e-14
1.25,9.575790757166481e-14
1.5,8.163534757321941e-14
1.75,1.1691758484697655e-13
2.0,1.8286900633204486e-13
2.25,1.7433172172141268e-13
2.5,1.687446332230821e-13
2.75,1.747688379257376e-13
3.0,9.56408877940703e-14
3.25,1.0509349339587588e-13
3.5,1.0297377586763496e-13
3.75,8.026399213329297e-14
4.0,7.006204691868141e-14
4.25,9.260750935321141e-14
4.5,8.963638657143701e-14
4.75,9.255564527446289e-14
5.0,9.482607724836204e-14
5.25,6.243952059866141e-14
5.5,6.139189471358731e-14
5.75,5.981838385888786e-14
6.0,9.322090530039979e-14
6.25,8.772208742868291e-14
6.5,6.716141552373329e-14
6.75,9.718313207678294e-14
7.0,1.1365549311788967e-13
7.25,1.1250074046059172e-13
7.5,1.4758102117906113e-13
7.75,1.378895600460235e-13
8.0,5.142563993276317e-14
8.25,4.850610046966191e-14
8.5,3.518005337791127e-14
8.75,4.4636213192220866e-14
9.0,3.4518750018516035e-14
9.25,3.797590023651147e-14
9.5,4.1657285837826056e-14
9.75,2.074338516266802e-14
10.0,9.526147798705773e-15
10.25,1.4167169998050557e-14
10.5,1.8874229623474574e-14
10.75,3.217710305498638e-14
11.0,3.9769255224298474e-14
11.25,2.4426600527300898e-14
11.5,1.4889230556483514e-14
11.75,1.2012678681571259e-14
12.0,7.763206400712127e-15
12.25,1.4929735589203264e-14
12.5,1.515451767128297e-14
12.75,1.159308161736051e-14
13.0,2.2027527815649466e-14
13.25,3.200696749331608e-14
13.5,3.005737823667099e-14
13.75,3.3525552164638334e-14
14.0,2.4677457995214825e-14
14.25,2.2678500198742817e-14
14.5,1.9479774155329517e-14
14.75,2.6859684715538725e-14
15.0,2.195627492085396e-14
15.25,1.7826418400544137e-14
15.5,1.7807945258206972e-14
15.75,5.896960197551682e-15
16.0,7.338834867504333e-15
16.25,5.659727986106031e-15
16.5,6.425094576430645e-15
16.75,5.602221960391122e-15
17.0,8.251893574958976e-15
17.25,7.911502235699172e-15
17.5,8.006408851043164e-15
17.75,9.436331925071006e-15
18.0,5.119972767300964e-15
18.25,6.411617857870726e-15
18.5,8.85117922777929e-15
18.75,9.078897411561371e-15
19.0,9.876525326706604e-15
19.25,8.268872872922157e-15
19.5,8.053874014274228e-15
19.75,5.346166001181497e-15
20.0,6.240261421069092e-15
20.25,6.255585712371926e-15
20.5,7.993033535254136e-15
20.75,9.027900646306558e-15
21.0,1.1435262472081476e-14
21.25,1.3270162010397612e-14
21.5,9.462114425217211e-15
21.75,9.451846639360441e-15
22.0,7.523537266786106e-15
22.25,6.414365418092875e-15
22.5,6.627722643165807e-15
22.75,6.696665864255168e-15
23.0,4.807844018456818e-15
23.25,7.557204088974096e-15
23.5,7.017344686374449e-15
23.75,5.097924018038594e-15
24.0,5.496743169576961e-15
24.25,5.282701145282914e-15
24.5,5.484522483848527e-15
24.75,8.497605393065138e-15
25.0,1.106156172613742e-14
25.25,8.990246990058525e-15
25.5,8.063112983796943e-15
25.75,7.074813961855414e-15
26.0,6.877713602493559e-16
26.25,2.414111025543869e-15
26.5,3.1570026501559907e-15
26.75,4.595645133049385e-15
27.0,4.187279231651896e-15
27.25,5.187752078338595e-15
27.5,4.156326811517807e-15
27.75,1.882551575078446e-15
28.0,2.6066791422345023e-15
28.25,2.640085721436514e-15
28.5,2.87703742722024e-15
28.75,2.8533290877760622e-15
29.0,3.518822265647304e-15
29.25,3.487505645559946e-15
29.5,2.437501262923404e-15
29.75,2.7546024936328573e-15
30.0,2.6410953660738625e-15
30.25,1.4701860775297707e-15
30.5,1.9099171579037865e-15
30.75,2.5111110988334413e-15
31.0,2.0707484344057442e-15
31.25,1.8181922454789854e-15
31.5,1.9765872007612876e-15
31.75,1.1004281361592117e-15
32.0,1.2993520401234139e-15
32.25,1.1995340815897867e-15
32.5,1.3276293174937313e-15
32.75,9.015365920214662e-16
33.0,6.977026249615156e-16
33.25,9.312509111268286e-16
33.5,1.2400716380898524e-15
33.75,1.526173941965625e-15
34.0,1.4414061621888817e-15
34.25,1.4033008849771451e-15
34.5,1.192963230700463e-15
34.75,2.0991070274394877e-15
35.0,2.6881963875009684e-15
35.25,2.737502129312019e-15
35.5,2.6053561596862973e-15
35.75,2.2678021356738528e-15
36.0,9.069003989077595e-16
36.25,4.888762364062629e-16
36.5,6.696669616308774e-16
36.75,7.258283465517301e-16
37.0,6.5179103267702285e-16
37.25,8.807807205584693e-16
37.5,7.142179798045634e-16
37.75,3.771407512203148e-16
38.0,3.810920945626815e-16
38.25,4.793519229862841e-16
38.5,5.052631042877918e-16
38.75,4.832543211083031e-16
39.0,4.0591437591986026e-16
39.25,4.204814472841011e-16
39.5,4.275057814395186e-16
39.75,3.886797145028331e-16
40.0,4.958784259532011e-16
40.25,9.783082907260672e-16
40.5,1.3918787668364898e-15
40.75,1.4881019674384841e-15
41.0,9.616104782717927e-16
41.25,3.8334038885601256e-16
41.5,3.7394637444903425e-16
41.75,8.540162576231837e-16
42.0,1.2851711065782243e-15
