channel,band,bandpower_abs_uV2,bandpower_rel,peak_hz
ch1,delta,0.4226794551206769,0.07159401613568551,1.122689222183467
ch1,theta,0.6768163835571055,0.11464007180441103,7.744375653993722
ch1,alpha,0.6360057221880104,0.10772750694427889,8.022322985699338
ch1,beta,2.5343065304898147,0.4292642579111367,23.521974189047786
ch1,gamma,1.6340296584307934,0.2767741472044878,30.530606906173702
ch2,delta,0.7257394821044865,0.08980885034028557,1.5804848273456575
ch2,theta,0.8930374240628165,0.11051164549207296,6.719785490059296
ch2,alpha,1.1339744189949095,0.14032713032217783,10.796346355074991
ch2,beta,3.4455978547964596,0.4263860375584096,17.080136030694106
ch2,gamma,1.882585820931115,0.23296633628705396,32.912234042553195
ch3,delta,0.7984297312888513,0.0674554238223807,1.422436344611092
ch3,theta,1.5326787079485997,0.12948852951820844,6.109391349843042
ch3,alpha,1.6138165326029068,0.13634346757424415,12.758327520055808
ch3,beta,4.831979135109994,0.40823028963813396,18.475322636902686
ch3,gamma,3.0595011225420192,0.2584822894470328,30.710455179630276
ch4,delta,0.3094487252522493,0.08494229355148988,3.0519707010812698
ch4,theta,0.39324894200308197,0.1079450789244956,5.395448203697245
ch4,alpha,0.49462105030188414,0.1357712700779125,9.194061737007326
ch4,beta,1.538543874713762,0.42232342479760504,14.921956749215209
ch4,gamma,0.907183908053025,0.24901793264849692,30.219959888385073
