capture,condition,channel,window_start_sec,window_end_sec,rms_uV,ptp_uV,line_50_ratio_1_50,spectral_entropy_0p5_40,quality_score,quality_warnings,peak_freq,peak_delta,peak_theta,peak_alpha,peak_beta,peak_gamma,delta_abs,delta_rel,theta_abs,theta_rel,alpha_abs,alpha_rel,beta_abs,beta_rel,gamma_abs,gamma_rel,alpha_beta_ratio,theta_alpha_ratio,slow_power_rel,fast_power_rel
20260524-122200_final_atenuacion_artefactos_mixed_states,final_atenuacion_artefactos_mixed_states,0,0.0,4.0,78.03944515435768,1220.0,0.20769240526637653,0.7581083289463465,1.0,,0.25,0.75,4.75,8.0,22.0,49.75,1.799335865161566e-10,0.45515735983512295,5.86632442461009e-11,0.14839368173223577,1.2691939647064996e-11,0.032105344270599044,3.394624043338223e-11,0.08586991162208167,1.1008670071071515e-10,0.2784737025399606,0.37388351360947564,4.622086605940231,0.6035510415673587,0.3643436141620423
20260524-122200_final_atenuacion_artefactos_mixed_states,final_atenuacion_artefactos_mixed_states,0,0.256,4.256,61.54697393048662,1220.0,0.22969002243355285,0.7693995761120459,1.0,,0.25,0.5,4.5,8.0,23.75,49.5,1.3083241836128627e-10,0.43652546875683507,3.9573539753647636e-11,0.13203805454107517,1.2244506067186178e-11,0.04085408507786149,3.1046593384467826e-11,0.10358769562015478,8.601608112811215e-11,0.28699469600407346,0.3943912916807141,3.2319425166279285,0.5685635232979103,0.39058239162422825
20260524-122200_final_atenuacion_artefactos_mixed_states,final_atenuacion_artefactos_mixed_states,0,0.512,4.512,61.5387601435063,1220.0,0.21600532518530227,0.7721413244212815,1.0,,0.25,1.25,4.75,8.0,23.75,49.5,1.276937389232469e-10,0.4430001893968468,3.914933154355254e-11,0.13581841549003598,1.1982095988409468e-11,0.04156876317504592,2.858924447057882e-11,0.09918294210800556,8.083318349873012e-11,0.2804296898300657,0.4191120195827574,3.267319138606677,0.5788186048868829,0.37961263193807127
20260524-122200_final_atenuacion_artefactos_mixed_states,final_atenuacion_artefactos_mixed_states,0,0.768,4.768,61.52106143427631,1220.0,0.2328754016980072,0.7849729649436821,1.0,,0.25,1.25,4.75,8.0,23.75,49.5,1.137747906437641e-10,0.4174369732029387,3.498264047114011e-11,0.1283504673600534,1.128466525340252e-11,0.04140316567786985,2.890224997847306e-11,0.10604166073611457,8.361126790747559e-11,0.3067677330230235,0.39044244866083266,3.1000157900645076,0.5457874405629921,0.41280939375913805
20260524-122200_final_atenuacion_artefactos_mixed_states,final_atenuacion_artefactos_mixed_states,0,1.024,5.024,79.26947079424714,1242.0,0.21736251190249395,0.7832268909742551,1.0,,0.0,0.75,4.5,8.0,21.75,49.5,1.7737464916559723e-10,0.45956667430386733,4.8428517296948345e-11,0.12547527361053443,1.4881919118142637e-11,0.038558126026221676,4.162008996630894e-11,0.10783506222575905,1.0365546756159429e-10,0.26856486383361744,0.3575657604341895,3.254184955078062,0.5850419479144018,0.3763999260593765
20260524-122200_final_atenuacion_artefactos_mixed_states,final_atenuacion_artefactos_mixed_states,0,1.28,5.28,76.49922221826834,1136.0,0.18171646879289136,0.7615942738997665,1.0,,0.5,0.5,4.5,8.0,21.0,49.5,1.8711458728830859e-10,0.4705314223765712,6.184212775036959e-11,0.15551253782442642,1.5182161446265734e-11,0.038178124557734644,4.131970403365443e-11,0.1039054164236674,9.220792673234322e-11,0.2318724988176004,0.3674315148506397,4.073341465195691,0.6260439602009976,0.33577791524126777
20260524-122200_final_atenuacion_artefactos_mixed_states,final_atenuacion_artefactos_mixed_states,0,1.536,5.536,76.52353886223506,1136.0,0.14462717546818712,0.7330344216387221,1.0,,0.5,0.5,4.25,8.0,21.0,50.0,1.984685065373121e-10,0.47479921384908225,7.481270409323723e-11,0.17897556498574801,1.5014000095757575e-11,0.035918219805093146,3.56006315786212e-11,0.08516793007097256,9.410928649125498e-11,0.22513907128910404,0.4217340937505655,4.982862902363818,0.6537747788348303,0.3103070013600766
20260524-122200_final_atenuacion_artefactos_mixed_states,final_atenuacion_artefactos_mixed_states,0,1.792,5.792,76.6215048142491,1136.0,0.14561030513844153,0.7259706230802867,1.0,,0.25,0.5,4.25,8.0,21.75,49.0,1.959344795485428e-10,0.4676871205040755,7.479045356157732e-11,0.17852157490607434,1.4142663341389596e-11,0.03375792514739267,3.289552086605114e-11,0.07852018423083926,1.0118038349418619e-10,0.24151319521161818,0.4299267185638371,5.2882863542892435,0.6462086954101498,0.32003337944245747
20260524-122200_final_atenuacion_artefactos_mixed_states,final_atenuacion_artefactos_mixed_states,0,2.048,6.048,76.67470247741429,1136.0,0.15832388476528544,0.7291080572354179,1.0,,0.5,0.5,4.25,8.0,21.75,49.5,1.923507280086351e-10,0.4634942419656251,7.225300160449135e-11,0.174103059318348,1.3750574834151565e-11,0.033133808877814946,3.274915923596204e-11,0.07891338334005345,1.038978687883308e-10,0.2503555064981585,0.4198756595574515,5.2545440809529245,0.6375973012839731,0.32926888983821195
20260524-122200_final_atenuacion_artefactos_mixed_states,final_atenuacion_artefactos_mixed_states,0,2.304,6.304,76.7529022252579,1136.0,0.156821839941916,0.7288135275985889,1.0,,0.5,0.5,4.25,8.0,21.0,49.5,1.897754773634817e-10,0.4656490517201726,7.026118929766501e-11,0.1723987557492766,1.4368130656524482e-11,0.035254852250418384,3.140950308425474e-11,0.07706899505341192,1.0173614271059536e-10,0.24962834522672045,0.4574453348715051,4.890071713383246,0.6380478074694492,0.32669734028013236
