freq_hz,psd_v2_per_hz
0.0,1.023260031809923e-12
0.25,9.588249593087818e-13
0.5,7.070596501091436e-13
0.75,2.378660929287301e-13
1.0,1.7542501743032587e-13
1.25,9.439295472833787e-14
1.5,6.16595066232851e-14
1.75,4.750107720507054e-14
2.0,5.402652202944677e-14
2.25,5.152238407593085e-14
2.5,4.704682969135479e-14
2.75,3.786207285193461e-14
3.0,2.4535738201252673e-14
3.25,4.493089770071648e-14
3.5,4.3135116529169853e-14
3.75,4.442980105424201e-14
4.0,2.5608772786292467e-14
4.25,2.6373793679648614e-14
4.5,1.1998702205975291e-14
4.75,2.328648379102594e-14
5.0,3.04206417316112e-14
5.25,2.1977438785512568e-14
5.5,2.2091850976420094e-14
5.75,2.6656897763275054e-14
6.0,3.269163714110665e-14
6.25,4.454958878115053e-14
6.5,8.091702618569718e-14
6.75,8.489905159195244e-14
7.0,6.911616674219868e-14
7.25,6.400921675530758e-14
7.5,5.044322297502201e-14
7.75,1.9576964581490825e-14
8.0,1.7437501808073396e-14
8.25,2.354783991978481e-14
8.5,2.0395686167645716e-14
8.75,1.4589661256820422e-14
9.0,1.1481462365649939e-14
9.25,9.776181766566693e-15
9.5,1.2193582813797589e-14
9.75,1.2764508114285009e-14
10.0,1.1464834545111822e-14
10.25,1.0416882811583227e-14
10.5,5.098740516752851e-15
10.75,5.294085060838038e-15
11.0,7.241267750147973e-15
11.25,9.509186609914429e-15
11.5,5.4088631604790385e-15
11.75,3.538252832916429e-15
12.0,5.541953203902332e-15
12.25,9.261073137397675e-15
12.5,8.848651151533946e-15
12.75,7.994693098164116e-15
13.0,5.486646057596652e-15
13.25,2.1748017634340033e-15
13.5,2.198797045719139e-15
13.75,1.6464052129134335e-15
14.0,5.191795157777676e-15
14.25,5.260246666659009e-15
14.5,5.796905981773282e-15
14.75,8.529338946396177e-15
15.0,5.569208794739311e-15
15.25,6.113609677632946e-15
15.5,4.916450060952198e-15
15.75,5.2251537181018045e-15
16.0,4.261518398945097e-15
16.25,5.763347000452849e-15
16.5,8.972402803047745e-15
16.75,1.0996022091648642e-14
17.0,1.1560218059582322e-14
17.25,1.1619958452733873e-14
17.5,4.996628409116966e-15
17.75,5.880258199964885e-15
18.0,3.917866335875056e-15
18.25,6.800471588706436e-15
18.5,5.69193450749098e-15
18.75,5.041726854057375e-15
19.0,5.069955147666048e-15
19.25,3.0082016749516014e-15
19.5,2.6955308660521678e-15
19.75,1.7704413265303635e-15
20.0,9.92278420914988e-16
20.25,2.8946912840236697e-15
20.5,3.7912498478298415e-15
20.75,4.525652370443132e-15
21.0,1.24451041925204e-14
21.25,1.3821726203265586e-14
21.5,1.3489769052733348e-14
21.75,1.389622175521099e-14
22.0,1.0350619276632568e-14
22.25,5.336005182029593e-15
22.5,1.0728954830922512e-14
22.75,1.2439526954101187e-14
23.0,1.262313803419739e-14
23.25,1.274254562869974e-14
23.5,9.94641965551566e-15
23.75,6.0192103114625e-15
24.0,8.436536617219998e-15
24.25,3.0144693644856176e-14
24.5,4.598791417996011e-14
