channel,band,bandpower_abs_uV2,bandpower_rel,peak_hz
ch1,delta,0.0735312002961698,0.07273855431876283,0.9984585201793721
ch1,theta,0.10110136433769586,0.10001151962647324,5.9557174887892375
ch1,alpha,0.09767531614096626,0.09662240328058523,10.737808295964125
ch1,beta,0.3864830633457764,0.3823168829453062,24.996496636771298
ch1,gamma,0.35210624767582677,0.3483106398288725,49.1872197309417
ch2,delta,2.1814123891017676,0.08656445691256325,2.5574551569506725
ch2,theta,2.7349497335147928,0.10853034462793762,5.167460762331838
ch2,alpha,3.34435351118138,0.13271316641703287,9.073710762331837
ch2,beta,10.711254074190203,0.425052088462077,14.188621076233183
ch2,gamma,6.227892532297865,0.2471399435803892,31.127382286995513
ch3,delta,5.745781269265188,0.06797632149555947,2.434837443946188
ch3,theta,9.36326012615633,0.11077344415924019,4.22155269058296
ch3,alpha,11.958756587003455,0.1414798517990309,8.968609865470851
ch3,beta,36.66378589411847,0.4337563823590669,15.624999999999998
ch3,gamma,20.794632647846285,0.24601400018710257,35.541619955156946
ch4,delta,3.1969191674533235,0.09089852327839588,3.3982623318385645
ch4,theta,3.6728706159787006,0.1044313283188292,7.6373318385650215
ch4,alpha,4.656582226040989,0.1324013607165222,11.053110986547084
ch4,beta,14.940184500152808,0.4247966987706133,15.624999999999998
ch4,gamma,8.703642654799381,0.24747208891563946,30.12892376681614
