capture,condition,channel,window_start_sec,window_end_sec,rms_uV,ptp_uV,line_50_ratio_1_50,spectral_entropy_0p5_40,quality_score,quality_warnings,peak_freq,peak_delta,peak_theta,peak_alpha,peak_beta,peak_gamma,delta_abs,delta_rel,theta_abs,theta_rel,alpha_abs,alpha_rel,beta_abs,beta_rel,gamma_abs,gamma_rel,alpha_beta_ratio,theta_alpha_ratio,slow_power_rel,fast_power_rel
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,0.0,4.0,96.40153007084483,1486.0,0.19344185408320289,0.7515162858388996,1.0,,0.75,0.75,5.75,12.25,15.75,49.5,4.374537390355954e-10,0.45978132805155536,7.082548072943139e-11,0.07444040519909255,6.034482490352642e-11,0.06342481789354261,7.431749160333869e-11,0.07811064791027653,3.084971419567804e-10,0.32424280094553304,0.8119868364988713,1.1736794471217782,0.5342217332506479,0.4023534488558096
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,0.256,4.256,96.67859121853193,1486.0,0.23481651079672927,0.7004073582685842,1.0,,0.5,0.5,5.25,8.5,13.75,49.25,4.2157609110205274e-10,0.48853694341516285,8.302201535089341e-11,0.09620878050665788,2.7958407646131127e-11,0.03239916898154833,5.1497967602391036e-11,0.059677624551234175,2.788814677376589e-10,0.32317748254539674,0.5429031270125897,2.9694829691912714,0.5847457239218208,0.3828551070966309
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,0.512,4.512,96.57920583645323,1486.0,0.2522950925314145,0.736054311126969,0.9965573612028782,high_50hz_ratio,0.5,0.5,5.5,8.5,20.25,49.25,3.4988898029549996e-10,0.4671110273108229,6.293908235743059e-11,0.08402533681726818,3.520428930117802e-11,0.04699865576598775,5.682877692884266e-11,0.07586791773101947,2.441877263963279e-10,0.3259970623749017,0.6194799748243494,1.7878242568391944,0.5511363641280911,0.4018649801059212
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,0.768,4.768,86.43819179043486,1486.0,0.2634317425640875,0.7136573694794889,0.9798523861538687,high_50hz_ratio,0.75,0.75,5.5,9.25,20.5,49.5,3.045781122493322e-10,0.5018373685070586,2.8903582592081893e-11,0.047622915912496296,2.825985500350115e-11,0.046562279753505645,5.432522135646403e-11,0.08950881574436295,1.9085916011265784e-10,0.3144686200825765,0.5201976963530324,1.0227788708930385,0.549460284419555,0.40397743582693946
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,1.024,5.024,87.13261157568961,1486.0,0.28272805843619686,0.7234196088230963,0.9509079123457047,high_50hz_ratio,0.75,0.75,6.0,9.75,17.5,49.5,2.6810317429768666e-10,0.4759708222913719,3.197189033399095e-11,0.05676056231837962,3.059276215208533e-11,0.05431215872708919,5.6371870903879114e-11,0.1000785082776766,1.7623679268000426e-10,0.3128779483854826,0.5426955263601185,1.0450802112947362,0.5327313846097516,0.4129564566631592
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,1.28,5.28,88.13665525761685,1486.0,0.28326105775476595,0.7450373875492968,0.950108413367851,high_50hz_ratio,0.75,0.75,6.0,9.75,17.5,49.25,2.2578975109005616e-10,0.4378368196314523,3.564080369400311e-11,0.06911233155249483,2.778773181952264e-11,0.05388416465271226,5.7926760168266984e-11,0.11232781081153723,1.685487938697717e-10,0.3268388733518034,0.4797045741692475,1.2826093157039609,0.5069491511839471,0.4391666841633406
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,1.536,5.536,97.53755686913631,1486.0,0.26161871394724867,0.738498846457597,0.982571929079127,high_50hz_ratio,0.75,0.75,6.0,9.75,20.0,49.25,2.6113772468584077e-10,0.4300865393729668,3.863931516686926e-11,0.063637872941769,3.508922786378623e-11,0.057790978302199994,6.271799665015427e-11,0.10329478886331411,2.0959057320571236e-10,0.3451898205197501,0.5594762227421994,1.1011731382880297,0.4937244123147358,0.4484846093830642
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,1.792,5.792,97.94839457591942,1486.0,0.2515688495119639,0.7466236010786901,0.9976467257320542,high_50hz_ratio,0.75,0.75,6.0,9.5,20.75,49.0,2.631656241856399e-10,0.4109227771421628,4.0433121714357036e-11,0.06313473013356165,3.501005790351741e-11,0.05466682917322422,6.915137436571402e-11,0.10797715273599603,2.3266580652763634e-10,0.3632985108150553,0.5062814473991969,1.1549001668544734,0.47405750727572443,0.4712756635510513
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,2.048,6.048,98.24995165393213,1486.0,0.25854630417797353,0.7626638501918179,0.9871805437330398,high_50hz_ratio,0.5,0.5,4.0,9.5,20.5,49.25,2.3378475801148836e-10,0.36842300220221336,4.082380809141398e-11,0.06433451892371293,3.524794223109526e-11,0.05554747370481761,7.174701407895269e-11,0.1130666111462804,2.529517486045005e-10,0.3986283940229756,0.49128096386432624,1.158189826338281,0.4327575211259263,0.511695005169256
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,2.304,6.304,98.80366896021626,1486.0,0.22689710944096214,0.8446387649217587,1.0,,0.0,0.5,5.75,9.25,20.5,49.25,1.731021000227752e-10,0.30104364781161946,5.069481023982836e-11,0.08816386743839513,3.4070191180601825e-11,0.05925182093861465,8.021646709053943e-11,0.1395052854027736,2.369230834288811e-10,0.41203537840859716,0.4247281439376678,1.487952033233436,0.3892075152500146,0.5515406638113708
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,2.56,6.56,99.24117593015512,1486.0,0.23468358109904086,0.8497506187061754,1.0,,0.0,0.5,5.75,12.75,20.5,49.5,1.5242369126294225e-10,0.2858254612567206,4.8569975071805434e-11,0.09107859423360767,2.8195627092207312e-11,0.0528725426623491,8.226913923126958e-11,0.15427138965822923,2.218169816199998e-10,0.41595201218909333,0.34272422630976634,1.7226066621241836,0.37690405549032824,0.5702234018473226
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,2.816,6.816,97.70924214218428,1470.0,0.23407123804807858,0.8522305248880541,1.0,,0.0,0.5,4.0,12.75,20.5,49.5,1.463499139760289e-10,0.2773225457859719,4.8007209332724175e-11,0.09097020385274562,2.706402747611283e-11,0.05128438271666114,8.746018253138676e-11,0.16573074637052884,2.1884321054026022e-10,0.41469212127409255,0.3094439857406013,1.7738383311610273,0.3682927496387175,0.5804228676446214
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,3.072,7.072,97.22520249400358,1470.0,0.199018548447845,0.8557332647639999,1.0,,0.0,0.5,4.0,12.75,20.5,49.25,1.754820533810463e-10,0.3047310631838871,5.963341088942666e-11,0.10355561922994537,2.8721681278804127e-11,0.04987625973075186,9.156721919501149e-11,0.15900985611045804,2.2045439920178576e-10,0.3828272017449577,0.3136677244466201,2.0762507010143105,0.4082866824138325,0.5418370578554157
