capture,condition,channel,window_start_sec,quality_score,quality_gate,quality_state,valid,activity,calmness,tension,rhythmic_density,register,harmonic_stability,velocity_factor,note_probability,rms_uV,alpha_beta_ratio,beta_over_alpha_beta,theta_alpha_ratio,slow_power,fast_power,dominant_band
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,0.0,1.0,1.0,clean,True,0.2721872869577034,0.4481196111016229,0.49497099190486693,0.22299745542888985,0.5391526379493378,0.3855649698495089,0.5183663594504857,0.32839796434311186,30.8453996282861,0.8119868364988713,0.5518803888913115,1.1736794471217782,0.5342217332506479,0.4023534488558096,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,0.256,1.0,1.0,clean,True,0.26856875631248195,0.42501998500516935,0.5122317923725158,0.22215011653855887,0.5449072794018832,0.36972933330436986,0.5155328201493188,0.3277200932308471,29.375771469684455,0.5429031270125897,0.6481288309560732,2.9694829691912714,0.5847457239218208,0.3828551070966309,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,0.512,0.9965573612028782,1.0,clean,True,0.26458645864368424,0.4148194691556282,0.5200027755303664,0.222133897902695,0.5461401417031884,0.36373541252950287,0.5113488467106893,0.32770711832215604,27.3687569187802,0.6194799748243494,0.6174821643597799,1.7878242568391944,0.5511363641280911,0.4018649801059212,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,0.768,0.9798523861538687,1.0,clean,True,0.25845078183235415,0.39738859336965293,0.5324758789981786,0.2231027864925085,0.55165598243516,0.35192247005610483,0.5048055370996235,0.3284822291940068,24.63586676603925,0.5201976963530324,0.6578091799452529,1.0227788708930385,0.549460284419555,0.40397743582693946,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,1.024,0.9509079123457047,1.0,clean,True,0.25347755143705264,0.3864434790303698,0.5401332338885036,0.2245538812179093,0.5553266925151262,0.34543351414133017,0.4991157452254061,0.32964310497432747,23.733446660096515,0.5426955263601185,0.6482160497042164,1.0450802112947362,0.5327313846097516,0.4129564566631592,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,1.28,0.950108413367851,1.0,clean,True,0.25011020841589243,0.37150250591654854,0.5517574937651875,0.22817709625302166,0.5619342964711144,0.3364713422288348,0.49423946665121,0.3325416770024173,22.708893426180424,0.4797045741692475,0.6758105756045357,1.2826093157039609,0.5069491511839471,0.4391666841633406,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,1.536,0.982571929079127,1.0,clean,True,0.25055699419565103,0.36844407873889073,0.5554704538098747,0.23075085329285702,0.5643236117327406,0.3347581735840562,0.49337834205701814,0.3346006826342856,24.64091795311942,0.5594762227421994,0.6412409406508177,1.1011731382880297,0.4937244123147358,0.4484846093830642,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,1.792,0.9976467257320542,1.0,clean,True,0.25322880185712293,0.36068472679629354,0.5634550353272489,0.2350942641270515,0.5693666542829483,0.3290422956362661,0.4943063731340812,0.3380754113016412,25.306639142661055,0.5062814473991969,0.6638865543491157,1.1549001668544734,0.47405750727572443,0.4712756635510513,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,2.048,0.9871805437330398,1.0,clean,True,0.2573346186713703,0.3531849242567509,0.5728451315703443,0.24090713346852738,0.5760403723920309,0.32359520363127114,0.49577033562475986,0.3427257067748219,25.19038052545953,0.49128096386432624,0.67056445044587,1.158189826338281,0.4327575211259263,0.511695005169256,gamma
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,2.304,1.0,1.0,clean,True,0.26171611779120313,0.33996735294650293,0.5864243148135427,0.24967569137610696,0.5849947070934933,0.3152562996378752,0.49659748872099796,0.34974055310088553,23.97929631917138,0.4247281439376678,0.7018882895309176,1.487952033233436,0.3892075152500146,0.5515406638113708,gamma
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,2.56,1.0,1.0,clean,True,0.2653461381476596,0.31963409211717464,0.6046954220803948,0.25912962018123076,0.6009357439192274,0.3017332717859481,0.49677129441180257,0.3573036961449846,23.092756749210874,0.34272422630976634,0.7447545671708709,1.7226066621241836,0.37690405549032824,0.5702234018473226,gamma
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,2.816,1.0,1.0,clean,True,0.26898502838861216,0.2996380104197153,0.6219129727487194,0.2682137012653281,0.6150196000121355,0.2881026063435845,0.49734123227227034,0.3645709610122625,22.972255959232932,0.3094439857406013,0.7636829149509649,1.7738383311610273,0.3682927496387175,0.5804228676446214,gamma
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,3.072,1.0,1.0,clean,True,0.2712842621170386,0.2850302875005559,0.6326444417066832,0.2731845820086013,0.6235462508440688,0.27814644524670956,0.4986026111613664,0.368547665606881,23.997057401816463,0.3136677244466201,0.7612275017386613,2.0762507010143105,0.4082866824138325,0.5418370578554157,gamma
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,3.328,1.0,1.0,clean,True,0.2682684806618515,0.27123225693401926,0.6419076468107865,0.27217790001435754,0.6260537593874,0.26936039092478753,0.4964585759482403,0.36774232001148605,22.781979054894155,0.2945628896100936,0.7724615065207551,2.8553856219372507,0.4636475746960572,0.4979502016825704,gamma
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,3.584,1.0,1.0,clean,True,0.26326773591226343,0.28080559959609713,0.6320812793517696,0.26644626779792013,0.6195516942760788,0.27695138032640626,0.49350203779912594,0.36315701423833613,22.42072399215843,0.45163413038979006,0.6888788153015785,1.5373503934334103,0.4886896752174861,0.45714755681631775,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,3.84,1.0,1.0,clean,True,0.2559700380818384,0.30684238310275,0.6094657969759962,0.25726307090724904,0.6050909946095887,0.2974604483138736,0.4887884900665642,0.35581045672579925,21.181305738822502,0.6374442834630164,0.6107078024538757,1.2362350726996698,0.5034192212735777,0.4275578025459138,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,4.096,1.0,1.0,clean,True,0.251750143477314,0.3291863180746253,0.5899113373095423,0.2503325753883997,0.5900602856881235,0.3144504160720012,0.48674300098590695,0.3502660603107198,22.154810820234882,0.6665058826080343,0.6000578878422778,1.1539276641136842,0.5061321618008561,0.4210439887921184,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,4.352,1.0,1.0,clean,True,0.2535770607408816,0.31992217804722567,0.5936817461841283,0.24963057694918112,0.5887849164556086,0.30613334398863434,0.49049486753256083,0.34970446155934487,25.58610406339119,0.409613604932053,0.7094142653668192,1.809558649017843,0.5405732609044802,0.411426614050364,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,4.608,1.0,1.0,clean,True,0.252866748179935,0.3129672365694435,0.5943289332973896,0.24693934632814327,0.5856230536903962,0.29956652598272504,0.4924875663722249,0.3475514770625146,25.436707458115297,0.4103243603122847,0.7090567447706629,1.625921365287073,0.5804679856573336,0.37263521666468513,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,4.864,1.0,1.0,clean,True,0.2515988502451505,0.30834890099179363,0.594442138560799,0.24496540027370048,0.5851772002501309,0.29519359488588653,0.4930710228638244,0.34597232021896035,24.644712401455607,0.41587742335242806,0.7062758283314112,1.4130443190238295,0.5735021429316924,0.37770355924082405,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,5.12,1.0,1.0,clean,True,0.24755114285925786,0.31574074763877114,0.5858600995206263,0.23841064727409828,0.5794408111010488,0.30112028919377026,0.49176006732849054,0.3407285178192786,24.21550396209797,0.5131987139228453,0.6608517379719202,1.9791231365423294,0.6091870559577395,0.343795603709745,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,5.376,1.0,1.0,clean,True,0.2431642564402626,0.3151043831904139,0.5832629538161525,0.23165057255269894,0.5749945157235727,0.3019028056117594,0.4904868684425629,0.33532045804215915,24.516454015952217,0.4557931573843592,0.6869107708870864,3.5496926972779193,0.6490231609212769,0.31605032184916376,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,5.632,1.0,1.0,clean,True,0.23499366536535007,0.3146343348289522,0.5792884078554298,0.22455074777190498,0.5696186925971023,0.3025308421233325,0.48538736964113305,0.329640598217524,21.889243696354466,0.4559131623546799,0.6868541516407826,2.353873873435813,0.672208105756789,0.2897305925705174,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,5.888,1.0,1.0,clean,True,0.2309922053085497,0.31113922917658055,0.5796385192311307,0.22065033227296588,0.567962472657555,0.300748293937314,0.48324644302992126,0.32652026581837273,22.767053562347943,0.42871714672596944,0.6999286053807843,2.935604898262221,0.6588549100215201,0.3057540440176952,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,6.144,1.0,1.0,clean,True,0.22976585838090255,0.31131795975433185,0.5764613557905407,0.2168237027604515,0.5644160854252303,0.3003993970207676,0.4843495134726623,0.32345896220836123,24.840129826676105,0.4532432216212041,0.6881160600739583,2.843096712281954,0.6855060750489124,0.27917595297727626,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,6.4,1.0,1.0,clean,True,0.23276624952636538,0.31842938736923054,0.5688042936510728,0.21339517775841105,0.5591812604083833,0.30433406247096584,0.48963521127217824,0.3207161422067289,28.006734792689233,0.5173330449959913,0.6590510918404316,3.284283559737887,0.6971452444976983,0.268152869872936,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,6.656,1.0,1.0,clean,True,0.23736148985261551,0.3141547553006168,0.5726504764094437,0.2144023855164644,0.5604391245343363,0.29987102556994605,0.49447687195185125,0.3215219084131716,27.944549363159126,0.4298346270428027,0.6993815795737134,3.445821176979062,0.6548008820338843,0.31392769679239296,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,6.912,1.0,1.0,clean,True,0.24130197844381115,0.30423781477152767,0.5830109786273451,0.21858944616097645,0.5668320385444389,0.29259793073242096,0.4967819492091621,0.32487155692878117,26.237752278233216,0.3752021319221299,0.7271658302287308,3.6274188775251206,0.6009013216975451,0.3670899845739914,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,7.168,1.0,1.0,clean,True,0.2450366436573831,0.2952817214056318,0.5932086232924477,0.22326629568822576,0.5732834658566914,0.28657387856397765,0.4984365367944345,0.3286130365505806,25.790351100234556,0.3641090133017612,0.733079240911513,3.864483757790629,0.5751607033714305,0.39225564951817543,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,7.424,1.0,1.0,clean,True,0.24905139131180903,0.2857147678471781,0.6042286022024124,0.2283312701997483,0.5806282227983747,0.2796232846936072,0.5001654200013483,0.33266501615979865,25.78170160394084,0.34303797336416736,0.7445805850797823,3.743256544259094,0.5544371572543616,0.41419637064422005,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,7.68,1.0,1.0,clean,True,0.25487850691158787,0.2910270474113522,0.6051946336045515,0.2324041138226412,0.5825760347851902,0.2834606369784758,0.5034302488192449,0.33592329105811297,26.782523243360156,0.44477199969088516,0.6921507339607508,3.1735495671865785,0.5186278577300744,0.44294965639977196,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,7.936,1.0,1.0,clean,True,0.2636738013948515,0.2940150831606604,0.6091836383241962,0.23860464493541894,0.586996403733339,0.28460412466223023,0.5089271802227957,0.3408837159483351,28.21993609679113,0.4357031740916932,0.6965228036253339,2.9462473370335003,0.475126181076324,0.48627750308783113,gamma
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,8.192,1.0,1.0,clean,True,0.2664503990450592,0.2911030260276371,0.6139084330992266,0.24147325865382116,0.5904941460312938,0.28381642397043677,0.5102683251629888,0.3431786069230569,26.737999406697316,0.39252785772468324,0.7181184882189262,4.430663381035788,0.5140365292178996,0.4507740022702708,gamma
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,8.448,1.0,1.0,clean,True,0.269870578132027,0.283743624525352,0.6227765911142256,0.2451986419795644,0.5971909574851495,0.27879017778562437,0.5119292677536251,0.3461589135836515,26.915525134299113,0.3521532387099985,0.7395611468901553,4.5937975899755195,0.4961365115364419,0.47284247000325375,gamma
