t_capture_start_sec,t_capture_end_sec,abs_start_monotonic,abs_end_monotonic,pitch_midi,note_name,velocity,channel,program,source_snapshot_ts_monotonic
-2.546747,-0.546747,1796.609739,1798.609739,69,A4,92,9,0,1808.965100068
-2.273981,-0.273981,1786.478302,1788.478302,77,F5,97,9,0,1798.783219279
-2.218172,-0.218172,1798.635837,1800.635837,65,F4,97,9,0,1810.874492929
-0.264968,1.735032,1788.487314,1790.487314,65,F4,98,9,0,1798.783219279
-0.264968,1.735032,1788.487314,1790.487314,69,A4,90,9,0,1798.783219279
-0.264968,1.735032,1788.487314,1790.487314,72,C5,82,9,0,1798.783219279
-0.163719,0.836281,1800.690291,1801.690291,67,G4,102,9,0,1810.874492929
-0.163719,0.836281,1800.690291,1801.690291,71,B4,94,9,0,1810.874492929
-0.163719,0.836281,1800.690291,1801.690291,74,D5,86,9,0,1810.874492929
0.836281,1.836281,1801.690291,1802.690291,74,D5,82,9,0,1810.874492929
1.775481,2.775481,1790.527764,1791.527764,72,C5,99,9,0,1798.783219279
1.875978,2.625978,1802.729987,1803.479987,71,B4,102,9,0,1810.874492929
2.625978,3.875978,1803.479987,1804.729987,72,C5,62,9,0,1810.874492929
2.775481,3.775481,1791.527764,1792.527764,72,C5,79,9,0,1798.783219279
3.790238,5.790238,1792.542521,1794.542521,69,A4,97,9,0,1798.783219279
3.885732,5.635732,1804.739742,1806.489742,67,G4,100,9,0,1810.874492929
5.635732,5.885732,1806.489742,1806.739742,69,A4,60,9,0,1810.874492929
5.906463,6.656463,1806.760473,1807.510473,62,D4,97,9,0,1810.874492929
6.656463,7.906463,1807.510473,1808.760473,64,E4,59,9,0,1810.874492929
7.959818,8.459818,1808.813828,1809.313828,67,G4,98,9,0,1810.874492929
8.459818,9.959818,1809.313828,1810.813828,71,B4,78,9,0,1810.874492929
9.978375,11.978375,1810.832385,1812.832385,71,B4,97,9,0,1810.874492929
