freq_hz,psd_v2_per_hz
0.0,1.0146475749771717e-13
0.25,1.0034024990181092e-13
0.5,9.551787566636501e-14
0.75,8.160973370943981e-14
1.0,7.554119936211777e-14
1.25,1.8114287853116815e-14
1.5,1.4457022370661656e-14
1.75,4.844383881720448e-15
2.0,4.678794614602119e-15
2.25,5.140103724718301e-15
2.5,8.103634975770518e-15
2.75,7.567041201288605e-15
3.0,7.12061012950813e-15
3.25,7.20442339931471e-15
3.5,6.555748791050226e-15
3.75,3.2893725012567047e-15
4.0,3.4469959947252572e-15
4.25,3.759680093773199e-15
4.5,3.3149994056553033e-15
4.75,1.627312339889577e-15
5.0,2.375360051573047e-15
5.25,1.3009201612499722e-15
5.5,1.5417507318073094e-15
5.75,1.0153118443652665e-15
6.0,9.190434038971658e-16
6.25,1.2072618764595969e-15
6.5,9.265987937427446e-16
6.75,1.1881133833784273e-15
7.0,1.0341049407308931e-15
7.25,1.0968037952155305e-15
7.5,9.151411856023561e-16
7.75,1.3091042976837097e-15
8.0,1.0981676513818692e-15
8.25,8.721014217908733e-16
8.5,9.020397472692491e-16
8.75,6.347382148397933e-16
9.0,6.121372645482809e-16
9.25,9.981398169233807e-16
9.5,7.123425699186559e-16
9.75,7.940023651605944e-16
10.0,1.1273947827941283e-15
10.25,1.106579738977879e-15
10.5,1.4212082741871484e-15
10.75,1.3275015183683068e-15
11.0,1.4900461838457183e-15
11.25,8.671881613791734e-16
11.5,7.780289631251767e-16
11.75,6.617622584176282e-16
12.0,6.80792191092924e-16
12.25,1.0688205971882636e-15
12.5,1.0963463840433403e-15
12.75,8.669974629372528e-16
13.0,8.919870684125234e-16
13.25,7.371039818037016e-16
13.5,6.831794484527631e-16
13.75,1.1617408049912447e-15
14.0,1.4958104008260067e-15
14.25,1.3843177456881951e-15
14.5,1.1695695918992257e-15
14.75,1.2366914185975423e-15
15.0,7.376041391946348e-16
15.25,6.28696780363238e-16
15.5,5.905518978958869e-16
15.75,7.688587124727272e-16
16.0,6.932450812911358e-16
16.25,1.2059132379243682e-15
16.5,1.2273679827122569e-15
16.75,1.7460432444231873e-15
17.0,1.4018846276448275e-15
17.25,1.388397282236298e-15
17.5,8.683724378681174e-16
17.75,8.056303089589188e-16
18.0,4.3475381934518635e-16
18.25,4.465403166028799e-16
18.5,3.898106902669536e-16
18.75,7.08809145289858e-16
19.0,1.1904744431048916e-15
19.25,1.2612869634825596e-15
19.5,1.0030696698616149e-15
19.75,1.0009523336017093e-15
20.0,5.732627294729778e-16
20.25,4.192982192891874e-16
20.5,6.440362059464683e-16
20.75,7.730032922184614e-16
21.0,6.185819894290446e-16
21.25,1.1745114701675079e-15
21.5,9.735254548200098e-16
21.75,7.993285200034187e-16
22.0,7.961392696830631e-16
22.25,8.169315746468406e-16
22.5,1.1458905068710614e-15
22.75,1.5822264286364901e-15
23.0,1.8593942783271286e-15
23.25,2.1613551770225015e-15
23.5,1.856111174559978e-15
23.75,1.4247301189754308e-15
24.0,1.5551123954184628e-15
24.25,1.2275175305675725e-15
24.5,8.598432331268634e-16
24.75,7.833293082842749e-16
25.0,4.472131298343862e-16
25.25,5.077941792393217e-16
25.5,1.4256536920921896e-15
25.75,1.3253681581057054e-15
26.0,1.6555212650013895e-15
26.25,1.731600273868337e-15
26.5,1.0573271896020377e-15
26.75,8.321613409675208e-16
27.0,1.2358026089372565e-15
27.25,1.0289247350886898e-15
27.5,1.7620076515402348e-15
27.75,1.8102439045786064e-15
28.0,1.9807312692403154e-15
28.25,1.196882052407711e-15
28.5,1.2040643145975055e-15
28.75,6.812508639573018e-16
29.0,5.626998191571521e-16
29.25,4.393037869607169e-16
29.5,6.30092949154763e-16
29.75,5.462282653047187e-16
30.0,8.605106439710665e-16
30.25,1.2604298329585988e-15
30.5,1.4888849635849403e-15
30.75,9.740345211525658e-16
31.0,9.528545117581058e-16
31.25,5.246028760794549e-16
31.5,4.469832182988797e-16
31.75,2.779633405184001e-16
32.0,4.1903264086152426e-16
32.25,5.735338398942255e-16
32.5,1.5498149970342699e-15
32.75,1.5958232372409968e-15
33.0,1.9088003455558303e-15
33.25,1.903220463575879e-15
33.5,1.4239606955014746e-15
33.75,7.880559875014453e-16
34.0,8.037308520159449e-16
34.25,3.7187395443363726e-16
34.5,7.087027099472453e-16
34.75,7.789927076509573e-16
35.0,1.0429902677910885e-15
35.25,1.3604124776327094e-15
35.5,1.349542787034752e-15
35.75,8.767393086273455e-16
36.0,9.932906173081138e-16
36.25,6.471620656880004e-16
36.5,1.1121382200560707e-15
36.75,9.928343354903662e-16
37.0,1.1957026950571291e-15
37.25,1.6145833624625359e-15
37.5,1.125170173506604e-15
37.75,1.1156165070600089e-15
38.0,1.0262275661271363e-15
38.25,3.913770344778077e-16
38.5,4.747014802785976e-16
38.75,6.266918363476013e-16
39.0,8.313837674458843e-16
39.25,1.2706699662233669e-15
39.5,1.5461891756151418e-15
39.75,1.8703352078364456e-15
40.0,1.5465253298975058e-15
40.25,1.2048585817197535e-15
40.5,1.1025478038926228e-15
40.75,6.636841247744929e-16
41.0,1.4077775609673537e-15
41.25,2.007874961844437e-15
41.5,2.3919679295251074e-15
41.75,2.806095412473543e-15
42.0,3.1733721971031053e-15
42.25,2.3215745217843524e-15
42.5,1.929459833227168e-15
42.75,1.2529487654895547e-15
43.0,1.6116169211864895e-15
43.25,1.6165663322764426e-15
43.5,3.77499816687882e-15
43.75,4.352561673026291e-15
44.0,6.9609735019910196e-15
44.25,6.662125927528132e-15
44.5,6.451668374931408e-15
44.75,5.375050950472027e-15
45.0,5.053081686219099e-15
45.25,3.420013439913585e-15
45.5,7.0484242879413936e-15
45.75,6.954224480362201e-15
46.0,1.377702204558376e-14
46.25,1.5352465370781968e-14
46.5,1.842871599312315e-14
46.75,1.746895008965663e-14
47.0,1.6331037959324408e-14
47.25,1.0249992901966386e-14
47.5,1.432142122802258e-14
47.75,1.114355792639167e-14
48.0,2.8896893621103064e-14
48.25,3.2995680112740775e-14
48.5,4.66052058565089e-14
48.75,4.832690092351137e-14
49.0,4.9274329647451426e-14
49.25,3.580725193682221e-14
49.5,3.955376128081647e-14
49.75,2.3720950397403428e-14
50.0,4.106478574309734e-14
50.25,3.4919722685649706e-14
50.5,4.6658837826688074e-14
50.75,4.632364753182113e-14
51.0,4.3943316746910055e-14
