channel,band,bandpower_abs_uV2,bandpower_rel,peak_hz
ch1,delta,0.019909058123018304,0.14999802730115086,0.5191029900332226
ch1,theta,0.0030935740297381746,0.02330748139382341,4.049003322259137
ch1,alpha,0.003300590936583425,0.02486717987141598,9.862956810631228
ch1,beta,0.013397955755444209,0.10094234095691398,22.944352159468437
ch1,gamma,0.09302762086834088,0.7008849704766958,48.48421926910299
ch2,delta,0.0,0.0,0.5191029900332226
ch2,theta,0.0,0.0,4.049003322259137
ch2,alpha,0.0,0.0,8.098006644518273
ch2,beta,0.0,0.0,13.081395348837209
ch2,gamma,0.0,0.0,30.004152823920265
ch3,delta,0.0,0.0,0.5191029900332226
ch3,theta,0.0,0.0,4.049003322259137
ch3,alpha,0.0,0.0,8.098006644518273
ch3,beta,0.0,0.0,13.081395348837209
ch3,gamma,0.0,0.0,30.004152823920265
ch4,delta,0.0,0.0,0.5191029900332226
ch4,theta,0.0,0.0,4.049003322259137
ch4,alpha,0.0,0.0,8.098006644518273
ch4,beta,0.0,0.0,13.081395348837209
ch4,gamma,0.0,0.0,30.004152823920265
