capture,condition,channel,window_start_sec,window_end_sec,rms_uV,ptp_uV,line_50_ratio_1_50,spectral_entropy_0p5_40,quality_score,quality_warnings,peak_freq,peak_delta,peak_theta,peak_alpha,peak_beta,peak_gamma,delta_abs,delta_rel,theta_abs,theta_rel,alpha_abs,alpha_rel,beta_abs,beta_rel,gamma_abs,gamma_rel,alpha_beta_ratio,theta_alpha_ratio,slow_power_rel,fast_power_rel
20260528-144705_s01_20260528_ear_eeg_ch1_only_00_precheck_10s,s01_20260528_ear_eeg_ch1_only_00_precheck_10s,0,0.0,4.0,40.32010664668436,507.0,0.2844483637855626,0.706658576960898,0.9483274543216561,high_50hz_ratio,0.0,0.5,4.0,12.0,14.0,48.5,2.3538276060827875e-10,0.36121627677570123,3.603921354193336e-11,0.0553054544007406,3.655818363015948e-11,0.05610186125119371,8.021108088713118e-11,0.12309120650692672,2.6344816891777796e-10,0.40428520106543775,0.45577472870116587,0.9858042704343225,0.4165217311764418,0.5273764075723645
20260528-144705_s01_20260528_ear_eeg_ch1_only_00_precheck_10s,s01_20260528_ear_eeg_ch1_only_00_precheck_10s,0,0.256,4.256,39.354809108925934,507.0,0.2965059637468044,0.6642381115341708,0.9302410543797934,high_50hz_ratio,0.0,0.75,4.0,10.25,15.0,48.5,2.9994499586937413e-10,0.3846148640021418,3.292636508602809e-11,0.042220972525118285,4.4780353785013307e-11,0.0574211602733035,9.409486891499616e-11,0.12065640603919744,3.081114612164679e-10,0.3950865971602391,0.4759064367842117,0.7352859524983832,0.4268358365272601,0.5157430031994366
20260528-144705_s01_20260528_ear_eeg_ch1_only_00_precheck_10s,s01_20260528_ear_eeg_ch1_only_00_precheck_10s,0,0.512,4.512,38.547217798435206,507.0,0.29216975186908983,0.6453049672984243,0.9367453721963652,high_50hz_ratio,0.0,0.5,4.0,12.0,14.0,48.5,3.486972922266222e-10,0.3747039637150414,3.102014733340145e-11,0.033333703530155134,5.820775168495974e-11,0.06254902392852622,1.1132054609212269e-10,0.11962309657550217,3.813483475757587e-10,0.4097902122507751,0.522884173032984,0.5329212421962816,0.4080376672451965,0.5294133088262772
20260528-144705_s01_20260528_ear_eeg_ch1_only_00_precheck_10s,s01_20260528_ear_eeg_ch1_only_00_precheck_10s,0,0.768,4.768,38.07757870453425,507.0,0.27230309589693075,0.6132359655640917,0.9665453561546039,high_50hz_ratio,0.0,0.5,4.0,12.0,14.0,48.25,4.2762218789070805e-10,0.4214151126385874,2.8288309626654787e-11,0.02787769560432344,4.8312881059152695e-11,0.047611603864299655,1.5248216704551558e-10,0.1502688387565264,3.580235779095304e-10,0.3528267491362631,0.3168428282156523,0.5855231359938877,0.44929280824291085,0.5030955878927895
20260528-144705_s01_20260528_ear_eeg_ch1_only_00_precheck_10s,s01_20260528_ear_eeg_ch1_only_00_precheck_10s,0,1.024,5.024,39.8677313124286,559.0,0.23994086316705535,0.6463213053057253,1.0,,0.0,0.5,4.0,11.25,13.5,48.25,4.197462926648551e-10,0.4186930977875677,4.123936835142943e-11,0.04113589372342367,5.4104364956410863e-11,0.05396861047565246,1.4975695819266618e-10,0.14938119963574048,3.3766844989087834e-10,0.33682119837761576,0.36128114252163296,0.7622188779898608,0.4598289915109914,0.48620239801335624
20260528-144705_s01_20260528_ear_eeg_ch1_only_00_precheck_10s,s01_20260528_ear_eeg_ch1_only_00_precheck_10s,0,1.28,5.28,39.72276425426609,559.0,0.20703570209816227,0.7413508797841906,1.0,,0.0,0.75,4.0,9.5,13.5,48.75,3.10047320734702e-10,0.3926304464378353,5.3525736739233525e-11,0.06778266576224312,4.560547914698231e-11,0.057752795912120625,9.950875137343141e-11,0.12601355620051646,2.809797476306922e-10,0.35582053568728444,0.4583062144538059,1.1736689919806553,0.4604131122000784,0.4818340918878009
20260528-144705_s01_20260528_ear_eeg_ch1_only_00_precheck_10s,s01_20260528_ear_eeg_ch1_only_00_precheck_10s,0,1.536,5.536,39.64105195375118,559.0,0.204625346236886,0.784110289884688,1.0,,0.5,0.5,4.0,10.5,13.75,48.75,2.004528413736299e-10,0.370977151042902,4.5677426607825004e-11,0.08453500321483277,3.5589795997935314e-11,0.06586587166855201,5.982073460994416e-11,0.11070995824661851,1.9879663408033512e-10,0.3679120158270946,0.5949408048897336,1.2834416530646846,0.4555121542577348,0.4786219740737131
20260528-144705_s01_20260528_ear_eeg_ch1_only_00_precheck_10s,s01_20260528_ear_eeg_ch1_only_00_precheck_10s,0,1.792,5.792,39.89488689042745,559.0,0.1911744683003404,0.8554326634925968,1.0,,0.75,0.75,4.0,10.5,29.25,48.25,1.2804731582452153e-10,0.32456995962644597,4.177147951748444e-11,0.1058809185747139,3.1356756449557473e-11,0.07948203450665497,5.837857156698604e-11,0.14797600788846563,1.3495963870339161e-10,0.3420910794037196,0.5371278468774694,1.3321364913708715,0.4304508782011599,0.4900670872921852
20260528-144705_s01_20260528_ear_eeg_ch1_only_00_precheck_10s,s01_20260528_ear_eeg_ch1_only_00_precheck_10s,0,2.048,6.048,39.80047738407166,559.0,0.18948342183494685,0.8443312484070785,1.0,,0.75,0.75,4.0,9.75,29.25,48.25,1.4476791707130306e-10,0.33489386063910825,4.384802424375621e-11,0.10143431236325764,3.189362597417776e-11,0.0737800180340468,6.209825152535197e-11,0.14365284527800887,1.49672178182159e-10,0.34623896368557844,0.5135994201246874,1.3748209212479374,0.4363281730023659,0.4898918089635873
20260528-144705_s01_20260528_ear_eeg_ch1_only_00_precheck_10s,s01_20260528_ear_eeg_ch1_only_00_precheck_10s,0,2.304,6.304,39.63730566019845,559.0,0.19733454767500055,0.7216690551607481,1.0,,0.0,0.75,4.0,10.5,14.0,48.75,2.672667577605337e-10,0.4367287668430732,4.8516492746931e-11,0.07927865113663948,3.082855120005553e-11,0.05037556956941892,6.051870637276296e-11,0.09889093663042021,2.0484373784011166e-10,0.3347260758204481,0.5094053235402636,1.573751955844218,0.5160074179797127,0.4336170124508683
