t_capture_start_sec,t_capture_end_sec,abs_start_monotonic,abs_end_monotonic,pitch_midi,note_name,velocity,channel,program,source_snapshot_ts_monotonic
-1.639487,0.360513,2014.273175,2016.273175,65,F4,95,9,0,2043.740654824
-1.019666,0.980334,2004.13263,2006.13263,57,A3,94,9,0,2015.17277956
0.380042,2.380042,2016.292704,2018.292704,69,A4,93,9,0,2043.740654824
0.996174,2.996174,2006.14847,2008.14847,57,A3,92,9,0,2015.17277956
2.393055,4.393055,2018.305717,2020.305717,69,A4,93,9,0,2043.740654824
3.021072,5.021072,2008.173368,2010.173368,65,F4,92,9,0,2015.17277956
3.021072,5.021072,2008.173368,2010.173368,69,A4,85,9,0,2015.17277956
3.021072,5.021072,2008.173368,2010.173368,72,C5,77,9,0,2015.17277956
4.420872,6.420872,2020.333534,2022.333534,65,F4,91,9,0,2043.740654824
4.420872,6.420872,2020.333534,2022.333534,69,A4,84,9,0,2043.740654824
4.420872,6.420872,2020.333534,2022.333534,72,C5,76,9,0,2043.740654824
5.031302,7.031302,2010.183599,2012.183599,65,F4,94,9,0,2015.17277956
6.508116,8.508116,2022.420778,2024.420778,72,C5,91,9,0,2043.740654824
7.094391,9.094391,2012.246687,2014.246687,65,F4,97,9,0,2015.17277956
8.562723,10.562723,2024.441768,2026.441768,72,C5,92,9,0,2045.743251695
10.671053,12.671053,2026.465137,2028.465137,72,C5,92,9,0,2047.741054378
12.638733,14.638733,2028.491241,2030.491241,69,A4,92,9,0,2049.83428072
14.758872,16.758872,2030.515111,2032.515111,65,F4,94,9,0,2051.79524696
16.869741,18.869741,2032.518366,2034.518366,65,F4,95,9,0,2053.724175168
16.869741,18.869741,2032.518366,2034.518366,69,A4,87,9,0,2053.724175168
16.869741,18.869741,2032.518366,2034.518366,72,C5,80,9,0,2053.724175168
18.787273,20.787273,2034.55879,2036.55879,69,A4,95,9,0,2055.893717526
28.972052,30.972052,2044.49691,2046.49691,77,F5,92,9,0,2065.998764102
31.10159,33.10159,2046.52794,2048.52794,65,F4,95,9,0,2067.965374085
31.10159,33.10159,2046.52794,2048.52794,69,A4,87,9,0,2067.965374085
31.10159,33.10159,2046.52794,2048.52794,72,C5,80,9,0,2067.965374085
33.346167,35.346167,2048.579992,2050.579992,72,C5,95,9,0,2073.940925341
35.346601,37.346601,2050.580426,2052.580426,69,A4,96,9,0,2073.940925341
37.325749,39.325749,2052.622833,2054.622833,65,F4,96,9,0,2075.015512134
38.611461,40.611461,2054.656818,2056.656818,65,F4,97,9,0,2076.071266924
40.636125,42.636125,2056.681483,2058.681483,65,F4,97,9,0,2076.071266924
42.652095,44.652095,2058.697452,2060.697452,65,F4,96,9,0,2076.071266924
42.652095,44.652095,2058.697452,2060.697452,69,A4,88,9,0,2076.071266924
42.652095,44.652095,2058.697452,2060.697452,72,C5,81,9,0,2076.071266924
44.681713,46.681713,2060.72707,2062.72707,69,A4,97,9,0,2076.071266924
46.928924,48.928924,2062.974281,2064.974281,65,F4,97,9,0,2076.071266924
48.929035,49.679035,2064.974392,2065.724392,69,A4,99,9,0,2076.071266924
49.679035,50.929035,2065.724392,2066.974392,67,G4,60,9,0,2076.071266924
50.945033,52.945033,2066.99039,2068.99039,69,A4,97,9,0,2076.071266924
52.961068,54.961068,2069.006425,2071.006425,72,C5,97,9,0,2076.071266924
57.967279,59.967279,2074.012636,2076.012636,65,F4,92,9,0,2076.071266924
57.967279,59.967279,2074.012636,2076.012636,69,A4,85,9,0,2076.071266924
57.967279,59.967279,2074.012636,2076.012636,72,C5,77,9,0,2076.071266924
59.96878,61.46878,2076.014137,2077.514137,72,C5,99,9,0,2076.071266924
61.46878,61.96878,2077.514137,2078.014137,72,C5,79,9,0,2076.071266924
