freq_hz,psd_v2_per_hz
0.0,2.5981733849647204e-14
0.25,2.3207188629083214e-14
0.5,1.3630639084144419e-14
0.75,6.857327483402564e-15
1.0,2.047193430196026e-15
1.25,1.99771782276817e-15
1.5,2.403729593640805e-15
1.75,1.8786930207134612e-15
2.0,1.8087646118224704e-15
2.25,2.074783531309037e-15
2.5,2.0587090495877753e-15
2.75,2.167414462787768e-15
3.0,3.090049035426422e-15
3.25,3.3974014483028617e-15
3.5,4.516965499460321e-15
3.75,6.0900272626530644e-15
4.0,6.945648951485549e-15
4.25,6.2192100556826206e-15
4.5,4.0429504118540305e-15
4.75,3.951116337572787e-15
5.0,2.7508006143891416e-15
5.25,8.795037421735763e-16
5.5,1.1427248667792275e-15
5.75,1.9339038677151928e-15
6.0,1.6680669328779236e-15
6.25,1.481279058543241e-15
6.5,2.382229942686786e-15
6.75,1.2747431106186728e-15
7.0,2.3320132539486882e-15
7.25,2.8775035358635898e-15
7.5,2.1858811748077555e-15
7.75,2.0193427203876385e-15
8.0,1.805370000452823e-15
8.25,1.645602725159676e-15
8.5,1.854181962045729e-15
8.75,2.1900675956407757e-15
9.0,1.6931699149574144e-15
9.25,1.4238613372187734e-15
9.5,9.61944575024681e-16
9.75,8.958583378448798e-16
10.0,9.639226170980434e-16
10.25,9.312804154855582e-16
10.5,8.879044330039974e-16
10.75,3.850325039647036e-16
11.0,3.818749860040923e-16
11.25,4.16926696058151e-16
11.5,4.2590532738300237e-16
11.75,4.695544976617921e-16
12.0,5.076584223017389e-16
12.25,7.548887867395141e-16
12.5,1.185111342449204e-15
12.75,1.2463484304218776e-15
13.0,1.0475655736614464e-15
13.25,1.0519675706957854e-15
13.5,6.876764057490905e-16
13.75,5.552614854975727e-16
14.0,5.908343985787343e-16
14.25,3.3990244161379274e-16
14.5,2.711395984318897e-16
14.75,2.979400023287323e-16
15.0,4.825479628904438e-16
15.25,1.0664045805511328e-15
15.5,1.3929639134116666e-15
15.75,1.4079771764858284e-15
16.0,1.0205387072942454e-15
16.25,2.8855200021176366e-16
16.5,7.668304922405712e-16
16.75,2.0860666608146344e-15
17.0,2.0253122447686896e-15
17.25,2.060603937265715e-15
17.5,1.532577965738757e-15
17.75,9.181619891985019e-16
18.0,4.462295924992663e-16
18.25,4.803983715005092e-16
18.5,4.764443042288936e-16
18.75,5.314341505124791e-16
19.0,6.654132876004714e-16
19.25,2.4215586099014244e-16
19.5,3.047372382254639e-16
19.75,2.4026195966638744e-16
20.0,8.255753534202955e-17
20.25,1.5239689248224123e-16
20.5,1.3966873735403866e-16
20.75,1.9223264248126582e-16
21.0,5.572222771140152e-16
21.25,8.781306471165852e-16
21.5,1.0810691188194146e-15
21.75,1.04622107245586e-15
22.0,1.320983040213534e-15
22.25,1.7067163777826446e-15
22.5,2.0257070557308576e-15
22.75,1.8176685037741733e-15
23.0,1.430632272075225e-15
23.25,1.1350663846544048e-15
23.5,1.264683333921717e-15
23.75,1.794227642030917e-15
24.0,1.8374418690346147e-15
24.25,1.8980129076028486e-15
24.5,1.4844808600415756e-15
24.75,8.653895933948766e-16
25.0,1.020702989448768e-15
25.25,7.455902480354765e-16
25.5,5.856441725420121e-16
25.75,4.696592229768322e-16
26.0,5.205783650123267e-16
26.25,6.287206903094739e-16
26.5,9.679063937925405e-16
26.75,1.0742753958337453e-15
27.0,1.337696806069187e-15
27.25,1.4044529452358805e-15
27.5,1.045089655464649e-15
27.75,8.926542527141474e-16
28.0,8.556046546986216e-16
28.25,7.024754787105892e-16
28.5,7.380514424138355e-16
28.75,7.402827354988241e-16
29.0,5.901505554187822e-16
29.25,9.62099058901496e-16
29.5,8.614450238068273e-16
29.75,6.663816761561049e-16
30.0,5.566366185541797e-16
30.25,1.855052570057617e-16
30.5,3.317690648466933e-16
30.75,2.9102341301040624e-16
31.0,4.2842277594734036e-16
31.25,5.842086633321968e-16
31.5,2.993155438793309e-16
31.75,2.8677193965145977e-16
32.0,1.4143185189183158e-16
32.25,1.7737714411068282e-16
32.5,1.2762398338505375e-16
32.75,1.0449133064442402e-16
33.0,2.7975323933250206e-16
33.25,2.1118472159787035e-16
33.5,2.2921640569919425e-16
33.75,2.8832482065283007e-16
34.0,4.245698452711928e-17
34.25,1.1034478168130796e-16
34.5,2.1538026942745586e-16
34.75,2.7223602409363357e-16
35.0,2.505648295941384e-16
35.25,2.0009580929332857e-16
35.5,7.509775443285113e-17
35.75,6.426873293087925e-17
36.0,7.402079465499846e-17
