channel,band,bandpower_abs_uV2,bandpower_rel,peak_hz
ch1,delta,13.725362007144692,0.07809833590949014,1.3830532212885154
ch1,theta,19.331899802191703,0.10999995510021941,6.705182072829132
ch1,alpha,18.325087316263982,0.1042711167873996,9.698879551820728
ch1,beta,73.04802203535985,0.4156487063489975,14.880952380952381
ch1,gamma,51.31424423073409,0.29198188585389345,31.25
ch2,delta,10.268901627394257,0.07320020033186345,3.1512605042016806
ch2,theta,17.88379505775739,0.1274817335312243,7.8956582633053225
ch2,alpha,17.51758909755882,0.12487129371770553,10.1015406162465
ch2,beta,59.286464609856864,0.42261395072986774,23.35434173669468
ch2,gamma,35.32840703649353,0.25183282168933896,30.304621848739497
ch3,delta,0.0026221467579658157,0.10619165029399057,1.7331932773109244
ch3,theta,0.0019070003114116576,0.0772296628953969,4.009103641456583
ch3,alpha,0.002782951932699171,0.11270393524862662,12.990196078431373
ch3,beta,0.010849513419222802,0.43938339125146925,15.23109243697479
ch3,gamma,0.0065309764094271475,0.2644913603105167,30.84733893557423
ch4,delta,1.4582913047331387,0.08493602677964311,3.8340336134453783
ch4,theta,1.8322557399539559,0.10671703389492722,5.847338935574229
ch4,alpha,2.2872257842309147,0.13321609326613754,11.694677871148459
ch4,beta,7.305005077305664,0.4254692494275031,13.532913165266107
ch4,gamma,4.286512441163428,0.24966159663178905,31.390056022408963
