capture,condition,channel,window_start_sec,window_end_sec,rms_uV,ptp_uV,line_50_ratio_1_50,spectral_entropy_0p5_40,quality_score,quality_warnings,peak_freq,peak_delta,peak_theta,peak_alpha,peak_beta,peak_gamma,delta_abs,delta_rel,theta_abs,theta_rel,alpha_abs,alpha_rel,beta_abs,beta_rel,gamma_abs,gamma_rel,alpha_beta_ratio,theta_alpha_ratio,slow_power_rel,fast_power_rel
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,0.0,4.0,36.06873992808731,491.0,0.1124488517571453,0.8279058224419897,1.0,,0.0,2.0,5.5,8.0,13.5,49.25,8.141561068651797e-11,0.4507634416184852,2.454531758631916e-11,0.13589693349386275,1.650871784738342e-11,0.09140171535711814,2.3474937703017207e-11,0.12997069753041654,3.467257180542586e-11,0.19196721200011738,0.7032486329137977,1.4868094429398413,0.5866603751123479,0.3219379095305339
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,0.256,4.256,37.01251139817454,570.0,0.10929856170501796,0.8388740955193256,1.0,,0.0,1.0,4.0,8.0,13.75,49.25,6.895119323549026e-11,0.40158267819568655,2.7288556862330306e-11,0.15893288041358095,1.7372214750642468e-11,0.10117853221085028,2.477427074184385e-11,0.14428927953249443,3.331238832765789e-11,0.19401662964738778,0.701220025068214,1.5708162289049015,0.5605155586092675,0.33830590917988224
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,0.512,4.512,36.75241488664384,570.0,0.09702139007259242,0.858884606461674,1.0,,0.25,0.5,4.0,8.0,13.75,49.25,5.4775166719967696e-11,0.3726596171128207,2.2962412861738697e-11,0.15622342198956066,1.58318296004744e-11,0.10771091920670452,2.4258445307171546e-11,0.16504090231508806,2.915658977197692e-11,0.1983651393758261,0.652631667034079,1.450395402250327,0.5288830391023813,0.36340604169091417
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,0.768,4.768,36.71088394468322,570.0,0.10573110540709504,0.8243153329540215,1.0,,0.25,1.75,4.0,8.0,14.0,49.25,5.85197675558855e-11,0.43690765429843054,1.9161617140877135e-11,0.14306032896645102,1.15819677806166e-11,0.08647078733449742,1.914856245670181e-11,0.14296286290192503,2.552890065967249e-11,0.19059836649869596,0.604847899512322,1.654435369173252,0.5799679832648815,0.333561229400621
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,1.024,5.024,36.67548227358435,570.0,0.11064707481870795,0.8309690846143755,1.0,,1.75,1.75,4.0,8.0,14.25,49.25,5.490572818573998e-11,0.4315487736107842,1.7143021550280837e-11,0.13474094908604362,1.1483752919337077e-11,0.09026015413226576,1.9112323469970177e-11,0.15021929454093585,2.4584658797874855e-11,0.19323082862997062,0.600855931377505,1.4928065477109247,0.5662897226968278,0.3434501231709065
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,1.28,5.28,36.696076084508,570.0,0.11324579923567915,0.82783840092973,1.0,,1.75,1.75,4.0,10.0,13.75,49.25,5.8123781802832125e-11,0.42966286792233965,1.6610327905867596e-11,0.12278693684067532,1.2070632085483626e-11,0.08922857802125327,2.1171235270813826e-11,0.15650209573034402,2.730166999790385e-11,0.2018195214853877,0.5701430233560306,1.3760942913539296,0.552449804763015,0.35832161721573175
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,1.536,5.536,34.31745911340174,570.0,0.10724602524791371,0.8189386621183034,1.0,,1.75,1.75,4.0,10.25,13.75,49.25,6.314814502158614e-11,0.4616177568823027,1.2856147602316313e-11,0.09397941960607707,1.1154683460361703e-11,0.08154158694517667,2.295877432833265e-11,0.1678303915750669,2.6679727760858346e-11,0.19503084499137652,0.48585709763243257,1.1525336104785746,0.5555971764883798,0.3628612365664434
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,1.792,5.792,31.010643334184476,570.0,0.09037418026578323,0.8333549548874468,1.0,,0.75,0.75,4.25,9.0,16.25,49.75,4.1025911391406244e-11,0.4485232245271596,7.649397620849244e-12,0.08362842823553625,7.28351971139537e-12,0.07962840156541862,1.9434811261393264e-11,0.2124746024987227,1.607522750706048e-11,0.17574534317316282,0.37476668095377336,1.0502336677803512,0.5321516527626958,0.3882199456718855
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,2.048,6.048,30.99643527891554,570.0,0.07984756829832912,0.8465740329797097,1.0,,1.0,1.0,4.0,10.25,16.5,49.75,4.099033035159895e-11,0.43240837120436126,8.423731994326807e-12,0.08886223165036859,7.778935236504852e-12,0.08206024900187382,2.255954985446789e-11,0.23798144889294667,1.5042866068698123e-11,0.15868769925044957,0.3448178393047255,1.0828901049074253,0.5212706028547298,0.39666914814339627
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,2.304,6.304,30.95651789203689,570.0,0.04940465880590509,0.8398630448087276,1.0,,1.0,1.0,4.0,10.75,13.75,50.0,4.360644443864583e-11,0.47065136375924,8.314477935537119e-12,0.08973949675747005,7.99631408260469e-12,0.08630550315378994,2.131984738075477e-11,0.23010853955335003,1.1414181613698372e-11,0.12319509677615002,0.3750643210430713,1.039788813901716,0.56039086051671,0.35330363632950007
