capture,condition,channel,window_start_sec,quality_score,quality_gate,quality_state,alpha_drive,beta_gamma_drive,rms_beta_activity,band_driven_density,spectral_register,alpha_stability,rms_band_velocity,band_note_probability,valid,rms_uV,alpha_beta_ratio,beta_over_alpha_beta,theta_alpha_ratio,slow_power,fast_power,dominant_band
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,0.0,1.0,1.0,clean,0.4128866563113294,0.4883268107631443,0.2638831865356693,0.2285886604101679,0.5003284008782373,0.4031707558249586,0.5181825769078311,0.33287092832813436,True,13.439388216308942,0.7032486329137977,0.5871133436841532,1.4868094429398413,0.5866603751123479,0.3219379095305339,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,0.256,1.0,1.0,clean,0.41271863250948604,0.4885757936734429,0.2641253226668674,0.23024088872702433,0.5005269766479509,0.4040353149717847,0.5177476241331911,0.3341927109816195,True,13.103382155686553,0.701220025068214,0.5878134428589442,1.5708162289049015,0.5605155586092675,0.33830590917988224,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,0.512,1.0,1.0,clean,0.4084432385110651,0.49213670320081443,0.26318669631403807,0.2338344563152668,0.5028052679757425,0.4019543081415559,0.5152530072782703,0.33706756505221347,True,12.123714128159294,0.652631667034079,0.6050955091469349,1.450395402250327,0.5288830391023813,0.36340604169091417,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,0.768,1.0,1.0,clean,0.4008699789292399,0.49761995817613336,0.2585745740439027,0.23315372211825153,0.506016545076523,0.39692010975913483,0.5106093620197405,0.33652297769460127,True,11.573280243463975,0.604847899512322,0.6231120097421814,1.654435369173252,0.5799679832648815,0.333561229400621,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,1.024,1.0,1.0,clean,0.394741384648574,0.5022248674341473,0.25497066455791195,0.2334796646534679,0.5087828760503297,0.39265589776661153,0.5065853188374506,0.33678373172277437,True,11.279604821233894,0.600855931377505,0.6246658305693763,1.4928065477109247,0.5662897226968278,0.3434501231709065,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,1.28,1.0,1.0,clean,0.3871511347857034,0.5084393086987523,0.25440658358095447,0.23567384570706118,0.5151609203221631,0.38661674574258365,0.5051838122473219,0.338539076565649,True,11.630891928949431,0.5701430233560306,0.6368846564426507,1.3760942913539296,0.552449804763015,0.35832161721573175,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,1.536,1.0,1.0,clean,0.3727119270331284,0.5192579268628172,0.2549069170863268,0.23947906856280235,0.523807776160442,0.374455682521595,0.5047870907308035,0.341583254850242,True,11.696045407463805,0.48585709763243257,0.6730122308460159,1.1525336104785746,0.5555971764883798,0.3628612365664434,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,1.792,1.0,1.0,clean,0.3486859869517907,0.5361120532005548,0.25134116922813116,0.24638678025590227,0.5335702967449123,0.3560749447662584,0.4991910050655435,0.3471094242047219,True,9.56393577415201,0.37476668095377336,0.7273961566356886,1.0502336677803512,0.5321516527626958,0.3882199456718855,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,2.048,1.0,1.0,clean,0.3265385181771905,0.550813546316514,0.2506874268943895,0.2548176926729119,0.5432412669233453,0.33929545349329093,0.4964632549163715,0.3538541541383296,True,9.736293622605915,0.3448178393047255,0.7435951329392524,1.0828901049074253,0.5212706028547298,0.39666914814339627,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,2.304,1.0,1.0,clean,0.31363198393848674,0.5569129684136843,0.24763066839888492,0.2580247812823898,0.5473053236885215,0.32957193381831196,0.49326611581483926,0.35641982502591196,True,9.625552734842856,0.3750643210430713,0.7272387078142482,1.039788813901716,0.56039086051671,0.35330363632950007,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,2.56,1.0,1.0,clean,0.3066273854863336,0.5619937817691336,0.2492276327412038,0.2610127013643046,0.5519856544082113,0.32466327736149037,0.4942095625827628,0.35881016109144376,True,10.601585135984354,0.39751887277268794,0.7155538429421169,1.3409106112146008,0.5374058233617843,0.3781353970568281,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,2.816,1.0,1.0,clean,0.30389127486978945,0.5657022680709084,0.25142536949668587,0.26379809389949366,0.5552507349316504,0.3230464798706928,0.4951858658831767,0.36103847511959497,True,10.550946540540233,0.41889642905449453,0.7047730754125384,1.3500067457683582,0.5100024375948132,0.40304332632175777,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,3.072,1.0,1.0,clean,0.3074868607062065,0.5652468202608787,0.2551370547919278,0.2681315174957986,0.5558557229557958,0.3272498631040892,0.49682027459242795,0.36450521399663893,True,10.505011553033139,0.46815473109252126,0.6811271174754152,1.4329246779129587,0.46110513041459,0.4346049594133423,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,3.328,1.0,1.0,clean,0.30199578794264137,0.5704898479418125,0.25575261841473784,0.26881145285640284,0.5597426512167305,0.3231486154209205,0.4971261528468285,0.36504916228512235,True,10.5227058317496,0.3978338428751617,0.7153926091384004,1.4890577660854587,0.5185660448377533,0.4019599861635503,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,3.584,1.0,1.0,clean,0.30582831539173044,0.5691543409749612,0.25855978434230475,0.27140567996049064,0.5576426382951296,0.3271751174755042,0.49864654743663706,0.3671245439683926,True,10.602058307924379,0.4661996675011479,0.6820353476830031,1.496926578036625,0.4690693145426242,0.4300291225354771,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,3.84,1.0,1.0,clean,0.29694077226541393,0.5790887654113226,0.2623265093682402,0.27834833742607257,0.5634559590095893,0.3207411412333178,0.4994651496063038,0.37267866994085813,True,10.035316455700364,0.36760905477918365,0.7312031142981683,1.4423150586327325,0.42745043445843633,0.4854680287781955,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,4.096,1.0,1.0,clean,0.2899390935598912,0.5858084819783065,0.267614892981266,0.2870568101980527,0.5669694929690463,0.31505620339521767,0.5017806790472372,0.3796454481584422,True,10.201490825833204,0.36568571968450175,0.7322328890048558,1.1352352722123042,0.40359579150032165,0.4987354752382608,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,4.352,1.0,1.0,clean,0.2836760584735164,0.5913247205250743,0.26945310931456434,0.29511037407962876,0.5719020981733658,0.3103606340926711,0.5005733173666198,0.386088299263703,True,9.048913527922345,0.3584060939507253,0.736156885964119,1.0127194185000328,0.38141122303837466,0.5151917744935234,beta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,4.608,1.0,1.0,clean,0.2714823398585772,0.6028892888282209,0.27116636926090354,0.3025148118876134,0.5807929615514744,0.3012260471964621,0.4992411727661409,0.3920118495100907,True,8.790914332749853,0.30355814911365314,0.7671311024193573,1.1799874074108556,0.3738468122995309,0.5401070104567522,beta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,4.864,1.0,1.0,clean,0.26399450886611725,0.61195593389657,0.2724807755520509,0.3070607387631804,0.5874461551859851,0.2956562994284193,0.49811820082470176,0.3956485910105443,True,8.78145861361274,0.31627969097939024,0.7597169559404883,1.2157809383977232,0.3657414480863659,0.5499813134246994,gamma
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,5.12,1.0,1.0,clean,0.2589940842659017,0.6177745853125038,0.27371074363406256,0.31025422943282155,0.5922478510899424,0.2917487886319661,0.4977806450552549,0.39820338354625723,True,8.918974160895191,0.3212821939139659,0.7568405936319433,1.1547974037679989,0.3733129752189368,0.5409958149772709,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,5.376,1.0,1.0,clean,0.25562928038157684,0.6209745016295346,0.27145892153649304,0.3093040966516339,0.5945004521156736,0.2897175546897849,0.49551628681622567,0.39744327732130713,True,8.572352326877986,0.32445782022298464,0.7550259319157588,1.3754263148919796,0.41023695539447846,0.5088210254661242,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,5.632,1.0,1.0,clean,0.26749547430034276,0.6135372226001602,0.27191841654115956,0.3072853236479691,0.5915855011634469,0.29838046150461855,0.49593618829792124,0.39582825891837525,True,9.178085004301952,0.43899748968082175,0.6949282449539915,0.9761226601480044,0.38085210461594954,0.5142064837822221,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,5.888,1.0,1.0,clean,0.2819912734653265,0.6058827727474462,0.27266767455516827,0.3018846152946939,0.5859604207277933,0.3097698896904561,0.4974347123139532,0.3915076922357551,True,9.823307279020947,0.4878619570357789,0.6721053625087795,1.3704672028038611,0.39952618707233245,0.5053138135681792,gamma
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,6.144,1.0,1.0,clean,0.293759521993731,0.5933452559053458,0.2687934915592319,0.29595770712017183,0.5751906569915308,0.32070934717333704,0.49609105492494515,0.3867661656961375,True,9.224798716699881,0.494825606604594,0.6689743576633358,1.5351382513571028,0.45740596592921134,0.4317187727433967,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,6.4,1.0,1.0,clean,0.3042398326208908,0.582102478958656,0.26427714064901625,0.2904117130905172,0.5663624744204734,0.3306817251268197,0.4938041449881535,0.3823293704724138,True,8.875308986024406,0.5092687581415356,0.6625725170568046,1.5783019893575085,0.4644670957390415,0.4217358070089602,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,6.656,1.0,1.0,clean,0.31481728347433907,0.5723526360029724,0.2585148957259065,0.2850747623165035,0.5586212781317881,0.34031631972802895,0.4895123595269265,0.3780598098532028,True,8.11047158081879,0.5344779028316489,0.6516874554867628,1.4716590559850855,0.4534424653822977,0.42962644711482656,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,6.912,1.0,1.0,clean,0.3265967044916873,0.5631849244593456,0.2550233775309103,0.28106447845521854,0.5524073903114599,0.35036343638870177,0.4867736867677381,0.37485158276417485,True,8.169337659680728,0.5720754239137791,0.6361017956170792,1.3898832383430024,0.43432952909280065,0.442905588493657,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,7.168,1.0,1.0,clean,0.34171821291513926,0.551491798381636,0.2535249988042076,0.2769953290118721,0.5448099147985357,0.36292044119330324,0.48621672080445183,0.3715962632094978,True,8.626668959916692,0.638278010780568,0.6103970104076549,1.3960197319543162,0.4333757590687068,0.4341744155019577,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,7.424,1.0,1.0,clean,0.34882408515481905,0.5497268311592898,0.2577802856400535,0.27634810597784965,0.54484169975681,0.36782274100523515,0.489978281466495,0.37107848478227984,True,9.637312919434173,0.5906495610347235,0.6286739860828837,1.4342678294362083,0.40745976306957987,0.48039565083088287,gamma
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,7.68,1.0,1.0,clean,0.3392826551414209,0.5625190604393221,0.2653464936419182,0.2805598433013828,0.5542118080737056,0.3596738432231202,0.4955849358866039,0.3744478746411063,True,10.107563131330664,0.44732069649715817,0.6909318732307383,1.7312002400091369,0.3830448224000449,0.5311456106499504,gamma
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,7.936,1.0,1.0,clean,0.3416098285409821,0.5635849652643394,0.2683236128223034,0.2807276671729059,0.5558555837754146,0.36128554982334843,0.4979715603964633,0.37458213373832483,True,9.718433282707249,0.5360492581140388,0.6510207890236169,1.5910705355799974,0.3959612845291373,0.5030930725312563,gamma
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,8.192,1.0,1.0,clean,0.3353057592529873,0.5660023867423936,0.2724351021505679,0.2822093266934506,0.5562903707982412,0.35655264753556487,0.5030564205568218,0.3757674613547606,True,10.663393149852707,0.46058510284978377,0.6846571268224098,1.8146706928840222,0.451957370928899,0.45111134140307013,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,8.448,1.0,1.0,clean,0.33685475519153474,0.563588060419777,0.27301373364304865,0.2792545557361595,0.5542712688689038,0.3579902407440114,0.505263643003304,0.3734036445889276,True,10.46888513785735,0.5192025123811738,0.6582400909994658,1.9068768486160175,0.4731048313258074,0.4319390006512408,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,8.704,1.0,1.0,clean,0.3288708545509843,0.5675197281059166,0.27437273947825414,0.2759804164638578,0.5615515759973142,0.35181424628476693,0.509140784735957,0.3707843331710863,True,11.313347066402423,0.4359326398602925,0.6964114974732529,2.491495503868012,0.5296873556555423,0.3975524682552565,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,8.96,1.0,1.0,clean,0.33029106882349313,0.5686762239331256,0.28132659134343824,0.2730296450527401,0.5617028212590202,0.3522920779611408,0.5176024435476557,0.3684237160421921,True,12.934251555469368,0.5032810929307411,0.6652115859751617,2.884115371281155,0.5089366780628006,0.4249947578205353,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,9.216,0.9931413234162589,1.0,clean,0.329367201525111,0.5731154534952835,0.2932744488838941,0.27444198934864455,0.5644720066019875,0.3493501364502927,0.5296256973623162,0.36955359147891564,True,14.328893863671887,0.48465230674734194,0.6735583782480188,2.475522587603956,0.4751414515306597,0.4606012481609645,gamma
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,9.472,0.971229659488075,1.0,clean,0.3308472086317838,0.5761384724895162,0.3080563408419887,0.2769164941764205,0.567490605357216,0.3472747450076117,0.5442473590978756,0.37153319534113644,True,15.926676119901106,0.5049676675697655,0.6644661021916961,2.238674904496526,0.465010102891813,0.4727340184143083,gamma
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,9.728,0.9814871519881989,1.0,clean,0.34440259743638435,0.5710189165418684,0.3156242564193555,0.2779863822367633,0.565486695557411,0.3547428879917638,0.5503813985035829,0.37238910578941065,True,14.422989193034146,0.6321947018313813,0.6126720046776466,1.3641432772747062,0.40754768297547594,0.5106330066029209,gamma
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,9.984,0.9839992685634967,1.0,clean,0.3390935896947805,0.5734286327856779,0.31571672221119773,0.2757870682033652,0.5655809719036817,0.3493347894240319,0.5521000211242457,0.37062965456269215,True,14.062525513155606,0.4755393900283127,0.6777182681484707,1.9881763171448898,0.5151566429905412,0.42239786884864416,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,10.24,1.0,1.0,clean,0.337173940985673,0.5700924493030699,0.3123200707530498,0.27045775268415717,0.5611196132513034,0.3478717269680966,0.5519519366608692,0.36636620214732574,True,14.029752923749783,0.4949807219930764,0.6689049465879274,2.424245483819109,0.5777626197521324,0.35905095295637435,delta
20260528-145041_s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,s01_20260528_ear_eeg_ch1_only_01_eyes_open_rest_60s,0,10.496,1.0,1.0,clean,0.36667348684412066,0.5443407289931494,0.3088624857289054,0.25801400387678075,0.54380030347568,0.37098256201145163,0.553019118489321,0.3564112031014246,True,14.982893070424923,0.8521561384644938,0.5399112845973378,2.8599183453628765,0.621294027209069,0.310950838865166,delta
