t_capture_start_sec,t_capture_end_sec,abs_start_monotonic,abs_end_monotonic,pitch_midi,note_name,velocity,channel,program,source_snapshot_ts_monotonic
-1.531353,-0.781353,2143.826956,2144.576956,69,A4,98,9,0,2162.424998086
-1.531353,-0.781353,2143.826956,2144.576956,72,C5,90,9,0,2162.424998086
-1.531353,-0.781353,2143.826956,2144.576956,77,F5,82,9,0,2162.424998086
-1.120288,0.129712,2144.576956,2145.826956,76,E5,59,9,0,2165.413578636
0.177645,1.927645,2145.831826,2147.581826,72,C5,101,9,0,2167.416420951
1.927645,2.177645,2147.581826,2147.831826,71,B4,61,9,0,2167.416420951
2.270446,4.270446,2147.878909,2149.878909,72,C5,96,9,0,2169.400536484
4.242291,6.242291,2149.893735,2151.893735,72,C5,95,9,0,2171.501034134
6.283867,6.533867,2151.935311,2152.185311,72,C5,102,9,0,2171.501034134
6.496363,8.246363,2152.185311,2153.935311,71,B4,61,9,0,2173.574370065
8.415255,9.165255,2153.961849,2154.711849,69,A4,102,9,0,2175.478981886
9.165255,10.415255,2154.711849,2155.961849,64,E4,62,9,0,2175.478981886
10.376788,12.376788,2155.965422,2157.965422,65,F4,96,9,0,2177.594265037
10.376788,12.376788,2155.965422,2157.965422,69,A4,88,9,0,2177.594265037
10.376788,12.376788,2155.965422,2157.965422,72,C5,81,9,0,2177.594265037
12.471339,14.471339,2157.968649,2159.968649,72,C5,94,9,0,2179.530172908
14.617636,16.617636,2160.009596,2162.009596,72,C5,96,9,0,2181.474374157
16.529135,18.529135,2162.010443,2164.010443,72,C5,96,9,0,2183.651154722
18.669227,20.669227,2164.066399,2166.066399,69,A4,95,9,0,2185.611218767
20.823066,22.823066,2166.110513,2168.110513,65,F4,96,9,0,2187.554423828
22.65834,24.65834,2168.11558,2170.11558,65,F4,95,9,0,2189.763368177
22.65834,24.65834,2168.11558,2170.11558,69,A4,87,9,0,2189.763368177
22.65834,24.65834,2168.11558,2170.11558,72,C5,80,9,0,2189.763368177
24.722954,24.972954,2170.180194,2170.430194,69,A4,98,9,0,2189.763368177
25.161188,26.911188,2170.430194,2172.180194,74,D5,59,9,0,2191.706467089
26.893657,28.018657,2172.204883,2173.329883,69,A4,98,9,0,2193.813648532
28.018657,28.893657,2173.329883,2174.204883,71,B4,60,9,0,2193.813648532
29.07747,30.95247,2174.243382,2176.118382,65,F4,103,9,0,2195.752423468
30.95247,31.07747,2176.118382,2176.243382,71,B4,62,9,0,2195.752423468
30.976401,31.726401,2176.255715,2177.005715,65,F4,104,9,0,2197.906303084
31.726401,32.976401,2177.005715,2178.255715,67,G4,63,9,0,2197.906303084
33.114924,34.364924,2178.305557,2179.555557,65,F4,98,9,0,2199.873728191
34.364924,35.114924,2179.555557,2180.305557,67,G4,60,9,0,2199.873728191
35.209479,37.209479,2180.339591,2182.339591,65,F4,96,9,0,2201.926885532
35.209479,37.209479,2180.339591,2182.339591,69,A4,88,9,0,2201.926885532
35.209479,37.209479,2180.339591,2182.339591,72,C5,81,9,0,2201.926885532
37.311524,39.311524,2182.354317,2184.354317,72,C5,97,9,0,2203.881119296
38.514881,40.514881,2184.375899,2186.375899,72,C5,97,9,0,2205.895928539
38.675502,40.175502,2123.555751,2125.055751,65,F4,104,9,0,2144.906158194
40.175502,40.675502,2125.055751,2125.555751,65,F4,83,9,0,2144.906158194
40.529514,42.529514,2186.390531,2188.390531,65,F4,98,9,0,2205.895928539
40.681116,41.181116,2125.561364,2126.061364,60,C4,107,9,0,2144.906158194
40.681116,41.181116,2125.561364,2126.061364,65,F4,98,9,0,2144.906158194
40.681116,41.181116,2125.561364,2126.061364,69,A4,90,9,0,2144.906158194
41.181116,42.681116,2126.061364,2127.561364,69,A4,86,9,0,2144.906158194
42.553972,44.553972,2188.414989,2190.414989,65,F4,97,9,0,2205.895928539
42.693343,43.693343,2127.573592,2128.573592,72,C5,103,9,0,2144.906158194
43.693343,44.693343,2128.573592,2129.573592,72,C5,82,9,0,2144.906158194
44.616266,46.616266,2190.477284,2192.477284,65,F4,96,9,0,2205.895928539
44.702975,45.452975,2129.583224,2130.333224,72,C5,104,9,0,2144.906158194
45.452975,46.702975,2130.333224,2131.583224,64,E4,63,9,0,2144.906158194
46.61653,47.11653,2192.477547,2192.977547,60,C4,102,9,0,2205.895928539
46.61653,47.11653,2192.477547,2192.977547,65,F4,94,9,0,2205.895928539
46.61653,47.11653,2192.477547,2192.977547,69,A4,86,9,0,2205.895928539
46.764173,48.514173,2131.644421,2133.394421,65,F4,98,9,0,2144.906158194
46.764173,48.514173,2131.644421,2133.394421,69,A4,90,9,0,2144.906158194
46.764173,48.514173,2131.644421,2133.394421,72,C5,82,9,0,2144.906158194
47.11653,48.61653,2192.977547,2194.477547,65,F4,81,9,0,2205.895928539
48.514173,48.764173,2133.394421,2133.644421,76,E5,60,9,0,2144.906158194
48.70086,49.57586,2194.561878,2195.436878,60,C4,108,9,0,2205.895928539
48.796871,50.796871,2133.67712,2135.67712,77,F5,96,9,0,2144.906158194
49.57586,50.70086,2195.436878,2196.561878,62,D4,65,9,0,2205.895928539
50.762899,51.887899,2196.623917,2197.748917,65,F4,100,9,0,2205.895928539
50.807371,52.807371,2135.687619,2137.687619,72,C5,97,9,0,2144.906158194
51.887899,52.762899,2197.748917,2198.623917,62,D4,61,9,0,2205.895928539
52.793588,53.293588,2198.654605,2199.154605,69,A4,100,9,0,2205.895928539
52.858404,53.233404,2137.738652,2138.113652,77,F5,100,9,0,2144.906158194
53.233404,54.858404,2138.113652,2139.738652,76,E5,61,9,0,2144.906158194
53.293588,54.793588,2199.154605,2200.654605,65,F4,80,9,0,2205.895928539
54.80018,56.17518,2200.661197,2202.036197,60,C4,98,9,0,2205.895928539
54.895571,55.395571,2139.775819,2140.275819,72,C5,106,9,0,2144.906158194
55.395571,56.895571,2140.275819,2141.775819,69,A4,85,9,0,2144.906158194
56.17518,56.80018,2202.036197,2202.661197,62,D4,60,9,0,2205.895928539
56.841621,57.841621,2202.702638,2203.702638,65,F4,98,9,0,2205.895928539
