freq_hz,psd_v2_per_hz
0.0,6.974645109914725e-15
0.25,1.4264860652023795e-14
0.5,1.309643568562613e-14
0.75,1.5205115954862674e-14
1.0,1.3813387159848169e-14
1.25,1.5715195576333487e-14
1.5,1.3029879012081198e-14
1.75,6.438020689674014e-15
2.0,9.673379125775852e-15
2.25,6.696290329600353e-15
2.5,9.380615633253504e-15
2.75,1.299440877512781e-14
3.0,1.3407423967334688e-14
3.25,1.2695165043389513e-14
3.5,8.114973998969092e-15
3.75,5.171460575752652e-15
4.0,4.136714599679489e-15
4.25,1.825448295221424e-15
4.5,5.189153919283868e-15
4.75,4.914338315753813e-15
5.0,6.582410898067273e-15
5.25,6.0872148204039335e-15
5.5,5.5838774257793835e-15
5.75,2.6803817304486044e-15
6.0,2.9216805601932635e-15
6.25,2.3399941627852044e-15
6.5,2.5123058618643425e-15
6.75,2.260670889176211e-15
7.0,2.5052391109039433e-15
7.25,2.0272352705085426e-15
7.5,2.1491805788495267e-15
7.75,2.0256877587287073e-15
8.0,2.5130684546236975e-15
8.25,1.5062949931575469e-15
8.5,1.8311016776952547e-15
8.75,1.638973053053937e-15
9.0,1.5011070465648283e-15
9.25,2.2633505308491006e-15
9.5,2.5059564675994995e-15
9.75,2.9633492228747303e-15
10.0,2.9565924836544965e-15
10.25,2.597297280719148e-15
10.5,1.8201366219230337e-15
10.75,1.380623765361991e-15
11.0,2.07867060776243e-15
11.25,2.456912080997227e-15
11.5,1.6564576265391634e-15
11.75,1.9097080825155465e-15
12.0,1.8591217486255142e-15
12.25,1.2986065799818511e-15
12.5,1.904860509525855e-15
12.75,1.5037552325866073e-15
13.0,2.0508903576664008e-15
13.25,1.6450660593429057e-15
13.5,1.889274274186897e-15
13.75,1.5297735928896233e-15
14.0,1.7121367102571062e-15
14.25,2.3178599840302874e-15
14.5,1.5529488476050312e-15
14.75,1.3788228015825454e-15
15.0,6.830476615903681e-16
15.25,7.123143651310465e-16
15.5,3.981403224455362e-16
15.75,5.527338839106786e-16
16.0,4.293566989647071e-16
16.25,4.795956310371436e-16
16.5,3.616367491125682e-16
16.75,5.603941516152182e-16
17.0,4.909187685928439e-16
17.25,4.889442981865117e-16
17.5,5.895510776097312e-16
17.75,5.86309979463427e-16
18.0,7.678502599085611e-16
18.25,8.272117544799702e-16
18.5,6.500824072575906e-16
18.75,7.127748033279891e-16
19.0,8.847781361917962e-16
19.25,7.026306622920181e-16
19.5,9.706037733900153e-16
19.75,1.038615784114804e-15
20.0,8.092831001683053e-16
20.25,5.189826277590521e-16
20.5,1.0537879250443495e-15
20.75,8.147147790584171e-16
21.0,9.271889022940625e-16
21.25,1.198459404150929e-15
21.5,8.022166639820594e-16
21.75,7.58795759500276e-16
22.0,6.045515977730135e-16
22.25,5.099791022650082e-16
22.5,3.2388853187857807e-16
22.75,3.3822141527514427e-16
23.0,4.962104618780214e-16
23.25,3.1195576835586174e-16
23.5,5.975717585510976e-16
23.75,2.8082719702209394e-16
24.0,2.2778103275246955e-16
24.25,2.4636287219115366e-16
24.5,1.3372372984313925e-16
24.75,2.4194748507814513e-16
25.0,6.012629061569724e-16
25.25,6.073246190700467e-16
25.5,6.454024643376254e-16
25.75,9.17217799629489e-16
26.0,5.736630806605586e-16
26.25,4.448087843304325e-16
26.5,5.199007322090676e-16
26.75,3.0214083899937896e-16
27.0,2.664520159770391e-16
27.25,2.333995217778336e-16
27.5,1.4470332234675914e-16
27.75,3.73737845923435e-16
28.0,4.027387663897701e-16
28.25,5.80512938584243e-16
28.5,7.53240801306222e-16
28.75,8.791948365976211e-16
29.0,9.229280956091262e-16
29.25,7.265265781037926e-16
29.5,7.775068745860408e-16
29.75,4.629635676082494e-16
30.0,4.960939023722781e-16
30.25,5.997843456779403e-16
30.5,5.867863646364011e-16
30.75,9.544848454520682e-16
31.0,8.439520773187864e-16
31.25,6.866822839157412e-16
31.5,8.340226818711025e-16
31.75,5.519807557308612e-16
32.0,6.427068963267232e-16
32.25,7.699394132659153e-16
32.5,8.73194697631994e-16
32.75,9.032628444304411e-16
33.0,9.018335485645972e-16
33.25,8.354541516292415e-16
33.5,3.970775458327173e-16
33.75,6.973353366059271e-16
34.0,5.570686809473831e-16
34.25,5.32457259964587e-16
34.5,5.379591636589249e-16
34.75,4.643831468301906e-16
35.0,3.1878511672822744e-16
35.25,3.827337412472273e-16
35.5,2.8467958244002833e-16
35.75,2.365659184525105e-16
36.0,3.0428144167660846e-16
36.25,2.944223348782383e-16
36.5,3.4582490006237496e-16
36.75,2.4888021307956893e-16
37.0,2.7168410609254337e-16
37.25,2.701831087062856e-16
37.5,1.5802155018028767e-16
37.75,1.2921945387078795e-16
38.0,1.425738440732017e-16
38.25,1.1145977461897824e-16
38.5,8.133047934511309e-17
38.75,1.1830149591698269e-16
39.0,2.700878632414566e-16
39.25,2.440933288920882e-16
39.5,3.9631450533628865e-16
39.75,4.882134650720341e-16
40.0,4.247837065917707e-16
40.25,3.0790790269241914e-16
40.5,3.727705024996745e-16
40.75,2.031342333066178e-16
41.0,3.371036504706888e-16
41.25,3.7849822140726757e-16
41.5,3.7660735377181506e-16
41.75,4.2096022198086444e-16
42.0,3.7480859213229643e-16
42.25,4.0131513901802384e-16
42.5,7.33901142283341e-16
42.75,7.230456107697457e-16
43.0,9.045203492592094e-16
43.25,9.807078220854338e-16
43.5,6.325025337395651e-16
43.75,6.474252417029744e-16
44.0,6.04275679683106e-16
44.25,5.979167204739411e-16
44.5,8.616581600605143e-16
44.75,1.2991282246160559e-15
45.0,1.3244244915220408e-15
45.25,1.3122136171501369e-15
45.5,9.96858331970098e-16
45.75,6.308016084158916e-16
46.0,3.6216838221587195e-16
46.25,8.724600550116904e-16
46.5,1.2394546903921708e-15
46.75,2.0283529704385118e-15
47.0,2.9101695721342515e-15
47.25,2.807106468269548e-15
47.5,2.7303929393587465e-15
47.75,2.9475022284121743e-15
48.0,2.2551234593364753e-15
48.25,3.556821904584826e-15
48.5,7.055480134926969e-15
48.75,7.561081640380118e-15
49.0,1.728541985539127e-14
49.25,1.8476697219131573e-14
49.5,1.729079106462684e-14
49.75,1.5611721571316625e-14
50.0,8.473385016812863e-15
50.25,2.6189389555333845e-15
50.5,6.2077878235829544e-15
50.75,4.947525776664478e-15
51.0,6.4386880355522816e-15
51.25,6.6554324122509354e-15
51.5,5.493732999066145e-15
51.75,3.614174694702577e-15
52.0,3.8677261498636266e-15
52.25,1.780308793379141e-15
52.5,2.8498190991934083e-15
52.75,2.954513676229123e-15
53.0,2.9418685360425654e-15
53.25,3.146677981151988e-15
53.5,2.6513941985373847e-15
