t_capture_start_sec,t_capture_end_sec,abs_start_monotonic,abs_end_monotonic,pitch_midi,note_name,velocity,channel,program,source_snapshot_ts_monotonic
3.119204,5.119204,2265.355488,2267.355488,72,C5,90,9,0,2286.954751904
4.876335,6.876335,2267.367755,2269.367755,77,F5,95,9,0,2289.251961338
6.860627,8.860627,2269.383688,2271.383688,77,F5,96,9,0,2291.347300111
8.459351,10.459351,2271.39817,2273.39817,60,C4,97,9,0,2293.308925137
8.459351,10.459351,2271.39817,2273.39817,65,F4,89,9,0,2293.308925137
8.459351,10.459351,2271.39817,2273.39817,69,A4,81,9,0,2293.308925137
10.46876,12.46876,2273.40048,2275.40048,72,C5,96,9,0,2295.487969069
12.50736,14.50736,2275.421267,2277.421267,72,C5,95,9,0,2297.540478187
14.557783,16.557783,2277.437323,2279.437323,72,C5,95,9,0,2299.559281818
16.664183,18.664183,2279.483822,2281.483822,72,C5,97,9,0,2301.567195792
18.840918,20.840918,2281.53801,2283.53801,72,C5,97,9,0,2303.488700467
20.971856,22.971856,2283.542976,2285.542976,65,F4,95,9,0,2305.472113431
20.971856,22.971856,2283.542976,2285.542976,69,A4,87,9,0,2305.472113431
20.971856,22.971856,2283.542976,2285.542976,72,C5,80,9,0,2305.472113431
22.875551,24.875551,2285.568687,2287.568687,77,F5,96,9,0,2307.66854465
25.037248,25.537248,2287.580328,2288.080328,77,F5,97,9,0,2309.614130499
25.537248,27.037248,2288.080328,2289.580328,77,F5,78,9,0,2309.614130499
27.115313,28.740313,2289.631202,2291.256202,77,F5,104,9,0,2311.672558393
28.521216,29.521216,2291.63224,2292.63224,69,A4,113,9,0,2313.864974251
28.740313,29.115313,2291.256202,2291.631202,67,G4,62,9,0,2311.672558393
29.521216,30.521216,2292.63224,2293.63224,72,C5,92,9,0,2313.864974251
30.894627,32.644627,2293.677274,2295.427274,69,A4,110,9,0,2315.695446888
32.644627,32.894627,2295.427274,2295.677274,67,G4,66,9,0,2315.695446888
32.783555,34.533555,2295.721577,2297.471577,65,F4,105,9,0,2317.891647018
32.783555,34.533555,2295.721577,2297.471577,69,A4,97,9,0,2317.891647018
32.783555,34.533555,2295.721577,2297.471577,72,C5,88,9,0,2317.891647018
34.510617,34.885617,2237.317875,2237.692875,71,B4,112,9,0,2262.842168877
34.533555,34.783555,2297.471577,2297.721577,71,B4,63,9,0,2317.891647018
34.885617,36.510617,2237.692875,2239.317875,72,C5,68,9,0,2262.842168877
34.921547,36.421547,2297.782556,2299.282556,69,A4,99,9,0,2319.876650255
36.421547,36.921547,2299.282556,2299.782556,72,C5,79,9,0,2319.876650255
36.522169,38.147169,2239.329427,2240.954427,71,B4,111,9,0,2262.842168877
36.995001,37.620001,2299.829956,2300.454956,77,F5,103,9,0,2321.874889526
37.620001,38.995001,2300.454956,2301.829956,76,E5,62,9,0,2321.874889526
38.02774,39.15274,2301.844967,2302.969967,65,F4,102,9,0,2323.849729796
38.147169,38.522169,2240.954427,2241.329427,72,C5,67,9,0,2262.842168877
38.537837,40.287837,2241.345094,2243.095094,67,G4,102,9,0,2262.842168877
38.537837,40.287837,2241.345094,2243.095094,71,B4,94,9,0,2262.842168877
38.537837,40.287837,2241.345094,2243.095094,74,D5,86,9,0,2262.842168877
39.15274,40.02774,2302.969967,2303.844967,71,B4,62,9,0,2323.849729796
40.051047,41.926047,2303.868275,2305.743275,72,C5,105,9,0,2323.849729796
40.287837,40.537837,2243.095094,2243.345094,76,E5,62,9,0,2262.842168877
40.557071,42.557071,2243.364329,2245.364329,69,A4,94,9,0,2262.842168877
41.926047,42.051047,2305.743275,2305.868275,71,B4,63,9,0,2323.849729796
42.069245,42.694245,2305.886473,2306.511473,72,C5,105,9,0,2323.849729796
42.57144,44.57144,2245.378698,2247.378698,65,F4,93,9,0,2262.842168877
42.57144,44.57144,2245.378698,2247.378698,69,A4,86,9,0,2262.842168877
42.57144,44.57144,2245.378698,2247.378698,72,C5,78,9,0,2262.842168877
42.694245,44.069245,2306.511473,2307.886473,67,G4,63,9,0,2323.849729796
44.126575,46.126575,2307.943803,2309.943803,65,F4,98,9,0,2323.849729796
44.126575,46.126575,2307.943803,2309.943803,69,A4,90,9,0,2323.849729796
44.126575,46.126575,2307.943803,2309.943803,72,C5,82,9,0,2323.849729796
44.615785,46.615785,2247.423043,2249.423043,69,A4,96,9,0,2262.842168877
46.195226,48.195226,2310.012453,2312.012453,72,C5,96,9,0,2323.849729796
46.623654,48.623654,2249.430912,2251.430912,60,C4,97,9,0,2262.842168877
48.224335,48.974335,2312.041563,2312.791563,77,F5,101,9,0,2323.849729796
48.648311,50.648311,2251.455568,2253.455568,60,C4,97,9,0,2262.842168877
48.974335,50.224335,2312.791563,2314.041563,74,D5,61,9,0,2323.849729796
