freq_hz,psd_v2_per_hz
0.0,1.2503057432187348e-11
0.25,1.1260562634624065e-11
0.5,6.935577387643503e-12
0.75,8.824476103130961e-13
1.0,4.31387879850184e-13
1.25,1.0997181900637896e-13
1.5,5.654718563741022e-14
1.75,4.2129446669845415e-14
2.0,4.4585431171366095e-14
2.25,4.41298436625504e-14
2.5,3.298295019916233e-14
2.75,5.310065626154863e-14
3.0,3.849117235732496e-14
3.25,5.875907942794358e-14
3.5,4.890054281642527e-14
3.75,6.339912821330849e-14
4.0,4.6815719434136514e-14
4.25,5.75956798350323e-14
4.5,3.653638844841666e-14
4.75,4.671243817855453e-14
5.0,2.7371316106407517e-14
5.25,3.732519115119221e-14
5.5,2.626294101983876e-14
5.75,3.612542587911977e-14
6.0,2.935125659229379e-14
6.25,3.614186609028487e-14
6.5,2.47573926925975e-14
6.75,3.0925095073240156e-14
7.0,1.7978660754944923e-14
7.25,2.2241395789076305e-14
7.5,1.6826574875792355e-14
7.75,2.2043230623139252e-14
8.0,1.6661604346611812e-14
8.25,1.8832948778903133e-14
8.5,1.2641924233136924e-14
8.75,1.3493440357412167e-14
9.0,8.76487922167534e-15
9.25,9.926878800043577e-15
9.5,7.77929197566859e-15
9.75,8.343316431620178e-15
10.0,6.015856599576332e-15
10.25,7.242670799415722e-15
10.5,5.801491345410311e-15
10.75,7.0713284061507634e-15
11.0,4.878965253890171e-15
11.25,6.5666816467502845e-15
11.5,5.294682929899869e-15
11.75,6.783294062865566e-15
12.0,5.3454388127490625e-15
12.25,6.98602938607718e-15
12.5,4.954779886118587e-15
12.75,4.595083071195119e-15
13.0,3.2356599734993438e-15
13.25,4.247305080730077e-15
13.5,2.9193835795013025e-15
13.75,3.3448376873310538e-15
14.0,3.025147950439276e-15
14.25,2.4646120419543438e-15
14.5,1.8179997430827335e-15
14.75,2.862776868299986e-15
15.0,3.1799976016185884e-15
15.25,4.250400974429777e-15
15.5,3.365475093604195e-15
15.75,5.475512351870103e-15
16.0,3.728487147860418e-15
16.25,3.88872096754333e-15
16.5,3.723717686344042e-15
16.75,4.4070431773864984e-15
17.0,2.81608192008078e-15
17.25,4.1201494591269564e-15
17.5,3.307402473013446e-15
17.75,4.112610238543032e-15
18.0,2.751060583830355e-15
18.25,4.297998806465212e-15
18.5,2.856679224674935e-15
18.75,3.688136113210985e-15
19.0,2.611810824703464e-15
19.25,2.6076369765146887e-15
19.5,1.3675221482770006e-15
19.75,2.043356512960929e-15
20.0,1.4001252873156884e-15
20.25,2.533624262965515e-15
20.5,2.131458721611886e-15
