channel,band,bandpower_abs_uV2,bandpower_rel,peak_hz
ch1,delta,0.00821562511007483,0.11945086903003252,0.5040322580645161
ch1,theta,0.0018100325105755255,0.02631692092373099,6.239571746384872
ch1,alpha,0.0013864950777257514,0.020158909361273788,10.706340378197996
ch1,beta,0.00812204912368967,0.1180903233936034,25.253754171301445
ch1,gamma,0.049244076450729764,0.7159829772913594,48.752085650723025
ch2,delta,0.6268823774649502,0.08557072181553409,3.997497219132369
ch2,theta,0.7813216310216586,0.10665199460061685,7.073832035595105
ch2,alpha,0.9781965255888428,0.1335258188475156,8.672830923248053
ch2,beta,3.104340056257781,0.42374874286477504,13.330784204671858
ch2,gamma,1.8351573822972735,0.2505027218715584,30.015989988876527
ch3,delta,2.7911605250415166,0.08254798616282437,3.145856507230256
ch3,theta,3.7674899962862285,0.11142272516819467,7.855951056729699
ch3,alpha,4.611444480460694,0.13638250174021793,9.437569521690767
ch3,beta,14.270236859486614,0.42203925723677455,14.14766407119021
ch3,gamma,8.372249823467733,0.2476075296919884,31.441184649610676
ch4,delta,0.18768108129747457,0.08586030066688709,3.87583426028921
ch4,theta,0.2341888684196656,0.10713667310707845,6.621941045606229
ch4,alpha,0.29295349672565646,0.13402030261331005,9.124721913236929
ch4,beta,0.9269009778940831,0.424038459818318,13.122219132369299
ch4,gamma,0.5441645119903107,0.24894426379440648,30.433120133481644
