capture,condition,channel,window_start_sec,window_end_sec,rms_uV,ptp_uV,line_50_ratio_1_50,spectral_entropy_0p5_40,quality_score,quality_warnings,peak_freq,peak_delta,peak_theta,peak_alpha,peak_beta,peak_gamma,delta_abs,delta_rel,theta_abs,theta_rel,alpha_abs,alpha_rel,beta_abs,beta_rel,gamma_abs,gamma_rel,alpha_beta_ratio,theta_alpha_ratio,slow_power_rel,fast_power_rel
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,0.0,4.0,46.87384131901289,707.0,0.18822224010668795,0.7321802890656245,1.0,,0.75,0.75,5.5,9.75,13.0,49.75,1.4757698122985416e-10,0.5245041597151341,2.750314385880856e-11,0.0977490746793418,1.9809924554018622e-11,0.07040656168486398,2.7856120444731424e-11,0.09900359070247573,5.86185788785542e-11,0.20833661321818436,0.7111515974854774,1.388351772053029,0.6222532343944759,0.3073402039206601
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,0.256,4.256,47.19764824649635,802.0,0.15149218019118538,0.7448766145058066,1.0,,0.25,0.75,4.75,12.5,24.0,49.5,1.3505639761105572e-10,0.5631714186615027,1.9726408545098026e-11,0.08225711393126801,1.3319757278701136e-11,0.055542030851998214,2.8485825052642395e-11,0.1187829883693474,4.322562397081628e-11,0.1802464481858837,0.46759246938033033,1.4809885895324384,0.6454285325927707,0.2990294365552311
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,0.512,4.512,48.160845092253105,802.0,0.1350198329412302,0.7364788332171722,1.0,,1.0,1.0,4.5,12.75,13.0,49.5,1.3076224653015736e-10,0.5753779176453431,2.3556933783944054e-11,0.10365483819971696,1.0240374426803293e-11,0.0450595295656979,2.238100596726428e-11,0.09848053968147913,4.03226736288113e-11,0.17742717490776283,0.45754754910397877,2.300397700526049,0.6790327558450601,0.27590771458924196
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,0.768,4.768,48.3373147785435,802.0,0.1433906976409616,0.7491062662090617,1.0,,1.0,1.0,4.0,12.75,13.0,49.25,1.3131336998810437e-10,0.548841947840856,2.6836919369308106e-11,0.11216852558146496,9.39385424008518e-12,0.03926288129935658,2.1446996342524385e-11,0.08964061503434974,5.0264205801481694e-11,0.21008603024397268,0.4380032564960792,2.8568592489747595,0.661010473422321,0.29972664527832243
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,1.024,5.024,53.32622244262198,802.0,0.14397164872285173,0.744294209082238,1.0,,1.0,1.0,4.25,8.25,13.5,49.25,1.6285136851413478e-10,0.5414236527674198,3.481563925273171e-11,0.11574978306682553,1.150984661797126e-11,0.038266200987766626,2.679116066516517e-11,0.08907120770037336,6.481560916319917e-11,0.21548915547761482,0.4296135864295262,3.0248569254060453,0.6571734358342453,0.3045603631779882
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,1.28,5.28,54.22908813542784,802.0,0.12228303496787313,0.7654706220636914,1.0,,1.0,1.0,6.0,8.25,13.5,48.75,1.8105017773107957e-10,0.5170356642142279,5.1394632979202756e-11,0.14677068276021354,1.6639926889499214e-11,0.047519620028031194,3.196747684265669e-11,0.09129140788332211,6.911739717658439e-11,0.19738262511420523,0.5205267519673391,3.088633340789246,0.6638063469744414,0.28867403299752736
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,1.536,5.536,54.296362677439085,802.0,0.10834969267808348,0.7729997760423968,1.0,,1.0,1.0,6.25,8.0,13.0,49.25,1.6208138836643075e-10,0.5052183124323901,5.545010715948351e-11,0.17284161892773875,1.6432970755647168e-11,0.05122264707314406,2.9155056909754914e-11,0.09087822358429024,5.769503237394928e-11,0.1798391979824368,0.563640496621665,3.374320321261946,0.6780599313601289,0.27071742156672707
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,1.792,5.792,55.031336527473144,802.0,0.10276366296824446,0.7805557008227795,1.0,,1.0,1.0,6.5,8.0,13.0,49.25,1.717100749311296e-10,0.4612352720250607,7.99584977718835e-11,0.21477877454378722,2.3330961600827337e-11,0.06266995355327838,3.173017120431452e-11,0.08523130720601962,6.555334686386732e-11,0.17608469267185411,0.7352926478270909,3.4271411157372995,0.6760140465688479,0.26131599987787374
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,2.048,6.048,55.001963601311544,802.0,0.09343231827746784,0.8076766686670357,1.0,,1.0,1.0,6.5,8.0,13.5,48.75,1.4667944578515207e-10,0.3482717594508318,1.24187504304998e-10,0.2948674941781623,4.5088428708817426e-11,0.10705676117902821,3.720446496699532e-11,0.08833728818734,6.800392218635507e-11,0.16146669700463773,1.2119090745913454,2.754309871985228,0.6431392536289942,0.24980398519197772
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,2.304,6.304,56.413163357500174,802.0,0.07386476508568118,0.8232875939933638,1.0,,1.5,1.5,6.5,8.0,13.5,49.5,1.5163091011449456e-10,0.3130704395760727,1.570178362297078e-10,0.32419275840658157,5.6666807194162304e-11,0.11699924655370846,4.447269841015591e-11,0.09182222298796781,7.45465524482704e-11,0.15391533247566944,1.2741931391602204,2.770896120752034,0.6372631979826543,0.24573755546363724
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,2.56,6.56,56.632005085463824,802.0,0.07362964007196178,0.8138029363082537,1.0,,1.5,1.5,6.5,8.0,13.5,49.25,1.4894887214243381e-10,0.32447331720855443,1.522893638868691e-10,0.3317503138170835,5.216776485007912e-11,0.1136433426368905,3.915468899437504e-11,0.08529538787057885,6.648744827159706e-11,0.1448376384668928,1.3323503822894247,2.9192234768831224,0.656223631025638,0.23013302633747162
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,2.816,6.816,56.72941917559177,802.0,0.09053212546375293,0.8137878364656318,1.0,,1.5,1.5,6.5,8.0,13.75,49.25,1.5018344232671954e-10,0.3221903353003859,1.4806605616698017e-10,0.31764788144396994,4.97769698265867e-11,0.10678712879530167,3.966646701798184e-11,0.08509694617934267,7.843973802916802e-11,0.16827770828099983,1.2548879083186688,2.974589587972381,0.6398382167443558,0.2533746544603425
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,3.072,7.072,56.91492774307985,802.0,0.09515973681541709,0.8168682119804915,1.0,,1.5,1.5,6.5,8.0,13.5,49.25,1.516892504862649e-10,0.3174777478694567,1.507707596678558e-10,0.31555539413949546,5.112213613493642e-11,0.10699598418719188,4.210145376385496e-11,0.08811616301175552,8.211130527266632e-11,0.17185471079210052,1.2142605911348818,2.9492265203843933,0.6330331420089521,0.25997087380385603
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,3.328,7.328,56.901168705045066,802.0,0.08759390048296985,0.8204756716120324,1.0,,1.5,1.5,6.5,8.0,13.5,49.25,1.6050496567168757e-10,0.3247772553730658,1.537310595917971e-10,0.31107044813769424,5.1361294861293924e-11,0.1039281265078034,4.765179666163962e-11,0.09642206188822404,8.095102505331255e-11,0.16380210809321255,1.077845925222805,2.993130527705006,0.63584770351076,0.2602241699814366
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,3.584,7.584,56.69940916799751,802.0,0.0948027911942059,0.8196373820416012,1.0,,1.5,1.5,6.5,8.0,13.75,49.25,1.409393314745189e-10,0.3023725386343476,1.5228021598102164e-10,0.32670337661061655,4.946367389496017e-11,0.1061198211267567,4.083046978726487e-11,0.08759806559349549,8.259785494067545e-11,0.17720619803478377,1.2114402345276962,3.0786272832139425,0.6290759152449641,0.26480426362827925
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,3.84,7.84,56.417027571469944,802.0,0.09780194230622107,0.8160317352781469,1.0,,1.5,1.5,6.5,8.0,16.25,49.25,1.371244155524874e-10,0.3194851099914345,1.349260103537138e-10,0.314363062805993,4.4641654085443795e-11,0.10401024287486099,4.003068662597037e-11,0.09326718562993937,7.248163529070446e-11,0.16887439869777218,1.1151858198825402,3.022424081676419,0.6338481727974274,0.26214158432771156
