capture,condition,channel,window_start_sec,quality_score,quality_gate,quality_state,alpha_drive,beta_gamma_drive,rms_beta_activity,band_driven_density,spectral_register,alpha_stability,rms_band_velocity,band_note_probability,valid,rms_uV,alpha_beta_ratio,beta_over_alpha_beta,theta_alpha_ratio,slow_power,fast_power,dominant_band
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,0.0,1.0,1.0,clean,0.4155982430348724,0.4903854710239647,0.2563185793895034,0.214559473225921,0.512098842241282,0.39281318220697203,0.5139091912982061,0.3216475785807368,True,16.773930635541777,0.7111515974854774,0.5844017569592248,1.388351772053029,0.6222532343944759,0.3073402039206601,delta
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,0.256,1.0,1.0,clean,0.3923215279481901,0.5061575974370683,0.2533759135743779,0.2170644282058724,0.5242438863317588,0.3754161758504099,0.5109760282934398,0.3236515425646979,True,15.48592949933305,0.46759246938033033,0.6813880698205674,1.4809885895324384,0.6454285325927707,0.2990294365552311,delta
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,0.512,1.0,1.0,clean,0.37350420991430644,0.5188205180401222,0.24831729898028465,0.21593849451410235,0.534117204745066,0.36231663318410356,0.5068543949200822,0.32275079561128184,True,15.07525238054011,0.45754754910397877,0.6860839638526915,2.300397700526049,0.6790327558450601,0.27590771458924196,delta
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,0.768,1.0,1.0,clean,0.35696510739451626,0.5320823246290023,0.24637232302448542,0.2160655005757698,0.544587531425584,0.3508005561073083,0.5049857841268421,0.3228524004606158,True,15.467881100574303,0.4380032564960792,0.6954087172437281,2.8568592489747595,0.661010473422321,0.29972664527832243,delta
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,1.024,1.0,1.0,clean,0.3434159500413783,0.5432200647291255,0.24992441754993633,0.21805040952180696,0.547818389540201,0.34054257113756675,0.5085047955149832,0.32444032761744557,True,17.34311460531822,0.4296135864295262,0.699489714902372,3.0248569254060453,0.6571734358342453,0.3045603631779882,delta
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,1.28,1.0,1.0,clean,0.34315608423508837,0.5430702350469604,0.25536777482622414,0.21912127126898054,0.5446705776836327,0.3407339169625636,0.5144327558585591,0.32529701701518443,True,18.712819446011405,0.5205267519673391,0.6576668241442923,3.088633340789246,0.6638063469744414,0.28867403299752736,delta
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,1.536,1.0,1.0,clean,0.3473106576226281,0.5386397053103987,0.25649546212661395,0.2178924701449589,0.538962118168846,0.34546667787831775,0.5164697560210901,0.32431397611596713,True,17.911296869999827,0.563640496621665,0.6395331933097922,3.374320321261946,0.6780599313601289,0.27071742156672707,delta
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,1.792,1.0,1.0,clean,0.36565089790018074,0.5236601590147597,0.26011275832458575,0.21565296598368658,0.5275661745926428,0.3612963834508783,0.5211703833932041,0.3225223727869493,True,19.294637917619035,0.7352926478270909,0.5762716745474746,3.4271411157372995,0.6760140465688479,0.26131599987787374,delta
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,2.048,1.0,1.0,clean,0.4093911264675855,0.4890473896229882,0.26534344644353136,0.211653205389048,0.5046174370544637,0.397972122321752,0.527582503516967,0.3193225643112384,True,20.522274872740542,1.2119090745913454,0.4520981497305146,2.754309871985228,0.6431392536289942,0.24980398519197772,delta
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,2.304,1.0,1.0,clean,0.44560532223129395,0.46005988647420254,0.2727089304481415,0.2095670683642913,0.48538608473012873,0.42841715007392944,0.535973554401453,0.31765365469143303,True,22.00760787538689,1.2741931391602204,0.4397163911788407,2.770896120752034,0.6372631979826543,0.24573755546363724,theta
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,2.56,1.0,1.0,clean,0.47575955368998757,0.4355111404318495,0.2755600375446964,0.20583362931483737,0.46904144611785803,0.4540804807712011,0.5401418581515547,0.3146669034518699,True,21.425408704278063,1.3323503822894247,0.428752046685789,2.9192234768831224,0.656223631025638,0.23013302633747162,theta
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,2.816,1.0,1.0,clean,0.4951418148932354,0.42091171365749397,0.27896517127068776,0.20449191951681664,0.45961665457877043,0.4703466538461239,0.5438265083524467,0.3135935356134533,True,21.59010591376143,1.2548879083186688,0.44348102462460187,2.974589587972381,0.6398382167443558,0.2533746544603425,delta
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,3.072,1.0,1.0,clean,0.5079194527766403,0.41149542993296284,0.28235512766465,0.20436332235175836,0.4535472294437178,0.4810401165095024,0.547194673731223,0.31349065788140673,True,21.85852019981175,1.2142605911348818,0.451618027254119,2.9492265203843933,0.6330331420089521,0.25997087380385603,delta
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,3.328,1.0,1.0,clean,0.5105145510542966,0.40919282802570867,0.28585561135866755,0.20589134829934752,0.45165346811033813,0.4834901557833384,0.5505878002190766,0.31471307863947806,True,22.23061271849543,1.077845925222805,0.4812676377281342,2.993130527705006,0.63584770351076,0.2602241699814366,delta
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,3.584,1.0,1.0,clean,0.5194644993879343,0.4030138407406948,0.2865634864609213,0.20521528508366127,0.44787850175426686,0.49145590441261,0.5511458766035846,0.314172228066929,True,21.589616626481373,1.2114402345276962,0.45219399755038403,3.0786272832139425,0.6290759152449641,0.26480426362827925,theta
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,3.84,1.0,1.0,clean,0.521327811066912,0.4015218892348205,0.28482667738559336,0.20476004813252618,0.4467320114380062,0.49378037179254386,0.5492909465575772,0.31380803850602096,True,20.717248898160197,1.1151858198825402,0.4727717019445898,3.022424081676419,0.6338481727974274,0.26214158432771156,delta
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,4.096,1.0,1.0,clean,0.5115520336322906,0.4089387425029719,0.2831572993916235,0.20604252550551608,0.45105384691708544,0.4865779862950097,0.5472211860119582,0.3148340204044129,True,20.414566821432345,0.9252813891198872,0.5194045949054026,3.2303424665848413,0.6389108878337688,0.2699676856671674,delta
20260528-145448_s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,s01_20260528_ear_eeg_ch1_only_03_quiet_rest_60s,0,4.352,1.0,1.0,clean,0.5038580234000648,0.41336160445815046,0.2823175568462623,0.20728301389987394,0.4530451695379667,0.4810536348280122,0.5464781265696561,0.3158264111198992,True,20.84691290255803,0.9212061768889697,0.5205063423304366,3.0965607532151185,0.6471555896884404,0.25459898821061844,delta
