t_capture_start_sec,t_capture_end_sec,abs_start_monotonic,abs_end_monotonic,pitch_midi,note_name,velocity,channel,program,source_snapshot_ts_monotonic
-1.226066,-0.476066,2368.077523,2368.827523,74,D5,62,9,0,2388.889675682
-0.818497,0.181503,2368.862635,2369.862635,77,F5,99,9,0,2390.857963674
0.181503,1.181503,2369.862635,2370.862635,77,F5,79,9,0,2390.857963674
1.098523,1.473523,2370.87513,2371.25013,65,F4,99,9,0,2393.066267954
1.098523,1.473523,2370.87513,2371.25013,69,A4,91,9,0,2393.066267954
1.098523,1.473523,2370.87513,2371.25013,72,C5,83,9,0,2393.066267954
1.473523,3.098523,2371.25013,2372.87513,71,B4,60,9,0,2393.066267954
3.099034,3.349034,2372.875641,2373.125641,69,A4,101,9,0,2393.066267954
3.475741,5.225741,2373.125641,2374.875641,71,B4,61,9,0,2394.972367291
5.117115,6.117115,2374.890481,2375.890481,72,C5,109,9,0,2397.124153375
6.117115,7.117115,2375.890481,2376.890481,69,A4,87,9,0,2397.124153375
7.209389,8.709389,2376.911797,2378.411797,72,C5,105,9,0,2399.106145053
8.709389,9.209389,2378.411797,2378.911797,81,A5,84,9,0,2399.106145053
8.795077,10.545077,2378.940704,2380.690704,81,A5,105,9,0,2400.173232174
10.545077,10.795077,2380.690704,2380.940704,76,E5,63,9,0,2400.173232174
10.824399,12.449399,2380.970026,2382.595026,79,G5,107,9,0,2400.173232174
12.449399,12.824399,2382.595026,2382.970026,81,A5,64,9,0,2400.173232174
12.846268,13.471268,2382.991895,2383.616895,67,G4,105,9,0,2400.173232174
12.846268,13.471268,2382.991895,2383.616895,71,B4,97,9,0,2400.173232174
12.846268,13.471268,2382.991895,2383.616895,74,D5,88,9,0,2400.173232174
13.471268,14.846268,2383.616895,2384.991895,76,E5,63,9,0,2400.173232174
14.886571,16.511571,2385.032198,2386.657198,74,D5,102,9,0,2400.173232174
16.511571,16.886571,2386.657198,2387.032198,76,E5,62,9,0,2400.173232174
16.910232,17.910232,2387.055859,2388.055859,74,D5,107,9,0,2400.173232174
17.910232,18.910232,2388.055859,2389.055859,74,D5,86,9,0,2400.173232174
18.919479,19.544479,2389.065106,2389.690106,79,G5,103,9,0,2400.173232174
19.544479,20.919479,2389.690106,2391.065106,76,E5,62,9,0,2400.173232174
20.976329,22.976329,2391.121956,2393.121956,67,G4,98,9,0,2400.173232174
23.06886,25.06886,2393.214487,2395.214487,71,B4,96,9,0,2400.173232174
25.072683,27.072683,2395.21831,2397.21831,67,G4,95,9,0,2400.173232174
25.072683,27.072683,2395.21831,2397.21831,71,B4,87,9,0,2400.173232174
25.072683,27.072683,2395.21831,2397.21831,74,D5,80,9,0,2400.173232174
27.088766,29.088766,2397.234393,2399.234393,69,A4,94,9,0,2400.173232174
29.112913,31.112913,2399.258539,2401.258539,65,F4,94,9,0,2400.173232174
