freq_hz,psd_v2_per_hz
0.0,5.215379793666959e-14
0.25,5.0925998631881446e-14
0.5,3.4320133742555894e-14
0.75,1.3594510747072871e-14
1.0,1.3431971787811126e-14
1.25,1.0800289289115121e-14
1.5,1.6386220542202877e-14
1.75,1.7366137909546253e-14
2.0,7.913599349334539e-15
2.25,1.46324591376831e-14
2.5,8.932830899841224e-15
2.75,9.248519380893256e-15
3.0,1.1526155391129146e-14
3.25,3.9039797785625495e-15
3.5,4.821894545192505e-15
3.75,6.222673275031676e-15
4.0,4.80003614815324e-15
4.25,7.623495946322321e-15
4.5,6.40183249183044e-15
4.75,6.247812573690636e-15
5.0,4.841532263288137e-15
5.25,4.9982929560766986e-15
5.5,4.703305610496351e-15
5.75,5.90878866331597e-15
6.0,7.232319607440358e-15
6.25,6.919961694555442e-15
6.5,5.019469330614964e-15
6.75,8.286104791256483e-15
7.0,5.7537026452327454e-15
7.25,6.062084905974693e-15
7.5,7.547109669974348e-15
7.75,5.7119963647221904e-15
8.0,3.0677290862055436e-15
8.25,5.634647028664443e-15
8.5,2.878927988957459e-15
8.75,4.424136611561234e-15
9.0,1.038227471492895e-14
9.25,9.861815971935421e-15
9.5,9.069454854157854e-15
9.75,1.1103425366769422e-14
10.0,6.609659246966721e-15
10.25,8.191586855805684e-15
10.5,8.705327179479032e-15
10.75,9.05789417833791e-15
11.0,9.362852798125788e-15
11.25,1.320547058391096e-14
11.5,1.076887843691262e-14
11.75,1.2111208707977482e-14
12.0,8.77183185393924e-15
12.25,7.881664157763042e-15
12.5,3.254031016060934e-15
12.75,6.7020106916184745e-15
13.0,7.597846380137677e-15
13.25,7.317459212581205e-15
13.5,9.289461896978113e-15
13.75,7.274437970955477e-15
14.0,4.688398315841036e-15
14.25,5.570277108959532e-15
14.5,3.098356557658293e-15
14.75,2.218338471263692e-15
15.0,2.075782605512006e-15
15.25,2.5657812399569426e-15
15.5,1.6716966479124188e-15
15.75,3.576686113215346e-15
16.0,3.648931489535934e-15
16.25,4.491563815425147e-15
16.5,5.385791370162708e-15
16.75,5.30926123243328e-15
17.0,3.56017823934184e-15
17.25,6.36607557391041e-15
17.5,5.7404360084571795e-15
17.75,7.904735918907657e-15
18.0,8.11629285358536e-15
18.25,8.654704417821426e-15
18.5,5.170949708188614e-15
18.75,6.58984883695014e-15
19.0,6.299897008484376e-15
19.25,5.985393019638472e-15
19.5,6.621064951037242e-15
19.75,6.0322822181917524e-15
20.0,2.9828027253797235e-15
20.25,2.2310966044214006e-15
20.5,4.437243746339995e-15
20.75,3.902337649423722e-15
21.0,4.6444044813687465e-15
21.25,5.553402090682598e-15
21.5,4.680679615070064e-15
21.75,3.260440623123493e-15
22.0,3.4953097642282286e-15
22.25,2.5204987217167152e-15
22.5,2.7460829005580817e-15
22.75,2.7368111531031234e-15
23.0,1.1484015330725888e-15
23.25,1.0605942631750278e-15
23.5,1.200677272288354e-15
23.75,1.8325333889738706e-15
24.0,3.459601818993698e-15
24.25,3.847604816404822e-15
24.5,4.03271001932949e-15
24.75,3.351229598608483e-15
25.0,3.8473768267864524e-15
25.25,4.3718144106288e-15
25.5,4.061199273621175e-15
25.75,4.643936511471018e-15
26.0,3.02394217405041e-15
26.25,2.0671130180101962e-15
26.5,3.0032202472945375e-15
26.75,2.6409035047834144e-15
27.0,2.4079393220559995e-15
27.25,3.70681610270463e-15
27.5,2.026861223999072e-15
27.75,1.8880993726900947e-15
28.0,3.3794470009891814e-15
28.25,2.647538129925767e-15
28.5,2.9016092752426398e-15
28.75,2.6050121045177635e-15
29.0,3.0977122436961344e-15
29.25,1.8832288204779005e-15
29.5,1.513945835841952e-15
29.75,2.4641471543907293e-15
30.0,1.873996141943263e-15
30.25,2.650093766136132e-15
30.5,2.705729080469277e-15
30.75,1.6236632700477896e-15
31.0,1.833739140459949e-15
31.25,1.3532442308427451e-15
31.5,1.6924611809695827e-15
31.75,1.6447190456407968e-15
32.0,2.763385328204415e-15
32.25,2.7718771111112977e-15
32.5,2.663741217582429e-15
32.75,2.7379772987523148e-15
33.0,2.1759814773949056e-15
33.25,1.9408037879718686e-15
33.5,1.6641342430002192e-15
33.75,1.7123050641923568e-15
34.0,1.6295350417892014e-15
34.25,1.2802147686201814e-15
34.5,1.2677184686282055e-15
34.75,1.2521331486345452e-15
35.0,1.0082676868883868e-15
35.25,5.449671449287146e-16
35.5,9.366058951065195e-16
35.75,9.013092918923696e-16
36.0,1.1263930039841523e-15
36.25,9.28465327903237e-16
36.5,2.2743576108385033e-15
36.75,1.7231367745517622e-15
37.0,1.874260068398336e-15
37.25,2.0572141343925095e-15
37.5,1.3034812048102066e-15
37.75,5.994844142839223e-16
38.0,1.1129468629284527e-15
38.25,1.0260899147756396e-15
38.5,1.0090518445445994e-15
38.75,1.8052757263135666e-15
39.0,1.685594734827074e-15
39.25,1.3258953017557482e-15
39.5,1.264493016158281e-15
39.75,4.912370738935369e-16
40.0,8.858463632174152e-16
40.25,1.054440167520532e-15
40.5,1.1058798334712161e-15
40.75,9.319277137251086e-16
41.0,9.793481792155139e-16
41.25,5.855325183909907e-16
41.5,7.036495603924006e-16
41.75,7.435135588624913e-16
42.0,6.898400723652954e-16
42.25,3.699894186846187e-16
42.5,9.339645377245815e-16
42.75,1.2256834649611999e-15
43.0,2.7396028110245675e-15
