channel,band,bandpower_abs_uV2,bandpower_rel,peak_hz
ch1,delta,0.015639649518574137,0.13709527836543867,0.5214126807563959
ch1,theta,0.0012784491876356512,0.011206731138496627,7.1607341490545044
ch1,alpha,0.002248842680137178,0.01971308326745635,11.64488320355951
ch1,beta,0.008475041675287164,0.07429119151629918,29.268631813125694
ch1,gamma,0.08643670516922801,0.7576937157123093,49.673248053392655
ch2,delta,0.0,0.0,0.5214126807563959
ch2,theta,0.0,0.0,4.032258064516129
ch2,alpha,0.0,0.0,8.029755283648498
ch2,beta,0.0,0.0,13.000556173526139
ch2,gamma,0.0,0.0,30.033370411568406
ch3,delta,0.0,0.0,0.5214126807563959
ch3,theta,0.0,0.0,4.032258064516129
ch3,alpha,0.0,0.0,8.029755283648498
ch3,beta,0.0,0.0,13.000556173526139
ch3,gamma,0.0,0.0,30.033370411568406
ch4,delta,0.0,0.0,0.5214126807563959
ch4,theta,0.0,0.0,4.032258064516129
ch4,alpha,0.0,0.0,8.029755283648498
ch4,beta,0.0,0.0,13.000556173526139
ch4,gamma,0.0,0.0,30.033370411568406
