capture,condition,channel,window_start_sec,quality_score,quality_gate,quality_state,alpha_drive,beta_gamma_drive,rms_beta_activity,band_driven_density,spectral_register,alpha_stability,rms_band_velocity,band_note_probability,valid,rms_uV,alpha_beta_ratio,beta_over_alpha_beta,theta_alpha_ratio,slow_power,fast_power,dominant_band
20260528-145635_s01_20260528_ear_eeg_ch1_only_04_blink_artifact_30s,s01_20260528_ear_eeg_ch1_only_04_blink_artifact_30s,0,0.0,0.9474714000286223,1.0,clean,0.3950634264447314,0.5450927018418573,0.2771236151067178,0.2313380711819928,0.5619168145236848,0.3178783426883928,0.5195949749515165,0.33507045694559423,True,41.50174636967908,0.6530658646222455,0.6049365735464507,0.6821378218881704,0.5210319932697933,0.4341650803312268,delta
20260528-145635_s01_20260528_ear_eeg_ch1_only_04_blink_artifact_30s,s01_20260528_ear_eeg_ch1_only_04_blink_artifact_30s,0,0.256,0.9783488683005954,1.0,clean,0.3699343041000002,0.56474884313253,0.280027750173088,0.23427982711344364,0.5737291343654026,0.2976232499709499,0.5225041262611887,0.3374238616907549,True,44.486939097345555,0.40916272837390405,0.7096412499796751,1.2884676940650548,0.5374307649086091,0.43831852373661867,delta
20260528-145635_s01_20260528_ear_eeg_ch1_only_04_blink_artifact_30s,s01_20260528_ear_eeg_ch1_only_04_blink_artifact_30s,0,0.512,0.8480669317511158,0.75,usable_with_caution,0.3663948174924767,0.5626335919454637,0.26987897067618966,0.22366159058257662,0.5772356744768716,0.3048629203882951,0.5155545640522838,0.32892927246606124,True,50.11801998107666,0.550835880408411,0.6448135567566334,0.603416380001936,0.5118565233534668,0.44400709798684135,delta
20260528-145635_s01_20260528_ear_eeg_ch1_only_04_blink_artifact_30s,s01_20260528_ear_eeg_ch1_only_04_blink_artifact_30s,0,0.768,0.7745690726623351,0.75,usable_with_caution,0.35573621418162815,0.5698030986794514,0.2658050892085642,0.2171400392803982,0.5879925247804594,0.3056244253781737,0.5127349764870056,0.32371203142431854,True,53.330703238474136,0.4748913835319894,0.6780160296217538,0.7581980713257057,0.47077567317623187,0.5067162884861078,gamma
20260528-145635_s01_20260528_ear_eeg_ch1_only_04_blink_artifact_30s,s01_20260528_ear_eeg_ch1_only_04_blink_artifact_30s,0,1.024,0.8979952430939406,1.0,clean,0.33117302193223275,0.5941859628394721,0.28478715744341515,0.2326527132443732,0.5994065187960902,0.2787733785347634,0.5279868247977054,0.33612217059549854,True,53.76379063994914,0.33938661041956936,0.746610420180963,0.9634636916068151,0.4531208097509157,0.5212571994670911,gamma
20260528-145635_s01_20260528_ear_eeg_ch1_only_04_blink_artifact_30s,s01_20260528_ear_eeg_ch1_only_04_blink_artifact_30s,0,1.28,0.7664378307013285,0.75,usable_with_caution,0.33121705657432,0.5924367208628871,0.2758905220640076,0.22381316121836686,0.6043324517986584,0.28708824443513553,0.5207750151175708,0.32905052897469345,True,51.83835870468008,0.4955652741996927,0.6686435003798772,0.6823495340241519,0.46264592805876564,0.5109013915529128,gamma
20260528-145635_s01_20260528_ear_eeg_ch1_only_04_blink_artifact_30s,s01_20260528_ear_eeg_ch1_only_04_blink_artifact_30s,0,1.536,0.9369907318926112,1.0,clean,0.29942069609502714,0.619484695611015,0.29029092397532325,0.24316956862865802,0.6205629846115265,0.25494688978597224,0.5304458145623979,0.34453565490292637,True,48.81976192742336,0.2480222299141646,0.8012677787499548,0.3601017722161139,0.41964615579787345,0.5478391228213064,gamma
20260528-145635_s01_20260528_ear_eeg_ch1_only_04_blink_artifact_30s,s01_20260528_ear_eeg_ch1_only_04_blink_artifact_30s,0,1.792,0.893905481355496,1.0,clean,0.2890366701477211,0.6273001157927329,0.29925579267255115,0.25556914418921906,0.6245965960732369,0.24152039238998568,0.5366495489034335,0.3544553153513752,True,48.088411475375125,0.34436414825107436,0.7438460786801319,0.4213544877983268,0.4340538963128504,0.5174590982545441,delta
20260528-145635_s01_20260528_ear_eeg_ch1_only_04_blink_artifact_30s,s01_20260528_ear_eeg_ch1_only_04_blink_artifact_30s,0,2.048,0.8248899168708584,0.75,usable_with_caution,0.30449809676724937,0.6109746526543497,0.28372831523788045,0.24122117622468267,0.614704454460782,0.2627342943893468,0.5246951277130665,0.3429769409797461,True,48.34307180643886,0.5466929935161592,0.6465407189308978,0.6056540730713604,0.473770537914351,0.4733145796578798,delta
20260528-145635_s01_20260528_ear_eeg_ch1_only_04_blink_artifact_30s,s01_20260528_ear_eeg_ch1_only_04_blink_artifact_30s,0,2.304,0.7328358965923181,0.75,usable_with_caution,0.3126118029934987,0.6066890277036399,0.2771943925307793,0.232505653780757,0.6184497265423847,0.275897309942983,0.5189932414730819,0.3360045230246056,True,52.396662317311275,0.5112707688483404,0.6616947939451644,0.6928138452582414,0.4018540725287828,0.5688481535915323,gamma
