freq_hz,psd_v2_per_hz
0.0,8.139446467915778e-13
0.25,7.839233804794112e-13
0.5,6.968886348259777e-13
0.75,7.106108901156315e-14
1.0,7.100862700032776e-14
1.25,5.843860789152145e-14
1.5,5.372885719162931e-14
1.75,5.949820494035671e-14
2.0,5.425585979626242e-14
2.25,5.596940291586437e-14
2.5,3.89897370651143e-14
2.75,1.5040665354076486e-14
3.0,6.122899754026262e-15
3.25,1.2328715786356676e-14
3.5,1.4297384985393275e-14
3.75,1.6348315701903094e-14
4.0,2.198407285810789e-14
4.25,2.3889396522078672e-14
4.5,2.3824468821850667e-14
4.75,1.943807516847452e-14
5.0,1.689568817166368e-14
5.25,1.3956975257964938e-14
5.5,1.144822671080867e-14
5.75,8.218632938976958e-15
6.0,8.180365346812524e-15
6.25,9.934513058805685e-15
6.5,1.0491128672521218e-14
6.75,9.89511101830187e-15
7.0,1.0054009296080607e-14
7.25,8.704416465004452e-15
7.5,6.679749998408391e-15
7.75,7.400812295785786e-15
8.0,4.751076734283955e-15
8.25,2.7100294304373667e-15
8.5,3.383467799018421e-15
8.75,2.508820771862101e-15
9.0,2.644448190443773e-15
9.25,3.390346631827609e-15
9.5,4.366145339353863e-15
9.75,5.971782267839518e-15
10.0,7.433306537309321e-15
10.25,9.569600084923353e-15
10.5,8.525489921129484e-15
10.75,6.537354320595828e-15
11.0,5.638091970818042e-15
11.25,3.3936078304015917e-15
11.5,2.8331878793744583e-15
11.75,3.53663639064185e-15
12.0,5.627735707954364e-15
12.25,6.153256004983706e-15
12.5,5.672275647597509e-15
12.75,4.582972558491025e-15
13.0,4.84785201224577e-15
13.25,3.578052795077333e-15
13.5,3.2318611652229284e-15
13.75,2.702300119211046e-15
14.0,2.5437426252296805e-15
14.25,1.809775148974814e-15
14.5,1.6006655319043799e-15
14.75,1.424011818933227e-15
15.0,1.7413829662288755e-15
15.25,1.4228799537392776e-15
15.5,1.4571332652844312e-15
15.75,1.4982689354454035e-15
16.0,1.3397009410533331e-15
16.25,1.2451757143528258e-15
16.5,8.977803699717332e-16
16.75,5.460024033458596e-16
17.0,9.4194605070174e-16
17.25,1.0021705281916916e-15
17.5,1.2428444444251441e-15
17.75,1.437679233062353e-15
18.0,1.1649228423127979e-15
18.25,9.59819792039558e-16
18.5,1.1766468294758006e-15
18.75,1.4419630590583134e-15
19.0,1.328759639996169e-15
19.25,1.361655111032885e-15
19.5,1.2377149987461392e-15
19.75,1.6434371161726503e-15
20.0,1.5936448029673819e-15
20.25,1.750270636673918e-15
20.5,1.9248255074165367e-15
20.75,2.1156021210003122e-15
21.0,1.3164983007121565e-15
21.25,1.3805146581622568e-15
21.5,1.1821691412727474e-15
21.75,1.1022476991027647e-15
22.0,6.495063867632897e-16
22.25,1.3823290013030676e-15
22.5,1.2679332986671186e-15
22.75,1.4066117261400546e-15
23.0,1.3991887474121378e-15
23.25,9.531547036486356e-16
23.5,6.40454591843741e-16
23.75,1.0062824246512371e-15
24.0,8.205076287071064e-16
24.25,7.657998061320748e-16
24.5,8.78019471187506e-16
24.75,8.022689748090733e-16
25.0,8.638399028330245e-16
25.25,1.0881982979669673e-15
25.5,1.7305076918544304e-15
25.75,2.4995025450274267e-15
26.0,2.513168575621056e-15
26.25,1.7435209913964548e-15
26.5,1.9553792013368187e-15
26.75,2.8414129109776937e-15
27.0,2.0306064025061463e-15
27.25,2.1802016477755747e-15
27.5,2.6114699508697927e-15
27.75,2.4667993878422882e-15
28.0,2.2235345656656286e-15
28.25,2.0984515286904887e-15
28.5,2.1887619373208285e-15
28.75,1.6424556013865829e-15
29.0,1.992994545591635e-15
29.25,1.7238626068650933e-15
29.5,1.9991351960622123e-15
29.75,1.936277550359955e-15
30.0,1.878315446649407e-15
30.25,2.1042711569698827e-15
30.5,2.4093447946010748e-15
30.75,1.8324667266389936e-15
31.0,2.2620910908483736e-15
31.25,2.2680306993377077e-15
31.5,1.7759960401348593e-15
31.75,1.6574620190748438e-15
32.0,3.330960132990961e-15
32.25,3.2668042554736283e-15
32.5,3.3061287728562273e-15
32.75,3.7363894221824374e-15
33.0,3.539896488866755e-15
33.25,2.3549542591147913e-15
33.5,2.2385532552307338e-15
33.75,2.439200269041205e-15
34.0,1.6099131647672e-15
34.25,2.23361202588654e-15
34.5,2.691757835508787e-15
34.75,2.78866815221734e-15
35.0,3.1523480551913094e-15
35.25,3.257788615499391e-15
35.5,3.2001795620670723e-15
35.75,3.11346865848264e-15
36.0,2.7753720762113827e-15
36.25,2.3574375346324357e-15
36.5,2.1315957072729056e-15
36.75,1.4462037873962248e-15
37.0,1.1800694107728289e-15
37.25,1.0991876086818364e-15
37.5,1.001087461459919e-15
37.75,9.096730476278417e-16
38.0,1.0602678765318406e-15
38.25,1.1836976054595161e-15
38.5,1.2373055725602074e-15
38.75,1.2042216874600349e-15
39.0,1.35197644197644e-15
39.25,1.3516983375834784e-15
39.5,1.6775156868320834e-15
39.75,1.585324036389821e-15
40.0,1.5335041405168003e-15
40.25,1.8261616190892476e-15
40.5,1.9111738522509428e-15
40.75,1.7751421325482147e-15
41.0,1.519476653104924e-15
41.25,1.60094948965149e-15
41.5,1.4541023454795368e-15
41.75,1.5984294233934833e-15
42.0,1.891258433980462e-15
42.25,2.024783457213351e-15
42.5,1.93200981385144e-15
42.75,2.4892353626960925e-15
43.0,2.8592125958869227e-15
43.25,3.143512823324108e-15
43.5,3.5276217545550785e-15
43.75,3.709107670826863e-15
44.0,4.2273135102427205e-15
44.25,4.253683886008044e-15
44.5,6.106293010620344e-15
44.75,6.500212957398892e-15
45.0,7.051605861383484e-15
45.25,7.771397928236585e-15
45.5,7.958022957831413e-15
45.75,9.350707942001291e-15
46.0,9.574029577113742e-15
46.25,1.2917498320530792e-14
46.5,1.3176277723446252e-14
46.75,1.5983480026096137e-14
47.0,1.858623548284543e-14
47.25,1.9695004493495016e-14
47.5,2.7349099928078752e-14
47.75,2.7221126812631776e-14
48.0,3.557524971510326e-14
48.25,3.590258284212908e-14
48.5,4.228491420719578e-14
48.75,4.5087587807209613e-14
49.0,4.7385285769090906e-14
49.25,5.6533386447075125e-14
49.5,5.5733027944491926e-14
49.75,5.5270712927509696e-14
50.0,5.2006038702296753e-14
50.25,5.167642329813927e-14
50.5,4.154457298291061e-14
50.75,4.2058185278253044e-14
51.0,3.7027082268539974e-14
51.25,3.5723166858650214e-14
51.5,3.0027301075582056e-14
51.75,2.556128708004663e-14
52.0,2.3569344197768602e-14
52.25,1.767179165618812e-14
52.5,1.771645046573282e-14
52.75,1.1659621548296904e-14
53.0,1.1298020338092315e-14
53.25,7.817682745338532e-15
53.5,6.511055940753984e-15
53.75,5.4771968915592945e-15
54.0,4.119212083303829e-15
54.25,3.835825481816567e-15
54.5,2.60266023408865e-15
54.75,2.5041565592008475e-15
55.0,1.976808426591086e-15
55.25,1.8197133920429497e-15
55.5,1.8517916333458614e-15
55.75,1.5350634920678165e-15
56.0,1.51282262161651e-15
