capture,condition,channel,window_start_sec,window_end_sec,rms_uV,ptp_uV,line_50_ratio_1_50,spectral_entropy_0p5_40,quality_score,quality_warnings,peak_freq,peak_delta,peak_theta,peak_alpha,peak_beta,peak_gamma,delta_abs,delta_rel,theta_abs,theta_rel,alpha_abs,alpha_rel,beta_abs,beta_rel,gamma_abs,gamma_rel,alpha_beta_ratio,theta_alpha_ratio,slow_power_rel,fast_power_rel
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,0.0,4.0,48.015112204388316,714.0,0.0963779380819466,0.7981048863021889,1.0,,1.0,1.0,4.0,11.25,29.75,49.5,1.5371780954671937e-10,0.46869689755657906,2.5699424558283307e-11,0.07835943404980567,3.343453257579209e-11,0.10194434682446704,4.4449418257881413e-11,0.13552954271919887,7.066729607343299e-11,0.2154697788499494,0.7521928044550673,0.7686491354418006,0.5470563316063848,0.35099932156914826
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,0.256,4.256,59.241193438349974,714.0,0.08402043897521658,0.8351703471312583,1.0,,1.0,1.0,4.0,10.5,23.25,49.5,1.6744127445588807e-10,0.42826788254714876,4.39861138022485e-11,0.11250415932858689,4.167241197200785e-11,0.10658635807616229,6.013351318454169e-11,0.1538046843309792,7.773990983992993e-11,0.1988369157171228,0.6929981264211323,1.0555211882574689,0.5407720418757357,0.352641600048102
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,0.512,4.512,67.98228445705543,714.0,0.08170519624755948,0.8666673911694904,1.0,,0.75,0.75,5.25,8.0,13.0,49.75,1.7146240283693085e-10,0.2742776444175582,1.2517298664317532e-10,0.20023137056962953,6.969368872032765e-11,0.11148461969917518,1.1176999128628589e-10,0.17879144010205472,1.470426667311173e-10,0.2352149252115824,0.6235456218459866,1.7960447917383078,0.4745090149871877,0.4140063653136371
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,0.768,4.768,75.7794101323044,714.0,0.08907056514374014,0.8063568093902299,1.0,,0.0,0.5,5.75,12.25,25.0,31.0,3.312268264607886e-10,0.33945801818199506,1.3776300468658852e-10,0.1411865006509138,5.836044266618167e-11,0.05981073580110892,1.2446808544935026e-10,0.12756119443889763,3.2393360038945224e-10,0.33198355092708454,0.46887876884657526,2.360554485074503,0.4806445188329088,0.45954474536598217
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,1.024,5.024,82.46854551888254,714.0,0.08872479173962851,0.8297439724905604,1.0,,0.0,0.5,5.75,12.5,25.0,31.25,3.0371954369517563e-10,0.2381869975375457,1.723844381292119e-10,0.13518962672156157,9.4653437559244e-11,0.0742303831506843,1.6785248384390423e-10,0.13163551699565523,5.365207581231115e-10,0.42075747559455323,0.563908471245905,1.8212168789043266,0.3733766242591073,0.5523929925902085
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,1.28,5.28,89.32169949122105,714.0,0.09581055928247256,0.9014080665695996,1.0,,0.0,0.5,6.25,13.0,24.75,31.25,3.133448553066051e-10,0.15252950202407778,3.072736962951272e-10,0.14957419305682634,1.0362621317444131e-10,0.05044300049755845,3.813287646350556e-10,0.18562259948493157,9.48749412370496e-10,0.46183070493660583,0.2717503183207673,2.965212052841029,0.3021036950809041,0.6474533044215374
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,1.536,5.536,96.01141598789177,714.0,0.06690969255704446,0.8481735270261515,1.0,,56.0,0.5,6.5,8.25,24.75,48.75,2.41692060678869e-10,0.05362010288075528,9.888590551702047e-10,0.21938132400320332,1.9660008347047513e-10,0.04361631355387591,1.779440471838093e-09,0.3947741638767046,1.300898014499309e-09,0.2886080956854608,0.11048421488772528,5.029799772789562,0.27300142688395856,0.6833822595621655
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,1.792,5.792,102.4511883776855,714.0,0.038859832482695596,0.6911236607236046,1.0,,56.0,0.5,6.5,9.0,24.75,37.5,3.0601482694101953e-10,0.033327350493487534,1.2792322935734784e-09,0.13931816126912147,2.0446675550625957e-10,0.022267990388376548,5.711495678386288e-09,0.6220254757535214,1.680883303554092e-09,0.18306102209549296,0.035799161379043376,6.256431713830935,0.172645511762609,0.8050864978490144
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,2.048,6.048,103.89714144287127,714.0,0.020218842042834285,0.7185005019709771,1.0,,56.0,0.75,6.5,8.5,24.75,38.25,3.130833759529039e-10,0.031167357510509138,1.3601187893865739e-09,0.1353994233534425,1.8919135601222144e-10,0.018833943555080113,6.3810378565488715e-09,0.635230432014597,1.8018018712556064e-09,0.17936884356637134,0.029648994452846567,7.18911697688087,0.16656678086395163,0.8145992755809683
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,2.304,6.304,119.67697773590375,1389.0,0.02802868735021647,0.7677145994734631,1.0,,56.0,0.75,6.5,9.25,24.75,46.5,2.956557866543387e-10,0.024313679650195926,1.4149649444732064e-09,0.11636168114781577,3.411894188797549e-10,0.02805820350939894,7.208516650554642e-09,0.5928027541013356,2.899732512054537e-09,0.23846368159125383,0.047331432445744975,4.1471536518308065,0.14067536079801168,0.8312664356925895
