capture,condition,channel,window_start_sec,quality_score,quality_gate,quality_state,alpha_drive,beta_gamma_drive,rms_beta_activity,band_driven_density,spectral_register,alpha_stability,rms_band_velocity,band_note_probability,valid,rms_uV,alpha_beta_ratio,beta_over_alpha_beta,theta_alpha_ratio,slow_power,fast_power,dominant_band
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,0.0,1.0,1.0,clean,0.42928655028111024,0.48190253199849636,0.2705292957217095,0.23470654923701714,0.5153495140332454,0.3974990276525318,0.5208005544953562,0.3377652393896137,True,18.109900082885858,0.7521928044550673,0.5707134497146787,0.7686491354418006,0.5470563316063848,0.35099932156914826,delta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,0.256,1.0,1.0,clean,0.4244974323188847,0.4844963986822626,0.27514687566635854,0.2380930174555063,0.5155913910910291,0.39433809076624426,0.5252126443273839,0.34047441396440503,True,19.77304284258283,0.6929981264211323,0.590668107890989,1.0555211882574689,0.5407720418757357,0.352641600048102,delta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,0.512,1.0,1.0,clean,0.4147934375559593,0.49319861676538923,0.2945069325381039,0.2503194440880162,0.5176359700672633,0.3880354594774999,0.5423654873435171,0.35025555527041297,True,25.002834563661718,0.6235456218459866,0.6159358791898596,1.7960447917383078,0.4745090149871877,0.4140063653136371,delta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,0.768,1.0,1.0,clean,0.3918530820113263,0.5172924096947623,0.323262931971516,0.26361749615871555,0.5371868020960575,0.36645344157000365,0.5687287245845511,0.36089399692697244,True,31.23702866234817,0.46887876884657526,0.6807913772080079,2.360554485074503,0.4806445188329088,0.45954474536598217,delta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,1.024,1.0,1.0,clean,0.3843466759885959,0.5334839296578272,0.35862808023197607,0.2804992140122903,0.5532092357777678,0.35513488597422793,0.5994334744397091,0.37439937120983224,True,35.70897172071253,0.563908471245905,0.6394236097451926,1.8212168789043266,0.3733766242591073,0.5523929925902085,gamma
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,1.28,1.0,1.0,clean,0.34338718522924716,0.5746948452269468,0.4111856981463936,0.31234381679588236,0.5843254286099165,0.31599414096019823,0.6451132881827304,0.3998750534367059,True,45.32463945561758,0.2717503183207673,0.7863178688377876,2.965212052841029,0.3021036950809041,0.6474533044215374,gamma
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,1.536,1.0,1.0,clean,0.2848523233504478,0.6161760211810317,0.46751534894980445,0.360956872731821,0.604116310443763,0.26596182172603094,0.6929152299092124,0.4387654981854568,True,67.1378409368141,0.11048421488772528,0.9005080725968025,5.029799772789562,0.27300142688395856,0.6833822595621655,beta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,1.792,1.0,1.0,clean,0.22478261580155579,0.6530562998816227,0.5243487342257308,0.4243920301306736,0.6207522560939072,0.21336757585888347,0.7370160698838536,0.4895136241045389,True,95.82323756772747,0.035799161379043376,0.9654381247683835,6.256431713830935,0.172645511762609,0.8050864978490144,beta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,2.048,1.0,1.0,clean,0.17774564666782033,0.6819017745297619,0.5684740987919674,0.47430697855052406,0.6331866707132063,0.17221688088745382,0.7710252878282569,0.5294455828404193,True,100.22591106673053,0.029648994452846567,0.9712047555874797,7.18911697688087,0.16656678086395163,0.8145992755809683,beta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,2.304,1.0,1.0,clean,0.14593287008402356,0.7044185355754443,0.6012820031427876,0.5090849060944681,0.645326876361617,0.14320848395814634,0.7960831242724644,0.5572679248755745,True,110.272658953235,0.047331432445744975,0.9548075890963891,4.1471536518308065,0.14067536079801168,0.8312664356925895,beta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,2.56,0.9945767019958076,1.0,clean,0.12248082835893193,0.7206966786334609,0.6264920582412122,0.5360100822426707,0.6539365378612837,0.12164551225875056,0.8152999451432941,0.5788080657941366,True,115.27843572340667,0.05065858541486198,0.9517839704356021,3.7799135023597743,0.13718405906957498,0.8324788333728885,beta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,2.816,0.9906783569708748,1.0,clean,0.11065661496314237,0.7268806637080132,0.6440720947616652,0.5541626566872101,0.6560922784460715,0.10968703418175517,0.82931747431752,0.5933301253497681,True,120.99396795870784,0.07899689364797574,0.9267867274553032,2.3936929171068395,0.1512904262515517,0.8016175797752478,beta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,3.072,0.9903220037074613,1.0,clean,0.1007978230498187,0.732539840666342,0.6569155896057459,0.5670934463478261,0.6584282726724247,0.0999037323654364,0.8396755233139263,0.6036747570782609,True,121.69239233432906,0.07478148507325844,0.9304216846741213,2.541998190527778,0.15846090972474863,0.7976378260836499,beta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,3.328,0.9900218471946872,1.0,clean,0.09373249310134966,0.7365532520976462,0.666459289180287,0.5765214878182339,0.6603493555448874,0.09276496978385054,0.8474350081930486,0.6112171902545871,True,122.00485035394829,0.07684233658558998,0.9286410517338793,2.471279355798641,0.15982622906485433,0.795285611992819,beta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,3.584,0.9897723640800377,1.0,clean,0.08880692898452594,0.7378584273782188,0.6739515249450913,0.5846634639180837,0.6601975871139408,0.08780084128059243,0.8536211630361643,0.6177307711344668,True,122.01786343148504,0.07899227950228663,0.9267906907172058,2.4139059033241104,0.1645231729143801,0.7880457623930897,beta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,3.84,0.9903089946568686,1.0,clean,0.0846075026146397,0.737594639998268,0.6799411547738697,0.5920917565694606,0.6583846384751397,0.08384042518591552,0.858662132299578,0.6236734052555684,True,121.31604992158478,0.07678479021860823,0.9286906808885003,2.498328394750907,0.17230418768254466,0.7801517070730407,beta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,4.096,0.9952695640395852,1.0,clean,0.08196796086864952,0.7378505325417158,0.6840726166953732,0.5966231332139318,0.6576287751504003,0.08108932042461084,0.8621784940447614,0.6272985065711454,True,116.7647127303556,0.07945829001338378,0.9263905879921238,2.377702020800294,0.17049613108122158,0.7813609434512166,beta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,4.352,1.0,1.0,clean,0.07471544473224123,0.74462290511359,0.687684483556897,0.6001250211662882,0.6620582739396218,0.07487111508770272,0.864769741359878,0.6301000169330305,True,109.87595926533773,0.054573263273393194,0.9482508563647677,3.410241948521383,0.16214337067520457,0.8058583644065488,beta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,4.608,1.0,1.0,clean,0.06734391062704707,0.7511230380206164,0.6896984023887889,0.6018425578228619,0.665914851473615,0.06870306247484002,0.8663785297233816,0.6314740462582894,True,103.0636218414079,0.04602589163195916,0.9559992807044139,4.0520699235152415,0.17653798079111965,0.7968577458338473,beta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,4.864,1.0,1.0,clean,0.06286824530109768,0.7555053756547192,0.6835176236512583,0.5985316447227631,0.6686260972024156,0.06468766729940226,0.8605135181188595,0.6288253157782103,True,97.87770477933888,0.05118791630433356,0.9513046948960372,3.6064710189220035,0.18985417127566306,0.7815846298199406,beta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,5.12,1.0,1.0,clean,0.061122172312171694,0.7592791007072033,0.6677615390128665,0.5894204194170543,0.6716264222045161,0.06268042379900199,0.8454868694673696,0.6215363355336432,True,90.87933113581855,0.05886544436693853,0.9444070588176213,3.168216253225666,0.19456899874599265,0.7746472296515547,beta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,5.376,1.0,1.0,clean,0.05963001091958623,0.7644468499290868,0.6405214645609733,0.5757700075057168,0.6755466741202893,0.06054111098210806,0.8186425923625706,0.6106160060045733,True,77.62934199074711,0.05809450212409925,0.9450951668216953,2.9130284637066604,0.187341210518351,0.7838502930553086,beta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,5.632,1.0,1.0,clean,0.07199310158846742,0.7592895894618317,0.592442497534576,0.541014299394498,0.6728802862070808,0.07123210035520264,0.7759805233655196,0.5828114395155983,True,61.60217693271538,0.12504021995748502,0.8888571112909182,3.246561096082792,0.29326385408203104,0.662115119004406,beta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,5.888,1.0,1.0,clean,0.08858710209569416,0.7485696506352699,0.5394880657184739,0.5066544659989265,0.6701789276961717,0.08510508954953148,0.7281175149137467,0.5553235727991411,True,47.05780846377091,0.16432702768693155,0.8588652296289474,2.021698731019874,0.3138776782955638,0.6290720768323278,beta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,6.144,1.0,1.0,clean,0.13227490973523803,0.7218082994028183,0.4861843468049021,0.4634263567662858,0.6588346076798814,0.12145176970447541,0.6810748058590967,0.5207410854130285,True,39.91721712197057,0.371026759858332,0.7293803660697057,1.047077947390337,0.32416635305452685,0.5903939778984049,gamma
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,6.4,1.0,1.0,clean,0.1954716221005786,0.6769724760183911,0.4273758506924265,0.4115498307047559,0.6350190063333576,0.1767378235976375,0.6315363888777715,0.47923986456380463,True,30.09701342628556,0.6545184876363113,0.6044054554050111,1.074491375077724,0.43314995451371674,0.4718690069709101,delta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,6.656,1.0,1.0,clean,0.25701561594440187,0.6309984098261399,0.3766075623259349,0.3648872694278488,0.6090746566237997,0.2300336400539158,0.5898837627288206,0.441909815542279,True,27.58277238342256,0.8245009932460525,0.5480950702121414,1.039093567201765,0.4890936042839016,0.4144083618976157,delta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,6.912,1.0,1.0,clean,0.30241281708103657,0.5952752017337104,0.3357178712519865,0.32744564422047506,0.5881611628028302,0.2697474875295432,0.5570128194226837,0.41195651537638,True,26.83400349168993,0.80561024269322,0.553829379314736,1.0616976509518468,0.5281371129792867,0.3805120459361625,delta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,7.168,1.0,1.0,clean,0.3406465868370068,0.5631722307375605,0.3089595031851216,0.2953582881545389,0.5684331437207656,0.2985909311619588,0.5390011272136597,0.3862866305236311,True,35.5183199821761,0.857769850188044,0.5382798089289635,1.4388137224606408,0.6215218304626786,0.31048234259696883,delta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,7.424,1.0,1.0,clean,0.37102971442745597,0.5352367170956542,0.28515312685740396,0.266670511000318,0.5503002323064541,0.32153221678144495,0.523832272325893,0.3633364088002544,True,35.30093043392807,0.8770281939596904,0.5327570481943785,1.721805346732,0.6922659485460434,0.252175048456188,delta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,7.68,1.0,1.0,clean,0.3914494294524865,0.5132413639968514,0.26550737417610104,0.24214670893479973,0.5346483335718699,0.33610333598983955,0.5126082153147028,0.34371736714783974,True,36.63874317775564,0.8386133602393441,0.543888139624805,1.9861950849745276,0.758411364368789,0.19648126873171523,delta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,7.936,1.0,1.0,clean,0.41720452187619145,0.48698969304989004,0.25363143275648076,0.2220304573075989,0.5123224189482102,0.35316743445828,0.5083483540429767,0.32762436584607907,True,41.44928168689985,0.9950614828868607,0.5012376854385457,2.184940980925714,0.7902080937786283,0.1608796049271638,delta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,8.192,1.0,1.0,clean,0.4391888202178478,0.46685019370471387,0.2516443822916501,0.20983613500708698,0.49588962283860355,0.3651143975722177,0.5113195172729375,0.3178689080056695,True,47.0773987444894,1.0358545127097274,0.4911942350238197,1.9805696555945105,0.758761447075281,0.18907537467477986,delta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,8.448,1.0,1.0,clean,0.4147367435030677,0.48818893320743917,0.26657685431899847,0.21540774482175679,0.5113584307131508,0.33996178558195705,0.5262560173098091,0.3223261958574054,True,57.363777398884665,0.5089901875940699,0.6626948327510886,1.349875517004686,0.6576707571968285,0.30611369506944697,delta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,8.704,1.0,1.0,clean,0.3969406527601829,0.5058203466386049,0.2844683493738766,0.21943042830440507,0.525070027121327,0.3224331142486766,0.5445596573651553,0.32554434264352405,True,65.64086741036002,0.5164988219073099,0.6594136345752123,3.8385158691147585,0.6730573053326253,0.306994219158471,delta
20260528-145809_s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,s01_20260528_ear_eeg_ch1_only_06_eyes_open_repeat_30s,0,8.96,1.0,1.0,clean,0.3880503492102679,0.5088495334518282,0.3029425237520173,0.21925608044762118,0.5225444689267893,0.31260379747881883,0.5673435402664331,0.32540486435809696,True,77.82698746167333,0.5622503360645889,0.6401022786776248,4.317319485962457,0.7969642590632529,0.18519390370646532,delta
