capture,condition,duration_sec,fs_hz,channels,samples,files_available,diagnosis,median_rms_uV,p95_rms_uV,ptp_uV,line_50_ratio,artifact_fraction,spectral_quality_median,use_in_docs
20260523-175959_post_configfix_shorted_inputs,post_configfix_shorted_inputs,60.58,250.0,4,14584,eeg_timeseries.csv;metadata.json;psd_multitaper.csv;quality_report.json;quality_report.md;spectral_summary.csv;spectral_validation_report.json;spectral_validation_report.md;windowed_bandpowers.csv;windowed_sonification_features.csv,valida_diagnostica,pendiente,pendiente,4.000,0.025,pendiente,0.900,validación ADC/SPI/escala
20260523-195752_ear_eeg_ch1_only_still_30s,ear_eeg_ch1_only_still_30s,30.38,250.0,4,7224,eeg_timeseries.csv;metadata.json;psd_multitaper.csv;quality_report.json;quality_report.md;spectral_summary.csv;spectral_validation_report.json;spectral_validation_report.md;windowed_bandpowers.csv;windowed_sonification_features.csv,valida_preliminar,12.00,14.64,159.0,0.164,0.0%,1.000,montaje final y bandas
20260523-200925_ear_eeg_ch1_only_eyes_open_60s,ear_eeg_ch1_only_eyes_open_60s,60.66,250.0,4,14424,eeg_timeseries.csv;metadata.json;psd_multitaper.csv;quality_report.json;quality_report.md;spectral_summary.csv;spectral_validation_report.json;spectral_validation_report.md;windowed_bandpowers.csv;windowed_sonification_features.csv,valida_preliminar,11.40,105.9,1946,0.013,0.0%,1.000,montaje final y bandas
20260523-201055_ear_eeg_ch1_only_eyes_closed_60s,ear_eeg_ch1_only_eyes_closed_60s,60.62,250.0,4,14408,eeg_timeseries.csv;metadata.json;psd_multitaper.csv;quality_report.json;quality_report.md;spectral_summary.csv;spectral_validation_report.json;spectral_validation_report.md;windowed_bandpowers.csv;windowed_sonification_features.csv,valida_preliminar,9.617,16.18,2651,0.017,0.0%,1.000,montaje final y bandas
20260523-201321_ear_eeg_ch1_only_jaw_movement_30s,ear_eeg_ch1_only_jaw_movement_30s,30.34,250.0,4,7232,eeg_timeseries.csv;metadata.json;psd_multitaper.csv;quality_report.json;quality_report.md;spectral_summary.csv;spectral_validation_report.json;spectral_validation_report.md;windowed_bandpowers.csv;windowed_sonification_features.csv,valida_preliminar,224.4,327.7,1741,0.001,66.7%,0.490,montaje final y bandas
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,30.38,250.0,4,7304,eeg_timeseries.csv;metadata.json;psd_multitaper.csv;quality_report.json;quality_report.md;spectral_summary.csv;spectral_validation_report.json;spectral_validation_report.md;windowed_bandpowers.csv;windowed_sonification_features.csv,valida_preliminar,29.88,117.7,2826,0.120,0.0%,1.000,comparación frontal
20260523-202208_fp1_fp2_ch1_only_eyes_open_60s,fp1_fp2_ch1_only_eyes_open_60s,60.61,250.0,4,14448,eeg_timeseries.csv;metadata.json;psd_multitaper.csv;quality_report.json;quality_report.md;spectral_summary.csv;spectral_validation_report.json;spectral_validation_report.md;windowed_bandpowers.csv;windowed_sonification_features.csv,dudosa,29.15,39.55,640.0,0.264,0.0%,1.000,comparación frontal
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,60.52,250.0,4,14288,eeg_timeseries.csv;metadata.json;psd_multitaper.csv;quality_report.json;quality_report.md;spectral_summary.csv;spectral_validation_report.json;spectral_validation_report.md;windowed_bandpowers.csv;windowed_sonification_features.csv,valida_preliminar_con_artefactos,37.35,2658,45684,0.001,8.9%,1.000,comparación frontal
20260523-202451_fp1_fp2_ch1_only_forehead_blink_artifact_30s,fp1_fp2_ch1_only_forehead_blink_artifact_30s,30.39,250.0,4,7192,eeg_timeseries.csv;metadata.json;psd_multitaper.csv;quality_report.json;quality_report.md;spectral_summary.csv;spectral_validation_report.json;spectral_validation_report.md;windowed_bandpowers.csv;windowed_sonification_features.csv,valida_preliminar,108.3,333.1,3124,0.008,33.3%,0.864,comparación frontal
20260524-104015_live_dsp_validation_mixed_states_ear_eeg,live_dsp_validation_mixed_states_ear_eeg,191.7,250.0,4,45464,eeg_timeseries.csv;metadata.json;psd_multitaper.csv;quality_report.json;quality_report.md;spectral_summary.csv;spectral_validation_report.json;spectral_validation_report.md;windowed_bandpowers.csv;windowed_sonification_features.csv,valida_preliminar_con_artefactos,50.84,384.8,83247,0.002,10.0%,1.000,validación DSP/quality gate
