mounting_or_condition,capture,median_rms_uV,ptp_uV,line_50_ratio,artifact_fraction,conclusion
ear_eeg_ch1_only_still_30s,20260523-195752_ear_eeg_ch1_only_still_30s,12.00,159.0,0.164,0.0%,montaje más estable en capturas versionadas
ear_eeg_ch1_only_eyes_open_60s,20260523-200925_ear_eeg_ch1_only_eyes_open_60s,11.40,1946,0.013,0.0%,montaje más estable en capturas versionadas
ear_eeg_ch1_only_eyes_closed_60s,20260523-201055_ear_eeg_ch1_only_eyes_closed_60s,9.617,2651,0.017,0.0%,montaje más estable en capturas versionadas
ear_eeg_ch1_only_jaw_movement_30s,20260523-201321_ear_eeg_ch1_only_jaw_movement_30s,224.4,1741,0.001,66.7%,montaje más estable en capturas versionadas
fp1_fp2_ch1_only_quiet_30s,20260523-202120_fp1_fp2_ch1_only_quiet_30s,29.88,2826,0.120,0.0%,evidencia complementaria
fp1_fp2_ch1_only_eyes_open_60s,20260523-202208_fp1_fp2_ch1_only_eyes_open_60s,29.15,640.0,0.264,0.0%,evidencia complementaria
fp1_fp2_ch1_only_eyes_closed_60s,20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,37.35,45684,0.001,8.9%,plausible pero sensible a artefactos
fp1_fp2_ch1_only_forehead_blink_artifact_30s,20260523-202451_fp1_fp2_ch1_only_forehead_blink_artifact_30s,108.3,3124,0.008,33.3%,plausible pero sensible a artefactos
live_dsp_validation_mixed_states_ear_eeg,20260524-104015_live_dsp_validation_mixed_states_ear_eeg,50.84,83247,0.002,10.0%,montaje más estable en capturas versionadas
diag_atenuacion_mixed_states_ear_eeg,20260524-115948_diag_atenuacion_mixed_states_ear_eeg,74.66,54401,0.029,3.8%,montaje más estable en capturas versionadas
